routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
CAS,6306,Smithfield Lot,1135,Y,2020-10-01T07:05:23-04:00,0,0%
CAS,6306,Smithfield Lot,1135,Y,2020-10-01T07:05:50-04:00,0,0%
CAS,6306,I Lot/Cage Sbnd,1121,N,2020-10-01T07:06:04-04:00,0,0%
CAS,6306,I Lot/Cage Sbnd,1121,N,2020-10-01T07:06:30-04:00,0,0%
CAS,6306,Food Science Bldg,1122,N,2020-10-01T07:06:46-04:00,0,0%
CAS,6306,Food Science Bldg,1122,N,2020-10-01T07:07:07-04:00,0,0%
CAS,6306,Harper Hall,1126,N,2020-10-01T07:07:28-04:00,0,0%
CAS,6306,Harper Hall,1126,N,2020-10-01T07:07:46-04:00,0,0%
CAS,6306,Harper Hall,1126,N,2020-10-01T07:07:56-04:00,0,0%
CAS,6306,Harper Hall,1126,N,2020-10-01T07:08:24-04:00,0,0%
CAS,6306,West Campus/Perry Nbnd,1103,N,2020-10-01T07:08:42-04:00,0,0%
CAS,6306,West Campus/Perry Nbnd,1103,N,2020-10-01T07:08:58-04:00,0,0%
CAS,6306,West Campus/Perry Nbnd,1103,N,2020-10-01T07:09:31-04:00,0,0%
CAS,6306,West Campus/Perry Nbnd,1103,N,2020-10-01T07:09:32-04:00,0,0%
CAS,6306,West Campus/Perry Nbnd,1103,N,2020-10-01T07:10:08-04:00,0,0%
CAS,6306,McBryde Hall,1106,N,2020-10-01T07:10:27-04:00,0,0%
CAS,6306,McBryde Hall,1106,N,2020-10-01T07:10:27-04:00,0,0%
CAS,6306,McBryde Hall,1106,N,2020-10-01T07:11:06-04:00,0,0%
CAS,6306,Burruss Hall,1101,Y,2020-10-01T07:11:20-04:00,0,0%
CAS,6306,Burruss Hall,1101,Y,2020-10-01T07:11:46-04:00,0,0%
CAS,6306,Burruss Hall,1101,Y,2020-10-01T07:11:46-04:00,0,0%
CAS,6306,Burruss Hall,1101,Y,2020-10-01T07:12:23-04:00,0,0%
