routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,West Campus/Perry Nbnd,1103,N,2020-09-21T07:10:12-04:00,0,0%
CAS,6201,Litton Reaves Hall,1116,N,2020-09-21T07:22:11-04:00,0,0%
CAS,6201,Litton Reaves Hall,1116,N,2020-09-21T07:22:21-04:00,0,0%
CAS,6201,Litton Reaves Hall,1116,N,2020-09-21T07:22:35-04:00,0,0%
CAS,6201,Litton Reaves Hall,1116,N,2020-09-21T07:23:05-04:00,0,0%
CAS,6201,Bioinfomatics Bldg,1131,N,2020-09-21T07:23:22-04:00,0,0%
CAS,6201,Bioinfomatics Bldg,1131,N,2020-09-21T07:23:37-04:00,0,0%
CAS,6201,Bioinfomatics Bldg,1131,N,2020-09-21T07:24:07-04:00,0,0%
CAS,6201,Bioinfomatics Bldg,1131,N,2020-09-21T07:24:24-04:00,0,0%
CAS,6201,Smithfield Lot,1135,Y,2020-09-21T07:24:52-04:00,0,0%
CAS,6201,Smithfield Lot,1135,Y,2020-09-21T07:25:07-04:00,0,0%
CAS,6201,Smithfield Lot,1135,Y,2020-09-21T07:25:29-04:00,0,0%
CAS,6201,I Lot/Cage Sbnd,1121,N,2020-09-21T07:25:52-04:00,0,0%
CAS,6201,Food Science Bldg,1122,N,2020-09-21T07:26:14-04:00,0,0%
CAS,6201,Food Science Bldg,1122,N,2020-09-21T07:26:21-04:00,0,0%
CAS,6201,Food Science Bldg,1122,N,2020-09-21T07:26:51-04:00,0,0%
CAS,6201,Harper Hall,1126,N,2020-09-21T07:27:09-04:00,0,0%
