routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
CAS,6203,Smithfield Lot,1135,Y,2020-09-30T07:05:44-04:00,0,0%
CAS,6203,Smithfield Lot,1135,Y,2020-09-30T07:05:54-04:00,0,0%
CAS,6203,Smithfield Lot,1135,Y,2020-09-30T07:06:11-04:00,0,0%
CAS,6203,I Lot/Cage Sbnd,1121,N,2020-09-30T07:06:38-04:00,0,0%
CAS,6203,Food Science Bldg,1122,N,2020-09-30T07:07:02-04:00,0,0%
CAS,6203,Food Science Bldg,1122,N,2020-09-30T07:07:24-04:00,0,0%
CAS,6203,Food Science Bldg,1122,N,2020-09-30T07:07:43-04:00,0,0%
CAS,6203,Harper Hall,1126,N,2020-09-30T07:08:04-04:00,0,0%
CAS,6203,Harper Hall,1126,N,2020-09-30T07:08:15-04:00,0,0%
CAS,6203,Harper Hall,1126,N,2020-09-30T07:08:45-04:00,0,0%
CAS,6203,West Campus/Perry Nbnd,1103,N,2020-09-30T07:09:06-04:00,0,0%
CAS,6203,West Campus/Perry Nbnd,1103,N,2020-09-30T07:09:14-04:00,0,0%
CAS,6203,West Campus/Perry Nbnd,1103,N,2020-09-30T07:09:42-04:00,0,0%
CAS,6203,West Campus/Perry Nbnd,1103,N,2020-09-30T07:09:55-04:00,0,0%
CAS,6203,West Campus/Perry Nbnd,1103,N,2020-09-30T07:10:17-04:00,0,0%
CAS,6203,West Campus/Perry Nbnd,1103,N,2020-09-30T07:10:34-04:00,0,0%
CAS,6203,McBryde Hall,1106,N,2020-09-30T07:10:54-04:00,0,0%
CAS,6203,McBryde Hall,1106,N,2020-09-30T07:11:26-04:00,0,0%
CAS,6203,McBryde Hall,1106,N,2020-09-30T07:11:39-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:12:05-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:12:05-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:12:34-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:13:04-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:13:04-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:13:34-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:14:06-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:14:06-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:14:34-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:15:04-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:15:09-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:15:34-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:16:04-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:16:11-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:16:34-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:17:04-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:17:12-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:17:34-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:18:04-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:18:15-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:18:34-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:19:04-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:19:17-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:19:34-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:20:05-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:20:05-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:20:45-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:20:55-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:21:25-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:21:49-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:22:00-04:00,0,0%
CAS,6203,Litton Reaves Hall,1116,N,2020-09-30T07:22:34-04:00,0,0%
CAS,6203,Litton Reaves Hall,1116,N,2020-09-30T07:22:34-04:00,0,0%
CAS,6203,Litton Reaves Hall,1116,N,2020-09-30T07:22:58-04:00,0,0%
CAS,6203,Litton Reaves Hall,1116,N,2020-09-30T07:23:21-04:00,0,0%
CAS,6203,Bioinfomatics Bldg,1131,N,2020-09-30T07:23:39-04:00,0,0%
CAS,6203,Bioinfomatics Bldg,1131,N,2020-09-30T07:24:14-04:00,0,0%
CAS,6203,Bioinfomatics Bldg,1131,N,2020-09-30T07:24:31-04:00,0,0%
CAS,6203,Bioinfomatics Bldg,1131,N,2020-09-30T07:24:54-04:00,0,0%
CAS,6203,Smithfield Lot,1135,Y,2020-09-30T07:25:11-04:00,0,0%
CAS,6203,Smithfield Lot,1135,Y,2020-09-30T07:25:24-04:00,0,0%
CAS,6203,Smithfield Lot,1135,Y,2020-09-30T07:25:55-04:00,0,0%
CAS,6203,I Lot/Cage Sbnd,1121,N,2020-09-30T07:26:04-04:00,0,0%
CAS,6203,Food Science Bldg,1122,N,2020-09-30T07:26:28-04:00,0,0%
CAS,6203,Food Science Bldg,1122,N,2020-09-30T07:26:42-04:00,0,0%
CAS,6203,Harper Hall,1126,N,2020-09-30T07:27:10-04:00,0,0%
CAS,6203,Harper Hall,1126,N,2020-09-30T07:27:36-04:00,0,0%
CAS,6203,Harper Hall,1126,N,2020-09-30T07:27:56-04:00,0,0%
CAS,6203,Harper Hall,1126,N,2020-09-30T07:28:06-04:00,0,0%
CAS,6203,West Campus/Perry Nbnd,1103,N,2020-09-30T07:28:35-04:00,0,0%
CAS,6203,West Campus/Perry Nbnd,1103,N,2020-09-30T07:28:54-04:00,0,0%
CAS,6203,West Campus/Perry Nbnd,1103,N,2020-09-30T07:29:14-04:00,0,0%
CAS,6203,West Campus/Perry Nbnd,1103,N,2020-09-30T07:29:37-04:00,0,0%
CAS,6203,West Campus/Perry Nbnd,1103,N,2020-09-30T07:29:53-04:00,0,0%
CAS,6203,McBryde Hall,1106,N,2020-09-30T07:30:14-04:00,0,0%
CAS,6203,McBryde Hall,1106,N,2020-09-30T07:30:14-04:00,0,0%
CAS,6203,McBryde Hall,1106,N,2020-09-30T07:30:55-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:31:10-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:31:25-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:31:55-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:32:13-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:32:25-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:32:55-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:33:14-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:33:25-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:33:55-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:34:17-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:34:25-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:34:55-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:35:19-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:35:25-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:35:55-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:36:20-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:36:25-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:36:55-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:36:55-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:37:25-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:37:55-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:37:55-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:38:25-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:38:55-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:38:55-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:39:25-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:39:55-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:40:06-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:40:25-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:40:59-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:41:05-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:41:44-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:42:00-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:42:11-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:42:29-04:00,0,0%
CAS,6203,Litton Reaves Hall,1116,N,2020-09-30T07:43:06-04:00,0,0%
CAS,6203,Litton Reaves Hall,1116,N,2020-09-30T07:43:27-04:00,0,0%
CAS,6203,Litton Reaves Hall,1116,N,2020-09-30T07:43:27-04:00,0,0%
CAS,6203,Litton Reaves Hall,1116,N,2020-09-30T07:43:52-04:00,0,0%
CAS,6203,Bioinfomatics Bldg,1131,N,2020-09-30T07:44:25-04:00,0,0%
CAS,6203,Bioinfomatics Bldg,1131,N,2020-09-30T07:44:44-04:00,0,0%
CAS,6203,Bioinfomatics Bldg,1131,N,2020-09-30T07:44:57-04:00,0,0%
CAS,6203,Smithfield Lot,1135,Y,2020-09-30T07:45:25-04:00,0,0%
CAS,6203,Smithfield Lot,1135,Y,2020-09-30T07:45:45-04:00,0,0%
CAS,6203,I Lot/Cage Sbnd,1121,N,2020-09-30T07:46:06-04:00,0,0%
CAS,6203,I Lot/Cage Sbnd,1121,N,2020-09-30T07:46:14-04:00,0,0%
CAS,6203,Food Science Bldg,1122,N,2020-09-30T07:46:40-04:00,0,0%
CAS,6203,Food Science Bldg,1122,N,2020-09-30T07:46:52-04:00,0,0%
CAS,6203,Harper Hall,1126,N,2020-09-30T07:47:22-04:00,0,0%
CAS,6203,Harper Hall,1126,N,2020-09-30T07:47:48-04:00,0,0%
CAS,6203,Harper Hall,1126,N,2020-09-30T07:48:05-04:00,0,0%
CAS,6203,Harper Hall,1126,N,2020-09-30T07:48:22-04:00,0,0%
CAS,6203,Harper Hall,1126,N,2020-09-30T07:48:40-04:00,0,0%
CAS,6203,West Campus/Perry Nbnd,1103,N,2020-09-30T07:49:03-04:00,0,0%
CAS,6203,West Campus/Perry Nbnd,1103,N,2020-09-30T07:49:19-04:00,0,0%
CAS,6203,West Campus/Perry Nbnd,1103,N,2020-09-30T07:49:43-04:00,0,0%
CAS,6203,West Campus/Perry Nbnd,1103,N,2020-09-30T07:49:57-04:00,0,0%
CAS,6203,West Campus/Perry Nbnd,1103,N,2020-09-30T07:50:18-04:00,0,0%
CAS,6203,West Campus/Perry Nbnd,1103,N,2020-09-30T07:50:42-04:00,0,0%
CAS,6203,McBryde Hall,1106,N,2020-09-30T07:51:09-04:00,0,0%
CAS,6203,McBryde Hall,1106,N,2020-09-30T07:51:27-04:00,0,0%
CAS,6203,McBryde Hall,1106,N,2020-09-30T07:51:39-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:52:09-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:52:16-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:52:37-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:53:07-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:53:14-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:53:37-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:54:07-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:54:17-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:54:37-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:55:07-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:55:25-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:55:39-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:56:07-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:56:19-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:56:37-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:57:07-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:57:21-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:57:37-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:58:07-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:58:23-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:58:37-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:59:07-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:59:26-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T07:59:37-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T08:00:07-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T08:00:07-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T08:00:52-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T08:01:14-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T08:01:35-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T08:01:44-04:00,0,0%
CAS,6203,Burruss Hall,1101,Y,2020-09-30T08:02:10-04:00,0,0%
CAS,6203,Litton Reaves Hall,1116,N,2020-09-30T08:02:26-04:00,0,0%
CAS,6203,Litton Reaves Hall,1116,N,2020-09-30T08:02:56-04:00,0,0%
