routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
CBD,6014,Stanger/Perry Nbnd,1105,N,2020-10-02T15:13:01-04:00,0,0%
CBD,6014,Stanger/Perry Nbnd,1105,N,2020-10-02T15:13:35-04:00,0,0%
CBD,6014,Stanger/Perry Nbnd,1105,N,2020-10-02T15:13:55-04:00,0,0%
CBD,6014,Stanger/Perry Nbnd,1105,N,2020-10-02T15:14:08-04:00,0,0%
CBD,6014,Stanger/Perry Nbnd,1105,N,2020-10-02T15:14:17-04:00,0,0%
CBD,6014,Stanger/Perry Nbnd,1105,N,2020-10-02T15:14:55-04:00,0,0%
CBD,6014,Stanger/Perry Nbnd,1105,N,2020-10-02T15:15:14-04:00,0,0%
CBD,6014,Stanger/Perry Nbnd,1105,N,2020-10-02T15:15:38-04:00,0,0%
CBD,6014,Stanger/Perry Nbnd,1105,N,2020-10-02T15:15:59-04:00,0,0%
CBD,6014,Prices Fork/Old Glade Wbnd,1200,N,2020-10-02T15:16:19-04:00,0,0%
CBD,6014,Vet School Wbnd,1201,N,2020-10-02T15:16:37-04:00,0,0%
CBD,6014,Vet School Wbnd,1201,N,2020-10-02T15:16:50-04:00,0,0%
CBD,6014,Vet School Wbnd,1201,N,2020-10-02T15:17:11-04:00,0,0%
CBD,6014,Prices Fork/Plantation Wbnd,1202,N,2020-10-02T15:17:36-04:00,0,0%
CBD,6014,Prices Fork/Plantation Wbnd,1202,N,2020-10-02T15:17:54-04:00,0,0%
CBD,6014,Prices Fork/Plantation Wbnd,1202,N,2020-10-02T15:18:06-04:00,0,0%
CBD,6014,Prices Fork/Plantation Wbnd,1202,N,2020-10-02T15:18:36-04:00,0,0%
CBD,6014,Prices Fork/Plantation Wbnd,1202,N,2020-10-02T15:18:55-04:00,0,0%
CBD,6014,Prices Fork/Plantation Wbnd,1202,N,2020-10-02T15:19:06-04:00,0,0%
CBD,6014,Prices Fork/Plantation Wbnd,1202,N,2020-10-02T15:19:36-04:00,0,0%
CBD,6014,Prices Fork/Plantation Wbnd,1202,N,2020-10-02T15:19:58-04:00,0,0%
CBD,6014,Prices Fork/Plantation Wbnd,1202,N,2020-10-02T15:20:12-04:00,0,0%
