routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
CBD,1920,Prices Fork/Old Glade Wbnd,1200,N,2020-09-25T10:44:11-04:00,12,15%
CBD,1920,Vet School Wbnd,1201,N,2020-09-25T10:44:31-04:00,12,15%
CBD,1920,Vet School Wbnd,1201,N,2020-09-25T10:44:42-04:00,12,15%
CBD,1920,Vet School Wbnd,1201,N,2020-09-25T10:45:02-04:00,12,15%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T10:45:29-04:00,12,15%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T10:45:49-04:00,12,15%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T10:45:59-04:00,12,15%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T10:46:24-04:00,12,15%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T10:46:24-04:00,12,15%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T10:47:02-04:00,12,15%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T10:47:24-04:00,12,15%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T10:47:54-04:00,12,15%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T10:48:03-04:00,12,15%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T10:48:24-04:00,12,15%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T10:48:54-04:00,12,15%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T10:49:05-04:00,12,15%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T10:49:24-04:00,12,15%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T10:49:54-04:00,12,15%
CBD,1920,Carpenter Blvd/Redd Circle,1221,Y,2020-09-25T10:50:14-04:00,14,18%
CBD,1920,Carpenter Blvd/Redd Circle,1221,Y,2020-09-25T10:50:24-04:00,14,18%
CBD,1920,Carpenter Blvd/Redd Circle,1221,Y,2020-09-25T10:50:54-04:00,14,18%
CBD,1920,Carpenter Blvd/Redd Circle,1221,Y,2020-09-25T10:51:09-04:00,14,18%
CBD,1920,Prices Fork/Plantation Ebnd,1216,N,2020-09-25T10:51:34-04:00,14,18%
CBD,1920,Prices Fork/Plantation Ebnd,1216,N,2020-09-25T10:51:49-04:00,14,18%
CBD,1920,Prices Fork/Plantation Ebnd,1216,N,2020-09-25T10:52:06-04:00,14,18%
CBD,1920,Prices Fork/Plantation Ebnd,1216,N,2020-09-25T10:52:37-04:00,14,18%
CBD,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-25T10:52:52-04:00,14,18%
CBD,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-25T10:53:11-04:00,14,18%
CBD,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-25T10:53:35-04:00,14,18%
CBD,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-25T10:53:56-04:00,14,18%
CBD,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-25T10:54:14-04:00,14,18%
CBD,1920,McBryde Hall,1106,N,2020-09-25T10:54:38-04:00,14,18%
CBD,1920,McBryde Hall,1106,N,2020-09-25T10:54:49-04:00,14,18%
CBD,1920,McBryde Hall,1106,N,2020-09-25T10:55:14-04:00,14,18%
CBD,1920,McBryde Hall,1106,N,2020-09-25T10:55:14-04:00,14,18%
CBD,1920,McBryde Hall,1106,N,2020-09-25T10:55:56-04:00,14,18%
CBD,1920,McBryde Hall,1106,N,2020-09-25T10:56:15-04:00,14,18%
CBD,1920,McBryde Hall,1106,N,2020-09-25T10:56:30-04:00,14,18%
CBD,1920,McBryde Hall,1106,N,2020-09-25T10:56:43-04:00,14,18%
CBD,1920,Burruss Hall,1101,N,2020-09-25T10:57:22-04:00,14,18%
CBD,1920,Burruss Hall,1101,N,2020-09-25T10:57:22-04:00,14,18%
CBD,1920,Burruss Hall,1101,N,2020-09-25T10:57:44-04:00,14,18%
CBD,1920,Burruss Hall,1101,N,2020-09-25T10:58:14-04:00,14,18%
CBD,1920,Hutcheson Hall,1107,N,2020-09-25T10:58:31-04:00,15,19%
CBD,1920,War Memorial Hall,1108,N,2020-09-25T10:58:54-04:00,15,19%
CBD,1920,War Memorial Hall,1108,N,2020-09-25T10:58:54-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T10:59:37-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T10:59:37-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:00:15-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:00:36-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:00:36-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:01:05-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:01:39-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:01:39-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:02:05-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:02:41-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:02:41-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:03:05-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:03:41-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:03:41-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:04:05-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:04:43-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:04:43-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:05:06-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:05:36-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:05:45-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:06:06-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:06:36-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:07:06-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:07:06-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:07:36-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:08:06-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:08:06-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:08:36-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:08:51-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:09:06-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:09:36-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:10:06-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:10:28-04:00,15,19%
CBD,1920,Newman Library,1100,Y,2020-09-25T11:10:36-04:00,15,19%
CBD,1920,Torgersen Hall,1114,N,2020-09-25T11:11:08-04:00,15,19%
CBD,1920,Torgersen Hall,1114,N,2020-09-25T11:11:21-04:00,15,19%
CBD,1920,Old Security Bldg,1104,N,2020-09-25T11:11:48-04:00,16,20%
CBD,1920,Old Security Bldg,1104,N,2020-09-25T11:11:50-04:00,16,20%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T11:12:21-04:00,16,20%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T11:12:42-04:00,16,20%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T11:12:42-04:00,16,20%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T11:13:25-04:00,16,20%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T11:13:42-04:00,16,20%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T11:13:52-04:00,16,20%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T11:14:25-04:00,16,20%
CBD,1920,McBryde Hall,1106,N,2020-09-25T15:56:23-04:00,35,44%
CBD,1920,Burruss Hall,1101,N,2020-09-25T15:56:37-04:00,35,44%
CBD,1920,Burruss Hall,1101,N,2020-09-25T15:57:01-04:00,35,44%
CBD,1920,Burruss Hall,1101,N,2020-09-25T15:57:10-04:00,35,44%
CBD,1920,Hutcheson Hall,1107,N,2020-09-25T15:57:37-04:00,35,44%
CBD,1920,War Memorial Hall,1108,N,2020-09-25T15:57:57-04:00,35,44%
CBD,1920,War Memorial Hall,1108,N,2020-09-25T15:58:20-04:00,35,44%
CBD,1920,War Memorial Hall,1108,N,2020-09-25T15:58:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T15:59:03-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T15:59:13-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T15:59:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:00:06-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:00:22-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:00:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:00:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:01:13-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:01:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:01:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:02:13-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:02:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:02:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:03:13-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:03:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:03:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:04:14-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:04:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:04:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:05:15-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:05:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:05:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:06:16-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:06:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:06:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:07:18-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:07:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:07:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:08:21-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:08:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:08:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:09:22-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:09:43-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:10:06-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:10:31-04:00,35,44%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:10:31-04:00,35,44%
CBD,1920,Torgersen Hall,1114,N,2020-09-25T16:11:06-04:00,35,44%
CBD,1920,Old Security Bldg,1104,N,2020-09-25T16:11:31-04:00,35,44%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T16:11:51-04:00,35,44%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T16:12:00-04:00,35,44%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T16:12:17-04:00,35,44%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T16:12:47-04:00,35,44%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T16:12:47-04:00,35,44%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T16:13:25-04:00,35,44%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T16:13:50-04:00,35,44%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T16:14:06-04:00,35,44%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T16:14:20-04:00,35,44%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T16:14:51-04:00,35,44%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T16:15:02-04:00,35,44%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T16:15:26-04:00,35,44%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T16:15:54-04:00,35,44%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T16:16:12-04:00,35,44%
CBD,1920,Stanger/Perry Nbnd,1105,N,2020-09-25T16:16:26-04:00,35,44%
CBD,1920,Prices Fork/Old Glade Wbnd,1200,N,2020-09-25T16:16:54-04:00,39,49%
CBD,1920,Vet School Wbnd,1201,N,2020-09-25T16:17:05-04:00,39,49%
CBD,1920,Vet School Wbnd,1201,N,2020-09-25T16:17:25-04:00,39,49%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T16:17:46-04:00,39,49%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T16:18:13-04:00,39,49%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T16:18:33-04:00,39,49%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T16:18:51-04:00,39,49%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T16:18:58-04:00,39,49%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T16:19:28-04:00,39,49%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T16:19:28-04:00,39,49%
CBD,1920,Prices Fork/Plantation Wbnd,1202,N,2020-09-25T16:20:06-04:00,39,49%
CBD,1920,Carpenter Blvd/Redd Circle,1221,Y,2020-09-25T16:20:28-04:00,39,49%
CBD,1920,Carpenter Blvd/Redd Circle,1221,Y,2020-09-25T16:20:58-04:00,39,49%
CBD,1920,Prices Fork/Plantation Ebnd,1216,N,2020-09-25T16:21:18-04:00,39,49%
CBD,1920,Prices Fork/Plantation Ebnd,1216,N,2020-09-25T16:21:34-04:00,39,49%
CBD,1920,Prices Fork/Plantation Ebnd,1216,N,2020-09-25T16:21:50-04:00,39,49%
CBD,1920,Prices Fork/Plantation Ebnd,1216,N,2020-09-25T16:22:09-04:00,39,49%
CBD,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-25T16:22:34-04:00,39,49%
CBD,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-25T16:22:42-04:00,39,49%
CBD,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-25T16:23:14-04:00,39,49%
CBD,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-25T16:23:26-04:00,39,49%
CBD,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-25T16:23:50-04:00,39,49%
CBD,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-25T16:24:12-04:00,39,49%
CBD,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-25T16:24:28-04:00,39,49%
CBD,1920,McBryde Hall,1106,N,2020-09-25T16:24:48-04:00,39,49%
CBD,1920,McBryde Hall,1106,N,2020-09-25T16:25:12-04:00,39,49%
CBD,1920,McBryde Hall,1106,N,2020-09-25T16:25:29-04:00,39,49%
CBD,1920,McBryde Hall,1106,N,2020-09-25T16:25:59-04:00,39,49%
CBD,1920,Burruss Hall,1101,N,2020-09-25T16:26:18-04:00,39,49%
CBD,1920,Burruss Hall,1101,N,2020-09-25T16:26:33-04:00,39,49%
CBD,1920,Burruss Hall,1101,N,2020-09-25T16:26:52-04:00,39,49%
CBD,1920,Hutcheson Hall,1107,N,2020-09-25T16:27:17-04:00,39,49%
CBD,1920,War Memorial Hall,1108,N,2020-09-25T16:27:39-04:00,39,49%
CBD,1920,War Memorial Hall,1108,N,2020-09-25T16:27:55-04:00,39,49%
CBD,1920,War Memorial Hall,1108,N,2020-09-25T16:28:12-04:00,39,49%
CBD,1920,War Memorial Hall,1108,N,2020-09-25T16:28:42-04:00,39,49%
CBD,1920,War Memorial Hall,1108,N,2020-09-25T16:28:42-04:00,39,49%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:29:12-04:00,39,49%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:29:12-04:00,39,49%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:29:42-04:00,39,49%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:30:19-04:00,39,49%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:30:42-04:00,39,49%
CBD,1920,Newman Library,1100,Y,2020-09-25T16:30:42-04:00,39,49%
