routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
CRC,6307,Burruss Hall,1101,Y,2020-09-21T07:14:21-04:00,1,1%
CRC,6306,Pratt Dr/Andrews Bldg Nbnd,1709,N,2020-09-21T07:14:24-04:00,0,0%
CRC,6307,Burruss Hall,1101,Y,2020-09-21T07:14:44-04:00,1,1%
CRC,6306,Pratt Dr/Andrews Bldg Nbnd,1709,N,2020-09-21T07:14:46-04:00,0,0%
CRC,6307,Burruss Hall,1101,Y,2020-09-21T07:14:44-04:00,1,1%
CRC,6306,Pratt Dr/Andrews Bldg Nbnd,1709,N,2020-09-21T07:15:05-04:00,0,0%
CRC,6307,Burruss Hall,1101,Y,2020-09-21T07:15:28-04:00,1,1%
CRC,6306,Pratt Dr/Andrews Bldg Nbnd,1709,N,2020-09-21T07:15:20-04:00,0,0%
CRC,6307,Burruss Hall,1101,Y,2020-09-21T07:15:44-04:00,0,0%
CRC,6306,Research Ctr/Innovation Nbnd,1722,N,2020-09-21T07:15:39-04:00,0,0%
CRC,6307,Burruss Hall,1101,Y,2020-09-21T07:15:54-04:00,0,0%
CRC,6306,Research Ctr/Innovation Nbnd,1722,N,2020-09-21T07:15:56-04:00,0,0%
CRC,6307,Burruss Hall,1101,Y,2020-09-21T07:16:24-04:00,0,0%
CRC,6306,Research Ctr/Innovation Nbnd,1722,N,2020-09-21T07:16:25-04:00,0,0%
CRC,6307,Burruss Hall,1101,Y,2020-09-21T07:16:35-04:00,0,0%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-21T07:16:38-04:00,0,0%
CRC,6307,Burruss Hall,1101,Y,2020-09-21T07:17:07-04:00,0,0%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-21T07:17:06-04:00,0,0%
CRC,6307,Litton Reaves Hall,1116,N,2020-09-21T07:17:27-04:00,0,0%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-21T07:17:24-04:00,0,0%
CRC,6307,Litton Reaves Hall,1116,N,2020-09-21T07:17:39-04:00,0,0%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-21T07:17:46-04:00,0,0%
CRC,6307,McComas Hall,1123,N,2020-09-21T07:18:00-04:00,0,0%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-21T07:17:59-04:00,0,0%
CRC,6307,McComas Hall,1123,N,2020-09-21T07:18:00-04:00,0,0%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-21T07:18:22-04:00,0,0%
CRC,6307,McComas Hall,1123,N,2020-09-21T07:18:00-04:00,0,0%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-21T07:18:41-04:00,0,0%
CRC,6307,McComas Hall,1123,N,2020-09-21T07:18:00-04:00,0,0%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-21T07:19:00-04:00,0,0%
CRC,6307,McComas Hall,1123,N,2020-09-21T07:18:00-04:00,0,0%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-21T07:19:24-04:00,0,0%
CRC,6307,McComas Hall,1123,N,2020-09-21T07:18:00-04:00,0,0%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-21T07:19:43-04:00,0,0%
CRC,6307,McComas Hall,1123,N,2020-09-21T07:18:00-04:00,0,0%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-21T07:19:57-04:00,0,0%
CRC,6307,McComas Hall,1123,N,2020-09-21T07:18:00-04:00,0,0%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-21T07:20:32-04:00,0,0%
CRC,6308,Blacksburg Transit,1649,Y,2020-09-21T07:20:26-04:00,1,1%
CRC,6307,McComas Hall,1123,N,2020-09-21T07:18:00-04:00,0,0%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-21T07:20:45-04:00,0,0%
CRC,6308,Commerce/Industrial Park Sbnd,1650,N,2020-09-21T07:20:45-04:00,1,1%
CRC,6307,McComas Hall,1123,N,2020-09-21T07:18:00-04:00,0,0%
CRC,6306,Lane Stadium S Endzone Nbnd,1128,N,2020-09-21T07:21:00-04:00,0,0%
CRC,6308,Commerce/Industrial Park Sbnd,1650,N,2020-09-21T07:21:07-04:00,1,1%
CRC,6307,McComas Hall,1123,N,2020-09-21T07:18:00-04:00,0,0%
CRC,6306,Lane Stadium S Endzone Nbnd,1128,N,2020-09-21T07:21:32-04:00,0,0%
CRC,6308,Industrial Park/Prosperity Wbnd,1651,N,2020-09-21T07:21:22-04:00,1,1%
CRC,6307,McComas Hall,1123,N,2020-09-21T07:18:00-04:00,0,0%
CRC,6306,Lane Stadium S Endzone Nbnd,1128,N,2020-09-21T07:21:43-04:00,0,0%
CRC,6308,Industrial Park/Transportation Res Wbnd,1647,N,2020-09-21T07:21:46-04:00,1,1%
CRC,6307,McComas Hall,1123,N,2020-09-21T07:18:00-04:00,0,0%
CRC,6306,Cassell Coliseum,1124,N,2020-09-21T07:22:12-04:00,0,0%
CRC,6308,Industrial Park/Transportation Res Wbnd,1647,N,2020-09-21T07:22:03-04:00,1,1%
CRC,6307,McComas Hall,1123,N,2020-09-21T07:18:00-04:00,0,0%
CRC,6306,Tennis Courts,1125,N,2020-09-21T07:22:31-04:00,0,0%
CRC,6308,Industrial Park/Transportation Res Wbnd,1647,N,2020-09-21T07:22:21-04:00,1,1%
CRC,6307,McComas Hall,1123,N,2020-09-21T07:18:00-04:00,0,0%
CRC,6306,Tennis Courts,1125,N,2020-09-21T07:22:53-04:00,0,0%
CRC,6308,Industrial Park/Transportation Res Wbnd,1647,N,2020-09-21T07:22:21-04:00,1,1%
CRC,6307,McComas Hall,1123,N,2020-09-21T07:18:00-04:00,0,0%
CRC,6306,Tennis Courts,1125,N,2020-09-21T07:23:07-04:00,0,0%
