routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
CRC,6306,Research Ctr/Innovation Nbnd,1722,N,2020-09-25T10:44:09-04:00,2,3%
CRC,6305,Research Ctr/Rimrock Sbnd,1711,N,2020-09-25T10:44:09-04:00,0,0%
CRC,6201,Burruss Hall,1101,Y,2020-09-25T10:44:07-04:00,6,9%
CRC,6306,Research Ctr/Innovation Nbnd,1722,N,2020-09-25T10:44:24-04:00,2,3%
CRC,6305,Industrial Park/Transportation Res Ebnd,1636,N,2020-09-25T10:44:33-04:00,0,0%
CRC,6201,Burruss Hall,1101,Y,2020-09-25T10:44:13-04:00,6,9%
CRC,6306,Research Ctr/Innovation Nbnd,1722,N,2020-09-25T10:44:24-04:00,2,3%
CRC,6305,Industrial Park/Transportation Res Ebnd,1636,N,2020-09-25T10:44:39-04:00,0,0%
CRC,6201,Burruss Hall,1101,Y,2020-09-25T10:44:43-04:00,6,9%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-25T10:45:11-04:00,2,3%
CRC,6305,Industrial Park/Transportation Res Ebnd,1636,N,2020-09-25T10:45:08-04:00,0,0%
CRC,6201,Burruss Hall,1101,Y,2020-09-25T10:45:14-04:00,8,11%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-25T10:45:32-04:00,2,3%
CRC,6305,Industrial Park/Transportation Res Ebnd,1636,N,2020-09-25T10:45:30-04:00,0,0%
CRC,6201,Burruss Hall,1101,Y,2020-09-25T10:45:14-04:00,8,11%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-25T10:45:50-04:00,2,3%
CRC,6305,Industrial Park/Transportation Res Ebnd,1636,N,2020-09-25T10:45:44-04:00,0,0%
CRC,6201,Burruss Hall,1101,Y,2020-09-25T10:45:35-04:00,8,11%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-25T10:46:12-04:00,2,3%
CRC,6305,Industrial Park/Transportation Res Ebnd,1636,N,2020-09-25T10:45:44-04:00,0,0%
CRC,6201,Burruss Hall,1101,Y,2020-09-25T10:46:09-04:00,8,11%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-25T10:46:26-04:00,2,3%
CRC,6305,Industrial Park/Transportation Res Ebnd,1636,N,2020-09-25T10:46:14-04:00,0,0%
CRC,6201,Burruss Hall,1101,Y,2020-09-25T10:46:29-04:00,8,11%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-25T10:46:57-04:00,2,3%
CRC,6305,Industrial Park/Transportation Res Ebnd,1636,N,2020-09-25T10:46:14-04:00,0,0%
CRC,6201,Burruss Hall,1101,Y,2020-09-25T10:46:44-04:00,8,11%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-25T10:47:12-04:00,2,3%
CRC,6305,Industrial Park/Transportation Res Ebnd,1636,N,2020-09-25T10:46:14-04:00,0,0%
CRC,6201,Litton Reaves Hall,1116,N,2020-09-25T10:47:12-04:00,8,11%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-25T10:47:29-04:00,2,3%
CRC,6305,Industrial Park/Transportation Res Ebnd,1636,N,2020-09-25T10:46:14-04:00,0,0%
CRC,6201,McComas Hall,1123,N,2020-09-25T10:47:32-04:00,8,11%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-25T10:47:44-04:00,2,3%
CRC,6305,Industrial Park/Transportation Res Ebnd,1636,N,2020-09-25T10:46:14-04:00,0,0%
CRC,6201,McComas Hall,1123,N,2020-09-25T10:47:48-04:00,8,11%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-25T10:48:15-04:00,2,3%
CRC,6305,Industrial Park/Transportation Res Ebnd,1636,N,2020-09-25T10:46:14-04:00,0,0%
CRC,6201,McComas Hall,1123,N,2020-09-25T10:48:06-04:00,8,11%
CRC,6306,Innovation/Smoot Wbnd,1724,N,2020-09-25T10:48:32-04:00,2,3%
CRC,6305,Industrial Park/Transportation Res Ebnd,1636,N,2020-09-25T10:46:14-04:00,0,0%
