routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
HDG,6404,Ascot/Hampton,1511,Y,2020-10-08T07:00:55-04:00,1,1%
HDG,6404,Ascot/Hampton,1511,Y,2020-10-08T07:00:58-04:00,1,1%
HDG,6404,Ascot/Harding Wbnd,1512,N,2020-10-08T07:01:37-04:00,1,1%
HDG,6404,Ascot/Harding Wbnd,1512,N,2020-10-08T07:01:57-04:00,1,1%
HDG,6404,Harding/Rucker Wbnd,1513,N,2020-10-08T07:02:11-04:00,1,1%
HDG,6404,Harding/Apperson Wbnd,1515,N,2020-10-08T07:02:39-04:00,1,1%
HDG,6404,Harding/Patrick Henry Wbnd,1516,N,2020-10-08T07:02:57-04:00,1,1%
HDG,6404,Harding/Cork Wbnd,1517,N,2020-10-08T07:03:21-04:00,1,1%
HDG,6404,Harding/Cork Wbnd,1517,N,2020-10-08T07:03:26-04:00,1,1%
HDG,6404,Harding/Cork Wbnd,1517,N,2020-10-08T07:03:46-04:00,1,1%
HDG,6404,Roanoke/Rutledge Wbnd,1519,N,2020-10-08T07:04:23-04:00,1,1%
HDG,6404,Roanoke/Wharton Wbnd,1520,N,2020-10-08T07:04:36-04:00,1,1%
HDG,6404,Roanoke/Penn Wbnd,1521,N,2020-10-08T07:04:54-04:00,1,1%
HDG,6404,Roanoke/Penn Wbnd,1521,N,2020-10-08T07:05:01-04:00,1,1%
HDG,6404,Roanoke/Penn Wbnd,1521,N,2020-10-08T07:05:34-04:00,1,1%
HDG,6404,Main St Post Office,1628,N,2020-10-08T07:05:48-04:00,1,1%
HDG,6404,Alumni Mall Wbnd,1112,N,2020-10-08T07:06:20-04:00,1,1%
HDG,6404,Alumni Mall Wbnd,1112,N,2020-10-08T07:06:29-04:00,1,1%
HDG,6404,Alumni Mall Wbnd,1112,N,2020-10-08T07:06:59-04:00,1,1%
HDG,6404,Squires Wbnd,1113,N,2020-10-08T07:07:10-04:00,0,0%
HDG,6404,Squires Wbnd,1113,N,2020-10-08T07:07:40-04:00,0,0%
HDG,6404,Squires Wbnd,1113,N,2020-10-08T07:07:50-04:00,0,0%
HDG,6404,Squires Wbnd,1113,N,2020-10-08T07:08:18-04:00,0,0%
HDG,6404,Burruss Hall,1101,N,2020-10-08T07:08:44-04:00,0,0%
HDG,6404,Burruss Hall,1101,N,2020-10-08T07:08:54-04:00,0,0%
HDG,6404,Burruss Hall,1101,N,2020-10-08T07:09:17-04:00,0,0%
HDG,6404,Hutcheson Hall,1107,N,2020-10-08T07:09:38-04:00,0,0%
HDG,6404,War Memorial Hall,1108,N,2020-10-08T07:10:01-04:00,0,0%
HDG,6404,War Memorial Hall,1108,N,2020-10-08T07:10:18-04:00,0,0%
HDG,6404,War Memorial Hall,1108,N,2020-10-08T07:10:41-04:00,0,0%
HDG,6404,War Memorial Hall,1108,N,2020-10-08T07:10:41-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:11:17-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:11:41-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:11:41-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:12:16-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:12:41-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:12:41-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:13:19-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:13:41-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:14:00-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:14:20-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:14:41-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:14:41-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:15:27-04:00,1,1%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:15:42-04:00,1,1%
HDG,6403,Ascot/Hampton,1511,Y,2020-10-08T07:15:28-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:15:51-04:00,1,1%
HDG,6403,Ascot/Hampton,1511,Y,2020-10-08T07:16:04-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:16:12-04:00,1,1%
HDG,6403,Ascot/Harding Wbnd,1512,N,2020-10-08T07:16:28-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:16:42-04:00,1,1%
HDG,6403,Ascot/Harding Wbnd,1512,N,2020-10-08T07:16:38-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:16:54-04:00,1,1%
HDG,6403,Harding/Rucker Wbnd,1513,N,2020-10-08T07:17:05-04:00,0,0%
HDG,6404,Squires Ebnd,1110,Y,2020-10-08T07:17:23-04:00,1,1%
HDG,6403,Harding/Apperson Wbnd,1515,N,2020-10-08T07:17:25-04:00,0,0%
HDG,6404,Alumni Mall Ebnd,1111,N,2020-10-08T07:17:42-04:00,1,1%
HDG,6403,Harding/Patrick Henry Wbnd,1516,N,2020-10-08T07:17:44-04:00,0,0%
HDG,6404,Alumni Mall Ebnd,1111,N,2020-10-08T07:18:05-04:00,1,1%
HDG,6403,Harding/Cork Wbnd,1517,N,2020-10-08T07:18:00-04:00,0,0%
HDG,6404,Main/Roanoke Sbnd,1600,N,2020-10-08T07:18:29-04:00,1,1%
HDG,6403,Harding/Cork Wbnd,1517,N,2020-10-08T07:18:20-04:00,0,0%
HDG,6404,Roanoke/Church Ebnd,1500,N,2020-10-08T07:18:49-04:00,1,1%
HDG,6403,Roanoke/Woolwine Wbnd,1518,N,2020-10-08T07:18:38-04:00,0,0%
HDG,6404,Roanoke/Wharton Ebnd,1501,N,2020-10-08T07:19:09-04:00,1,1%
