routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
HDG,6203,Squires Ebnd,1110,Y,2020-09-21T07:13:58-04:00,0,0%
HDG,6203,Squires Ebnd,1110,Y,2020-09-21T07:14:28-04:00,0,0%
HDG,6203,Squires Ebnd,1110,Y,2020-09-21T07:14:58-04:00,0,0%
HDG,6402,Ascot/Hampton,1511,Y,2020-09-21T07:15:02-04:00,0,0%
HDG,6203,Squires Ebnd,1110,Y,2020-09-21T07:15:22-04:00,0,0%
HDG,6402,Ascot/Hampton,1511,Y,2020-09-21T07:15:25-04:00,0,0%
HDG,6203,Squires Ebnd,1110,Y,2020-09-21T07:15:38-04:00,0,0%
HDG,6402,Ascot/Harding Wbnd,1512,N,2020-09-21T07:15:43-04:00,0,0%
HDG,6203,Squires Ebnd,1110,Y,2020-09-21T07:16:08-04:00,0,0%
HDG,6402,Harding/Rucker Wbnd,1513,N,2020-09-21T07:16:05-04:00,0,0%
HDG,6203,Squires Ebnd,1110,Y,2020-09-21T07:16:08-04:00,0,0%
HDG,6402,Harding/Sutton Wbnd,1514,N,2020-09-21T07:16:24-04:00,0,0%
HDG,6203,Squires Ebnd,1110,Y,2020-09-21T07:16:38-04:00,0,0%
HDG,6402,Harding/Patrick Henry Wbnd,1516,N,2020-09-21T07:16:48-04:00,0,0%
HDG,6203,Squires Ebnd,1110,Y,2020-09-21T07:16:55-04:00,0,0%
HDG,6402,Harding/Patrick Henry Wbnd,1516,N,2020-09-21T07:17:02-04:00,0,0%
HDG,6203,Alumni Mall Ebnd,1111,N,2020-09-21T07:17:19-04:00,0,0%
HDG,6402,Harding/Cork Wbnd,1517,N,2020-09-21T07:17:14-04:00,0,0%
HDG,6203,Alumni Mall Ebnd,1111,N,2020-09-21T07:17:37-04:00,0,0%
HDG,6402,Harding/Cork Wbnd,1517,N,2020-09-21T07:17:33-04:00,0,0%
HDG,6203,Main/Roanoke Sbnd,1600,N,2020-09-21T07:18:08-04:00,0,0%
HDG,6402,Roanoke/Rutledge Wbnd,1519,N,2020-09-21T07:18:06-04:00,0,0%
HDG,6203,Roanoke/Church Ebnd,1500,N,2020-09-21T07:18:22-04:00,0,0%
HDG,6402,Roanoke/Penn Wbnd,1521,N,2020-09-21T07:18:30-04:00,0,0%
HDG,6203,Roanoke/Rutledge Ebnd,1502,N,2020-09-21T07:18:48-04:00,0,0%
HDG,6402,Roanoke/Penn Wbnd,1521,N,2020-09-21T07:18:46-04:00,0,0%
HDG,6203,Roanoke/Woolwine Ebnd,1503,N,2020-09-21T07:19:03-04:00,0,0%
HDG,6402,Roanoke/Penn Wbnd,1521,N,2020-09-21T07:18:46-04:00,0,0%
HDG,6203,Roanoke/Woolwine Ebnd,1503,N,2020-09-21T07:19:22-04:00,0,0%
HDG,6402,Roanoke/Penn Wbnd,1521,N,2020-09-21T07:19:23-04:00,0,0%
HDG,6203,Harding/Owens Ebnd,1504,N,2020-09-21T07:19:41-04:00,0,0%
HDG,6402,Roanoke/Penn Wbnd,1521,N,2020-09-21T07:19:43-04:00,0,0%
HDG,6203,Harding/Patrick Henry Ebnd,1506,N,2020-09-21T07:20:05-04:00,0,0%
HDG,6402,Main St Post Office,1628,N,2020-09-21T07:19:59-04:00,0,0%
HDG,6203,Harding/Vista Ebnd,1508,N,2020-09-21T07:20:32-04:00,0,0%
HDG,6402,Alumni Mall Wbnd,1112,N,2020-09-21T07:20:24-04:00,0,0%
HDG,6203,Harding/Vista Ebnd,1508,N,2020-09-21T07:20:45-04:00,0,0%
HDG,6402,Alumni Mall Wbnd,1112,N,2020-09-21T07:20:36-04:00,0,0%
HDG,6203,Harding/Roanoke Ebnd,1509,N,2020-09-21T07:21:03-04:00,0,0%
HDG,6402,Squires Wbnd,1113,N,2020-09-21T07:21:05-04:00,0,0%
HDG,6203,Ascot/Harding Ebnd,1510,N,2020-09-21T07:21:17-04:00,0,0%
HDG,6402,Squires Wbnd,1113,N,2020-09-21T07:21:22-04:00,0,0%
HDG,6203,Ascot/Harding Ebnd,1510,N,2020-09-21T07:21:45-04:00,0,0%
HDG,6402,Squires Wbnd,1113,N,2020-09-21T07:21:45-04:00,0,0%
HDG,6203,Ascot/Harding Ebnd,1510,N,2020-09-21T07:22:00-04:00,0,0%
HDG,6402,Burruss Hall,1101,N,2020-09-21T07:22:07-04:00,0,0%
HDG,6203,Ascot/Harding Ebnd,1510,N,2020-09-21T07:22:15-04:00,0,0%
HDG,6402,Burruss Hall,1101,N,2020-09-21T07:22:29-04:00,0,0%
HDG,6203,Ascot/Harding Ebnd,1510,N,2020-09-21T07:22:45-04:00,0,0%
HDG,6402,Burruss Hall,1101,N,2020-09-21T07:22:51-04:00,0,0%
HDG,6203,Ascot/Harding Ebnd,1510,N,2020-09-21T07:22:53-04:00,0,0%
HDG,6402,Hutcheson Hall,1107,N,2020-09-21T07:23:11-04:00,0,0%
HDG,6203,Ascot/Harding Ebnd,1510,N,2020-09-21T07:23:15-04:00,0,0%
HDG,6402,War Memorial Hall,1108,N,2020-09-21T07:23:19-04:00,0,0%
HDG,6203,Ascot/Harding Ebnd,1510,N,2020-09-21T07:23:45-04:00,0,0%
HDG,6402,War Memorial Hall,1108,N,2020-09-21T07:23:32-04:00,0,0%
HDG,6203,Ascot/Harding Ebnd,1510,N,2020-09-21T07:23:56-04:00,0,0%
HDG,6402,War Memorial Hall,1108,N,2020-09-21T07:24:02-04:00,0,0%
HDG,6203,Ascot/Harding Ebnd,1510,N,2020-09-21T07:24:15-04:00,0,0%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:24:33-04:00,0,0%
HDG,6203,Ascot/Harding Ebnd,1510,N,2020-09-21T07:24:45-04:00,0,0%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:24:42-04:00,0,0%
HDG,6203,Ascot/Harding Ebnd,1510,N,2020-09-21T07:25:05-04:00,0,0%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:24:42-04:00,0,0%
HDG,6203,Ascot/Harding Ebnd,1510,N,2020-09-21T07:25:31-04:00,0,0%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:25:23-04:00,0,0%
HDG,6203,Ascot/Hampton,1511,Y,2020-09-21T07:25:49-04:00,1,1%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:25:35-04:00,0,0%
HDG,6203,Ascot/Hampton,1511,Y,2020-09-21T07:25:49-04:00,1,1%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:25:53-04:00,0,0%
HDG,6203,Ascot/Harding Wbnd,1512,N,2020-09-21T07:26:31-04:00,1,1%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:26:23-04:00,0,0%
HDG,6203,Ascot/Harding Wbnd,1512,N,2020-09-21T07:26:51-04:00,1,1%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:26:53-04:00,0,0%
HDG,6203,Harding/Rucker Wbnd,1513,N,2020-09-21T07:27:10-04:00,1,1%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:26:53-04:00,0,0%
HDG,6203,Harding/Apperson Wbnd,1515,N,2020-09-21T07:27:31-04:00,1,1%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:27:23-04:00,0,0%
HDG,6203,Harding/Patrick Henry Wbnd,1516,N,2020-09-21T07:27:45-04:00,1,1%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:27:53-04:00,0,0%
HDG,6203,Harding/Cork Wbnd,1517,N,2020-09-21T07:28:14-04:00,1,1%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:27:53-04:00,0,0%
HDG,6203,Harding/Cork Wbnd,1517,N,2020-09-21T07:28:29-04:00,1,1%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:28:23-04:00,0,0%
HDG,6203,Roanoke/Woolwine Wbnd,1518,N,2020-09-21T07:28:50-04:00,1,1%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:28:53-04:00,0,0%
HDG,6203,Roanoke/Wharton Wbnd,1520,N,2020-09-21T07:29:11-04:00,1,1%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:28:53-04:00,0,0%
HDG,6203,Roanoke/Penn Wbnd,1521,N,2020-09-21T07:29:32-04:00,1,1%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:29:34-04:00,0,0%
HDG,6203,Main St Post Office,1628,N,2020-09-21T07:29:56-04:00,1,1%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:29:53-04:00,0,0%
HDG,6203,Main St Post Office,1628,N,2020-09-21T07:30:11-04:00,1,1%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:30:06-04:00,0,0%
HDG,6203,Main St Post Office,1628,N,2020-09-21T07:30:31-04:00,1,1%
HDG,6402,Squires Ebnd,1110,Y,2020-09-21T07:30:22-04:00,0,0%
HDG,6203,Alumni Mall Wbnd,1112,N,2020-09-21T07:30:52-04:00,0,0%
HDG,6402,Alumni Mall Ebnd,1111,N,2020-09-21T07:30:57-04:00,0,0%
HDG,6203,Alumni Mall Wbnd,1112,N,2020-09-21T07:31:05-04:00,0,0%
HDG,6402,Alumni Mall Ebnd,1111,N,2020-09-21T07:31:18-04:00,0,0%
HDG,6203,Squires Wbnd,1113,N,2020-09-21T07:31:36-04:00,0,0%
HDG,6402,Alumni Mall Ebnd,1111,N,2020-09-21T07:31:33-04:00,0,0%
HDG,6203,Squires Wbnd,1113,N,2020-09-21T07:31:36-04:00,0,0%
HDG,6402,Main/Roanoke Sbnd,1600,N,2020-09-21T07:31:56-04:00,0,0%
HDG,6203,Squires Wbnd,1113,N,2020-09-21T07:32:13-04:00,0,0%
HDG,6402,Main/Roanoke Sbnd,1600,N,2020-09-21T07:32:13-04:00,0,0%
HDG,6203,Squires Wbnd,1113,N,2020-09-21T07:32:26-04:00,0,0%
HDG,6402,Roanoke/Church Ebnd,1500,N,2020-09-21T07:32:29-04:00,0,0%
HDG,6203,Burruss Hall,1101,N,2020-09-21T07:32:54-04:00,0,0%
HDG,6402,Roanoke/Rutledge Ebnd,1502,N,2020-09-21T07:32:49-04:00,0,0%
HDG,6203,Burruss Hall,1101,N,2020-09-21T07:32:54-04:00,0,0%
HDG,6402,Roanoke/Woolwine Ebnd,1503,N,2020-09-21T07:33:11-04:00,0,0%
HDG,6203,Hutcheson Hall,1107,N,2020-09-21T07:33:33-04:00,0,0%
