routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
HWA,6425,Tall Oaks/Colonial Sbnd,1222,Y,2020-10-09T07:07:40-04:00,76,71%
HWA,6425,Tall Oaks/Foxtrail Sbnd,1208,N,2020-10-09T07:07:54-04:00,76,71%
HWA,6425,Tall Oaks/Foxtrail Sbnd,1208,N,2020-10-09T07:08:24-04:00,76,71%
HWA,6425,Tall Oaks/Foxtrail Sbnd,1208,N,2020-10-09T07:08:35-04:00,76,71%
HWA,6425,Tall Oaks/Foxtrail Sbnd,1208,N,2020-10-09T07:08:54-04:00,76,71%
HWA,6425,Stroubles Cr,1209,Y,2020-10-09T07:09:12-04:00,76,71%
HWA,6425,Tall Oaks/Copper Croft Nbnd,1211,N,2020-10-09T07:09:40-04:00,76,71%
HWA,6425,Tall Oaks/Copper Croft Nbnd,1211,N,2020-10-09T07:09:50-04:00,76,71%
HWA,6425,Heather/Tall Oaks Nbnd,1212,N,2020-10-09T07:10:20-04:00,76,71%
HWA,6323,Tall Oaks/Colonial Sbnd,1222,Y,2020-10-09T07:10:15-04:00,0,0%
HWA,6425,Heather/Plymouth Nbnd,1213,N,2020-10-09T07:10:40-04:00,76,71%
HWA,6323,Tall Oaks/Foxtrail Sbnd,1208,N,2020-10-09T07:10:43-04:00,0,0%
HWA,6425,Heather/Plymouth Nbnd,1213,N,2020-10-09T07:11:02-04:00,76,71%
HWA,6323,Tall Oaks/Foxtrail Sbnd,1208,N,2020-10-09T07:10:56-04:00,0,0%
HWA,6425,Heather/Huntington Nbnd,1214,N,2020-10-09T07:11:22-04:00,76,71%
HWA,6323,Tall Oaks/Foxtrail Sbnd,1208,N,2020-10-09T07:11:18-04:00,0,0%
HWA,6425,Heather/Huntington Nbnd,1214,N,2020-10-09T07:11:32-04:00,76,71%
HWA,6323,Tall Oaks/Foxtrail Sbnd,1208,N,2020-10-09T07:11:26-04:00,0,0%
HWA,6425,Heather/Huntington Nbnd,1214,N,2020-10-09T07:12:02-04:00,76,71%
HWA,6323,Stroubles Cr,1209,Y,2020-10-09T07:11:56-04:00,0,0%
HWA,6425,Heather/Huntington Nbnd,1214,N,2020-10-09T07:12:02-04:00,76,71%
HWA,6323,Tall Oaks/Copper Croft Nbnd,1211,N,2020-10-09T07:12:24-04:00,0,0%
HWA,6425,Heather/Huntington Nbnd,1214,N,2020-10-09T07:12:32-04:00,76,71%
HWA,6323,Tall Oaks/Copper Croft Nbnd,1211,N,2020-10-09T07:12:39-04:00,0,0%
HWA,6425,Heather/Huntington Nbnd,1214,N,2020-10-09T07:13:06-04:00,76,71%
HWA,6323,Heather/Tall Oaks Nbnd,1212,N,2020-10-09T07:12:59-04:00,0,0%
HWA,6425,Heather/Huntington Nbnd,1214,N,2020-10-09T07:13:19-04:00,76,71%
HWA,6323,Heather/Plymouth Nbnd,1213,N,2020-10-09T07:13:18-04:00,0,0%
HWA,6425,Heather/Huntington Nbnd,1214,N,2020-10-09T07:13:35-04:00,76,71%
HWA,6323,Heather/Plymouth Nbnd,1213,N,2020-10-09T07:13:44-04:00,0,0%
HWA,6425,Heather/Huntington Nbnd,1214,N,2020-10-09T07:14:01-04:00,76,71%
HWA,6323,Heather/Huntington Nbnd,1214,N,2020-10-09T07:14:03-04:00,0,0%
HWA,6425,Prices Fork/Plantation Ebnd,1216,N,2020-10-09T07:14:22-04:00,76,71%
HWA,6323,Heather/Huntington Nbnd,1214,N,2020-10-09T07:14:05-04:00,0,0%
HWA,6425,Prices Fork/Plantation Ebnd,1216,N,2020-10-09T07:14:43-04:00,76,71%
HWA,6323,Heather/Huntington Nbnd,1214,N,2020-10-09T07:14:33-04:00,0,0%
HWA,6425,Prices Fork/Plantation Ebnd,1216,N,2020-10-09T07:15:05-04:00,76,71%
HWA,6323,Heather/Huntington Nbnd,1214,N,2020-10-09T07:15:03-04:00,0,0%
HWA,6425,Prices Fork/Old Glade Ebnd,1218,N,2020-10-09T07:15:21-04:00,76,71%
HWA,6323,Heather/Huntington Nbnd,1214,N,2020-10-09T07:15:18-04:00,0,0%
HWA,6425,Prices Fork/Old Glade Ebnd,1218,N,2020-10-09T07:15:43-04:00,76,71%
HWA,6323,Heather/Huntington Nbnd,1214,N,2020-10-09T07:15:33-04:00,0,0%
HWA,6425,Prices Fork/Old Glade Ebnd,1218,N,2020-10-09T07:16:05-04:00,76,71%
HWA,6323,Heather/Huntington Nbnd,1214,N,2020-10-09T07:16:00-04:00,0,0%
HWA,6425,Prices Fork/Old Glade Ebnd,1218,N,2020-10-09T07:16:28-04:00,76,71%
HWA,6323,Prices Fork/Plantation Ebnd,1216,N,2020-10-09T07:16:23-04:00,0,0%
HWA,6425,Prices Fork/Old Glade Ebnd,1218,N,2020-10-09T07:16:28-04:00,76,71%
HWA,6323,Prices Fork/Plantation Ebnd,1216,N,2020-10-09T07:16:42-04:00,0,0%
HWA,6425,Prices Fork/Old Glade Ebnd,1218,N,2020-10-09T07:17:09-04:00,76,71%
HWA,6323,Prices Fork/Plantation Ebnd,1216,N,2020-10-09T07:17:02-04:00,0,0%
HWA,6425,Prices Fork/Old Glade Ebnd,1218,N,2020-10-09T07:17:28-04:00,76,71%
HWA,6323,Prices Fork/Old Glade Ebnd,1218,N,2020-10-09T07:17:20-04:00,0,0%
HWA,6425,McBryde Hall,1106,N,2020-10-09T07:17:47-04:00,76,71%
HWA,6323,Prices Fork/Old Glade Ebnd,1218,N,2020-10-09T07:17:41-04:00,0,0%
HWA,6425,McBryde Hall,1106,N,2020-10-09T07:18:00-04:00,76,71%
