routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
HWA,6425,Vet School Wbnd,1201,N,2020-09-24T14:21:16-04:00,0,0%
HWA,6728,Prices Fork/Plantation Ebnd,1216,N,2020-09-24T14:21:19-04:00,0,0%
HWA,6425,Vet School Wbnd,1201,N,2020-09-24T14:21:37-04:00,0,0%
HWA,6728,Prices Fork/Plantation Ebnd,1216,N,2020-09-24T14:21:30-04:00,0,0%
HWA,6425,Vet School Wbnd,1201,N,2020-09-24T14:21:56-04:00,0,0%
HWA,6728,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:21:55-04:00,0,0%
HWA,6425,Vet School Wbnd,1201,N,2020-09-24T14:22:20-04:00,0,0%
HWA,6728,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:22:19-04:00,0,0%
HWA,6425,Prices Fork/Plantation Wbnd,1202,N,2020-09-24T14:22:31-04:00,0,0%
HWA,6728,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:22:32-04:00,0,0%
HWA,6425,Prices Fork/Plantation Wbnd,1202,N,2020-09-24T14:22:46-04:00,0,0%
HWA,6728,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:22:58-04:00,0,0%
HWA,6425,Prices Fork/Plantation Wbnd,1202,N,2020-09-24T14:23:19-04:00,0,0%
HWA,6728,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:22:58-04:00,0,0%
HWA,6425,Prices Fork/Plantation Wbnd,1202,N,2020-09-24T14:23:19-04:00,0,0%
HWA,6728,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:23:37-04:00,0,0%
HWA,6425,Prices Fork/Plantation Wbnd,1202,N,2020-09-24T14:23:46-04:00,0,0%
HWA,6728,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:23:49-04:00,0,0%
HWA,6425,Prices Fork/Plantation Wbnd,1202,N,2020-09-24T14:24:17-04:00,0,0%
HWA,6728,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:24:19-04:00,0,0%
HWA,6425,Prices Fork/Plantation Wbnd,1202,N,2020-09-24T14:24:43-04:00,0,0%
HWA,6728,McBryde Hall,1106,N,2020-09-24T14:24:44-04:00,0,0%
HWA,6425,Prices Fork/Plantation Wbnd,1202,N,2020-09-24T14:25:04-04:00,0,0%
HWA,6728,McBryde Hall,1106,N,2020-09-24T14:24:58-04:00,0,0%
HWA,6425,Heather/Plymouth Sbnd,1220,N,2020-09-24T14:25:19-04:00,0,0%
HWA,6728,McBryde Hall,1106,N,2020-09-24T14:25:16-04:00,0,0%
HWA,6425,Heather/Plymouth Sbnd,1220,N,2020-09-24T14:25:42-04:00,0,0%
HWA,6728,Burruss Hall,1101,Y,2020-09-24T14:25:41-04:00,0,0%
HWA,6425,Heather/Plymouth Sbnd,1220,N,2020-09-24T14:25:51-04:00,0,0%
HWA,6728,Burruss Hall,1101,Y,2020-09-24T14:25:57-04:00,0,0%
HWA,6425,Heather/Plymouth Sbnd,1220,N,2020-09-24T14:26:16-04:00,0,0%
HWA,6728,Burruss Hall,1101,Y,2020-09-24T14:26:11-04:00,0,0%
HWA,6425,Tall Oaks/Colonial Sbnd,1222,N,2020-09-24T14:26:40-04:00,0,0%
HWA,6728,Burruss Hall,1101,Y,2020-09-24T14:26:27-04:00,0,0%
HWA,6425,Tall Oaks/Colonial Sbnd,1222,N,2020-09-24T14:26:55-04:00,0,0%
HWA,6728,Burruss Hall,1101,Y,2020-09-24T14:26:57-04:00,0,0%
HWA,6425,Tall Oaks/Colonial Sbnd,1222,N,2020-09-24T14:27:25-04:00,0,0%
HWA,6728,Burruss Hall,1101,Y,2020-09-24T14:26:57-04:00,0,0%
HWA,6425,Tall Oaks/Foxtrail Sbnd,1208,N,2020-09-24T14:27:43-04:00,0,0%
HWA,6728,Burruss Hall,1101,Y,2020-09-24T14:26:57-04:00,0,0%
HWA,6425,Tall Oaks/Foxtrail Sbnd,1208,N,2020-09-24T14:28:06-04:00,0,0%
HWA,6728,Burruss Hall,1101,Y,2020-09-24T14:27:57-04:00,0,0%
HWA,6425,Tall Oaks/Foxtrail Sbnd,1208,N,2020-09-24T14:28:06-04:00,0,0%
HWA,6728,Burruss Hall,1101,Y,2020-09-24T14:27:57-04:00,0,0%
HWA,6425,Tall Oaks/Foxtrail Sbnd,1208,N,2020-09-24T14:28:41-04:00,0,0%
HWA,6728,Burruss Hall,1101,Y,2020-09-24T14:28:27-04:00,0,0%
HWA,6425,Tall Oaks/Foxtrail Sbnd,1208,N,2020-09-24T14:28:41-04:00,0,0%
HWA,6728,Burruss Hall,1101,Y,2020-09-24T14:28:57-04:00,0,0%
HWA,6425,Tall Oaks/Foxtrail Sbnd,1208,N,2020-09-24T14:29:06-04:00,0,0%
HWA,6728,Burruss Hall,1101,Y,2020-09-24T14:28:57-04:00,0,0%
HWA,6425,Tall Oaks/Foxtrail Sbnd,1208,N,2020-09-24T14:29:42-04:00,0,0%
HWA,6728,Burruss Hall,1101,Y,2020-09-24T14:29:27-04:00,0,0%
HWA,6425,Tall Oaks/Foxtrail Sbnd,1208,N,2020-09-24T14:30:07-04:00,0,0%
HWA,6728,Burruss Hall,1101,Y,2020-09-24T14:29:57-04:00,0,0%
HWA,6425,Tall Oaks/Foxtrail Sbnd,1208,N,2020-09-24T14:30:14-04:00,0,0%
HWA,6728,Burruss Hall,1101,Y,2020-09-24T14:30:20-04:00,0,0%
HWA,6425,Tall Oaks/Foxtrail Sbnd,1208,N,2020-09-24T14:30:37-04:00,0,0%
HWA,6728,Burruss Hall,1101,Y,2020-09-24T14:30:39-04:00,0,0%
HWA,6425,Stroubles Cr,1209,Y,2020-09-24T14:31:02-04:00,0,0%
HWA,6728,Burruss Hall,1101,Y,2020-09-24T14:30:55-04:00,0,0%
HWA,6425,Tall Oaks/Copper Croft Nbnd,1211,N,2020-09-24T14:31:22-04:00,0,0%
HWA,6728,Davidson Hall,1102,N,2020-09-24T14:31:26-04:00,0,0%
HWA,6425,Tall Oaks/Copper Croft Nbnd,1211,N,2020-09-24T14:31:34-04:00,0,0%
HWA,6728,Davidson Hall,1102,N,2020-09-24T14:31:38-04:00,0,0%
HWA,6425,Tall Oaks/Copper Croft Nbnd,1211,N,2020-09-24T14:32:04-04:00,0,0%
HWA,6728,West Campus/Perry Nbnd,1103,N,2020-09-24T14:32:05-04:00,0,0%
HWA,6425,Heather/Plymouth Nbnd,1213,N,2020-09-24T14:32:28-04:00,0,0%
HWA,6728,West Campus/Perry Nbnd,1103,N,2020-09-24T14:32:11-04:00,0,0%
HWA,6425,Heather/Plymouth Nbnd,1213,N,2020-09-24T14:32:28-04:00,0,0%
HWA,6728,West Campus/Perry Nbnd,1103,N,2020-09-24T14:32:41-04:00,0,0%
HWA,6425,Heather/Huntington Nbnd,1214,N,2020-09-24T14:33:08-04:00,0,0%
HWA,6728,West Campus/Perry Nbnd,1103,N,2020-09-24T14:32:41-04:00,0,0%
HWA,6425,Heather/Huntington Nbnd,1214,N,2020-09-24T14:33:20-04:00,0,0%
HWA,6728,West Campus/Perry Nbnd,1103,N,2020-09-24T14:33:11-04:00,0,0%
HWA,6425,Heather/Huntington Nbnd,1214,N,2020-09-24T14:33:47-04:00,0,0%
HWA,6728,West Campus/Perry Nbnd,1103,N,2020-09-24T14:33:41-04:00,0,0%
HWA,6425,Heather/Huntington Nbnd,1214,N,2020-09-24T14:34:02-04:00,0,0%
HWA,6728,West Campus/Perry Nbnd,1103,N,2020-09-24T14:34:06-04:00,0,0%
HWA,6425,Prices Fork/Plantation Ebnd,1216,N,2020-09-24T14:34:24-04:00,0,0%
HWA,6728,West Campus/Perry Nbnd,1103,N,2020-09-24T14:34:20-04:00,0,0%
HWA,6425,Prices Fork/Plantation Ebnd,1216,N,2020-09-24T14:34:41-04:00,0,0%
HWA,6728,West Campus/Perry Nbnd,1103,N,2020-09-24T14:34:36-04:00,0,0%
HWA,6425,Prices Fork/Plantation Ebnd,1216,N,2020-09-24T14:35:08-04:00,0,0%
HWA,6728,West Campus/Perry Nbnd,1103,N,2020-09-24T14:35:06-04:00,0,0%
HWA,6425,Prices Fork/Plantation Ebnd,1216,N,2020-09-24T14:35:26-04:00,0,0%
HWA,6728,West Campus/Perry Nbnd,1103,N,2020-09-24T14:35:06-04:00,0,0%
HWA,6425,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:35:50-04:00,0,0%
HWA,6728,West Campus/Perry Nbnd,1103,N,2020-09-24T14:35:49-04:00,0,0%
HWA,6425,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:36:01-04:00,0,0%
HWA,6728,West Campus/Perry Nbnd,1103,N,2020-09-24T14:36:00-04:00,0,0%
HWA,6425,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:36:18-04:00,0,0%
HWA,6728,Prices Fork/Old Glade Wbnd,1200,N,2020-09-24T14:36:24-04:00,0,0%
