routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
HWB,1915,Torgersen Hall,1114,Y,2020-09-21T07:14:12-04:00,2,2%
HWB,1920,Prices Fork/Plantation Ebnd,1216,N,2020-09-21T07:14:21-04:00,1,1%
HWB,1915,Torgersen Hall,1114,Y,2020-09-21T07:14:34-04:00,2,2%
HWB,1920,Prices Fork/Plantation Ebnd,1216,N,2020-09-21T07:14:42-04:00,1,1%
HWB,1915,Torgersen Hall,1114,Y,2020-09-21T07:15:04-04:00,2,2%
HWB,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-21T07:15:07-04:00,1,1%
HWB,1915,Torgersen Hall,1114,Y,2020-09-21T07:15:26-04:00,2,2%
HWB,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-21T07:15:23-04:00,1,1%
HWB,1915,Torgersen Hall,1114,Y,2020-09-21T07:15:45-04:00,2,2%
HWB,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-21T07:15:41-04:00,1,1%
HWB,1915,Old Security Bldg,1104,N,2020-09-21T07:16:08-04:00,1,1%
HWB,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-21T07:16:03-04:00,1,1%
HWB,1915,Stanger/Perry Nbnd,1105,N,2020-09-21T07:16:26-04:00,1,1%
HWB,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-21T07:16:18-04:00,1,1%
HWB,1915,Stanger/Perry Nbnd,1105,N,2020-09-21T07:16:31-04:00,1,1%
HWB,1920,Prices Fork/Old Glade Ebnd,1218,N,2020-09-21T07:16:50-04:00,1,1%
HWB,1915,Stanger/Perry Nbnd,1105,N,2020-09-21T07:16:54-04:00,1,1%
HWB,1920,Wright House,1115,N,2020-09-21T07:17:09-04:00,1,1%
HWB,1915,Stanger/Perry Nbnd,1105,N,2020-09-21T07:17:24-04:00,1,1%
HWB,1920,Wright House,1115,N,2020-09-21T07:17:31-04:00,1,1%
HWB,1915,Stanger/Perry Nbnd,1105,N,2020-09-21T07:17:46-04:00,1,1%
HWB,1920,Hutcheson Hall,1107,N,2020-09-21T07:17:47-04:00,1,1%
HWB,1914,Hethwood Square on Hethwood,1204,Y,2020-09-21T07:17:48-04:00,0,0%
HWB,1915,Stanger/Perry Nbnd,1105,N,2020-09-21T07:18:08-04:00,1,1%
HWB,1920,War Memorial Hall,1108,N,2020-09-21T07:18:07-04:00,1,1%
HWB,1914,Hethwood Square on Hethwood,1204,Y,2020-09-21T07:18:09-04:00,0,0%
HWB,1915,Prices Fork/Old Glade Wbnd,1200,N,2020-09-21T07:18:29-04:00,1,1%
HWB,1920,War Memorial Hall,1108,N,2020-09-21T07:18:21-04:00,1,1%
HWB,1914,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:18:30-04:00,0,0%
HWB,1915,Vet School Wbnd,1201,N,2020-09-21T07:18:42-04:00,1,1%
HWB,1920,War Memorial Hall,1108,N,2020-09-21T07:18:47-04:00,1,1%
HWB,1914,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:18:43-04:00,0,0%
HWB,1915,Vet School Wbnd,1201,N,2020-09-21T07:19:11-04:00,1,1%
HWB,1920,War Memorial Hall,1108,N,2020-09-21T07:19:02-04:00,1,1%
HWB,1914,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:19:00-04:00,0,0%
HWB,1915,Prices Fork/Plantation Wbnd,1202,N,2020-09-21T07:19:31-04:00,1,1%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:19:32-04:00,1,1%
HWB,1914,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:19:30-04:00,0,0%
HWB,1915,Prices Fork/Huntington Wbnd,1203,N,2020-09-21T07:19:48-04:00,1,1%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:19:32-04:00,1,1%
HWB,1914,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:19:42-04:00,0,0%
HWB,1915,Prices Fork/Huntington Wbnd,1203,N,2020-09-21T07:20:02-04:00,1,1%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:20:02-04:00,1,1%
HWB,1914,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:20:06-04:00,0,0%
HWB,1915,Prices Fork/Huntington Wbnd,1203,N,2020-09-21T07:20:24-04:00,1,1%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:20:32-04:00,1,1%
HWB,1914,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:20:30-04:00,0,0%
HWB,1915,Prices Fork/Huntington Wbnd,1203,N,2020-09-21T07:20:43-04:00,1,1%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:20:32-04:00,1,1%
HWB,1914,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:20:30-04:00,0,0%
HWB,1915,Prices Fork/Huntington Wbnd,1203,N,2020-09-21T07:21:11-04:00,1,1%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:21:02-04:00,1,1%
HWB,1914,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:21:05-04:00,0,0%
HWB,1915,Hethwood Square on Hethwood,1204,N,2020-09-21T07:21:29-04:00,2,2%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:21:32-04:00,1,1%
HWB,1914,Tall Oaks/Foxhunt Ebnd,1206,Y,2020-09-21T07:21:31-04:00,2,2%
HWB,1915,Hethwood Square on Hethwood,1204,N,2020-09-21T07:21:45-04:00,2,2%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:21:32-04:00,1,1%
HWB,1914,Tall Oaks/Heather Ebnd,1207,N,2020-09-21T07:21:51-04:00,2,2%
HWB,1915,Hethwood Square on Hethwood,1204,N,2020-09-21T07:22:15-04:00,2,2%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:22:02-04:00,1,1%
HWB,1914,Heather/Tall Oaks Nbnd,1212,N,2020-09-21T07:22:08-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:22:32-04:00,2,2%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:22:32-04:00,1,1%
HWB,1914,Heather/Plymouth Nbnd,1213,N,2020-09-21T07:22:32-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:22:32-04:00,2,2%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:22:32-04:00,1,1%
HWB,1914,Heather/Plymouth Nbnd,1213,N,2020-09-21T07:22:43-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:22:56-04:00,2,2%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:23:02-04:00,1,1%
HWB,1914,Heather/Huntington Nbnd,1214,N,2020-09-21T07:23:07-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:23:29-04:00,2,2%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:23:22-04:00,1,1%
HWB,1914,Heather/Huntington Nbnd,1214,N,2020-09-21T07:23:23-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:23:29-04:00,2,2%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:23:32-04:00,1,1%
HWB,1914,Heather/Huntington Nbnd,1214,N,2020-09-21T07:23:53-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:23:56-04:00,2,2%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:24:02-04:00,1,1%
HWB,1914,Prices Fork/Huntington Ebnd,1215,N,2020-09-21T07:24:08-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:24:31-04:00,2,2%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:24:32-04:00,1,1%
HWB,1914,Prices Fork/Plantation Ebnd,1216,N,2020-09-21T07:24:28-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:24:31-04:00,2,2%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:24:32-04:00,1,1%
HWB,1914,Prices Fork/Plantation Ebnd,1216,N,2020-09-21T07:24:52-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:24:56-04:00,2,2%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:25:06-04:00,1,1%
HWB,1914,Prices Fork/Plantation Ebnd,1216,N,2020-09-21T07:25:06-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:25:32-04:00,2,2%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:25:32-04:00,1,1%
HWB,1914,Prices Fork/Old Glade Ebnd,1218,N,2020-09-21T07:25:28-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:25:32-04:00,2,2%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:25:52-04:00,1,1%
HWB,1914,Prices Fork/Old Glade Ebnd,1218,N,2020-09-21T07:25:53-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:25:56-04:00,2,2%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:26:06-04:00,1,1%
HWB,1914,Prices Fork/Old Glade Ebnd,1218,N,2020-09-21T07:26:10-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:26:35-04:00,2,2%
HWB,1920,Torgersen Hall,1114,Y,2020-09-21T07:26:22-04:00,1,1%
HWB,1914,Prices Fork/Old Glade Ebnd,1218,N,2020-09-21T07:26:22-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:26:35-04:00,2,2%
HWB,1920,Old Security Bldg,1104,N,2020-09-21T07:26:48-04:00,1,1%
HWB,1914,Prices Fork/Old Glade Ebnd,1218,N,2020-09-21T07:26:39-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:26:56-04:00,2,2%
HWB,1920,Stanger/Perry Nbnd,1105,N,2020-09-21T07:27:10-04:00,1,1%
HWB,1914,Wright House,1115,N,2020-09-21T07:27:15-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:27:35-04:00,2,2%
HWB,1920,Stanger/Perry Nbnd,1105,N,2020-09-21T07:27:32-04:00,1,1%
HWB,1914,Wright House,1115,N,2020-09-21T07:27:27-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:27:35-04:00,2,2%
HWB,1920,Stanger/Perry Nbnd,1105,N,2020-09-21T07:27:53-04:00,1,1%
HWB,1914,Wright House,1115,N,2020-09-21T07:27:43-04:00,2,2%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:27:56-04:00,2,2%
HWB,1920,Stanger/Perry Nbnd,1105,N,2020-09-21T07:28:02-04:00,1,1%
HWB,1914,Hutcheson Hall,1107,N,2020-09-21T07:28:08-04:00,1,1%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:28:26-04:00,2,2%
HWB,1920,Stanger/Perry Nbnd,1105,N,2020-09-21T07:28:34-04:00,1,1%
HWB,1914,War Memorial Hall,1108,N,2020-09-21T07:28:34-04:00,1,1%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:28:56-04:00,2,2%
HWB,1920,Stanger/Perry Nbnd,1105,N,2020-09-21T07:28:53-04:00,1,1%
HWB,1914,War Memorial Hall,1108,N,2020-09-21T07:28:44-04:00,1,1%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:28:56-04:00,2,2%
HWB,1920,Stanger/Perry Nbnd,1105,N,2020-09-21T07:29:14-04:00,1,1%
HWB,1914,War Memorial Hall,1108,N,2020-09-21T07:29:14-04:00,1,1%
HWB,1915,Tall Oaks/Hethwood Ebnd,1205,N,2020-09-21T07:29:26-04:00,2,2%
HWB,1920,Stanger/Perry Nbnd,1105,N,2020-09-21T07:29:29-04:00,1,1%
