routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
HWB,6014,Prices Fork/Plantation Ebnd,1216,N,2020-09-24T14:21:20-04:00,0,0%
HWB,2712,Vet School Wbnd,1201,N,2020-09-24T14:21:16-04:00,1,1%
HWB,6014,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:21:34-04:00,0,0%
HWB,2712,Vet School Wbnd,1201,N,2020-09-24T14:21:38-04:00,1,1%
HWB,6014,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:21:50-04:00,0,0%
HWB,2712,Prices Fork/Plantation Wbnd,1202,N,2020-09-24T14:21:58-04:00,1,1%
HWB,6014,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:22:22-04:00,0,0%
HWB,2712,Prices Fork/Plantation Wbnd,1202,N,2020-09-24T14:22:17-04:00,1,1%
HWB,6014,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:22:31-04:00,0,0%
HWB,2712,Prices Fork/Huntington Wbnd,1203,N,2020-09-24T14:22:34-04:00,0,0%
HWB,6014,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:22:43-04:00,0,0%
HWB,2712,Prices Fork/Huntington Wbnd,1203,N,2020-09-24T14:22:59-04:00,0,0%
HWB,6014,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:23:04-04:00,0,0%
HWB,2712,Prices Fork/Huntington Wbnd,1203,N,2020-09-24T14:23:20-04:00,0,0%
HWB,6014,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:23:31-04:00,0,0%
HWB,2712,Prices Fork/Huntington Wbnd,1203,N,2020-09-24T14:23:43-04:00,0,0%
HWB,6014,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:23:51-04:00,0,0%
HWB,2712,Prices Fork/Huntington Wbnd,1203,N,2020-09-24T14:24:01-04:00,0,0%
HWB,6014,Prices Fork/Old Glade Ebnd,1218,N,2020-09-24T14:24:20-04:00,0,0%
