routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
HXP,6402,Oak Lane North,1118,Y,2020-10-07T07:01:25-04:00,0,0%
HXP,6402,Oak Lane North,1118,Y,2020-10-07T07:01:46-04:00,0,0%
HXP,6402,Oak Lane South,1119,N,2020-10-07T07:02:01-04:00,0,0%
HXP,6402,Oak Lane South,1119,N,2020-10-07T07:02:14-04:00,0,0%
HXP,6402,Overflow Lot Ebnd,1120,N,2020-10-07T07:02:46-04:00,0,0%
HXP,6402,Overflow Lot Ebnd,1120,N,2020-10-07T07:03:08-04:00,0,0%
HXP,6402,Smithfield/Duck Pond Sbnd,1137,N,2020-10-07T07:03:23-04:00,0,0%
HXP,6402,Smithfield/Duck Pond Sbnd,1137,N,2020-10-07T07:03:52-04:00,0,0%
HXP,6402,Cage/Duck Pond Ebnd,1139,N,2020-10-07T07:04:06-04:00,0,0%
HXP,6402,Cage/Duck Pond Ebnd,1139,N,2020-10-07T07:04:28-04:00,0,0%
HXP,6402,I Lot/Cage Sbnd,1121,N,2020-10-07T07:04:49-04:00,0,0%
HXP,6402,I Lot/Cage Sbnd,1121,N,2020-10-07T07:05:09-04:00,0,0%
HXP,6402,Food Science Bldg,1122,N,2020-10-07T07:05:13-04:00,0,0%
HXP,6402,Food Science Bldg,1122,N,2020-10-07T07:05:49-04:00,0,0%
HXP,6402,Harper Hall,1126,N,2020-10-07T07:06:06-04:00,0,0%
HXP,6402,Harper Hall,1126,N,2020-10-07T07:06:18-04:00,0,0%
HXP,6402,Harper Hall,1126,N,2020-10-07T07:06:48-04:00,0,0%
HXP,6402,Harper Hall,1126,N,2020-10-07T07:07:00-04:00,0,0%
HXP,6402,Hutcheson Hall,1107,N,2020-10-07T07:07:29-04:00,0,0%
HXP,6402,War Memorial Hall,1108,N,2020-10-07T07:07:48-04:00,0,0%
HXP,6402,War Memorial Hall,1108,N,2020-10-07T07:08:11-04:00,0,0%
HXP,6402,War Memorial Hall,1108,N,2020-10-07T07:08:29-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:08:51-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:08:51-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:09:21-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:09:51-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:10:08-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:10:24-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:10:51-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:10:51-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:11:21-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:11:51-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:11:51-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:12:21-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:12:51-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:12:51-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:13:34-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:13:51-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:13:51-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:14:21-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:14:51-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:15:06-04:00,0,0%
HXP,6401,Oak Lane North,1118,Y,2020-10-07T07:15:12-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:15:21-04:00,0,0%
HXP,6401,Oak Lane North,1118,Y,2020-10-07T07:15:25-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:15:21-04:00,0,0%
HXP,6401,Oak Lane South,1119,N,2020-10-07T07:15:40-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:16:05-04:00,0,0%
HXP,6401,Oak Lane South,1119,N,2020-10-07T07:16:04-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:16:21-04:00,0,0%
HXP,6401,Oak Lane South,1119,N,2020-10-07T07:16:27-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:16:21-04:00,0,0%
HXP,6401,Overflow Lot Ebnd,1120,N,2020-10-07T07:16:48-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:17:08-04:00,0,0%
HXP,6401,Smithfield/Duck Pond Sbnd,1137,N,2020-10-07T07:17:16-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:17:34-04:00,0,0%
HXP,6401,Smithfield/Duck Pond Sbnd,1137,N,2020-10-07T07:17:18-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:17:49-04:00,0,0%
HXP,6401,Smithfield/Duck Pond Sbnd,1137,N,2020-10-07T07:17:48-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:18:00-04:00,0,0%
HXP,6401,Cage/Duck Pond Ebnd,1139,N,2020-10-07T07:18:12-04:00,0,0%
HXP,6402,Newman Library,1100,Y,2020-10-07T07:18:31-04:00,0,0%
HXP,6401,Cage/Duck Pond Ebnd,1139,N,2020-10-07T07:18:25-04:00,0,0%
HXP,6402,Burruss Hall,1101,N,2020-10-07T07:18:50-04:00,0,0%
HXP,6401,I Lot/Cage Sbnd,1121,N,2020-10-07T07:18:53-04:00,0,0%
HXP,6402,Burruss Hall,1101,N,2020-10-07T07:18:59-04:00,0,0%
HXP,6401,Food Science Bldg,1122,N,2020-10-07T07:19:12-04:00,0,0%
HXP,6402,Burruss Hall,1101,N,2020-10-07T07:19:28-04:00,0,0%
HXP,6401,Food Science Bldg,1122,N,2020-10-07T07:19:38-04:00,0,0%
HXP,6402,Burruss Hall,1101,N,2020-10-07T07:19:44-04:00,0,0%
HXP,6401,Harper Hall,1126,N,2020-10-07T07:19:56-04:00,0,0%
HXP,6402,Litton Reaves Hall,1116,N,2020-10-07T07:20:17-04:00,0,0%
HXP,6401,Harper Hall,1126,N,2020-10-07T07:20:13-04:00,0,0%
HXP,6402,Litton Reaves Hall,1116,N,2020-10-07T07:20:34-04:00,0,0%
HXP,6401,Harper Hall,1126,N,2020-10-07T07:20:37-04:00,0,0%
HXP,6402,Life Sciences 1 Bldg,1132,N,2020-10-07T07:20:56-04:00,0,0%
