time,routeName,bus ID,LastStopName,stopCode,IsBusAtStop,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
2020-09-12 22:52:46.742710,HXP,6305,Lane Stadium S Endzone Sbnd,1127,N,N,2020-09-12T22:52:31-04:00,1,1%
2020-09-12 22:52:51.903772,HXP,6305,Lane Stadium S Endzone Sbnd,1127,N,N,2020-09-12T22:52:44-04:00,1,1%
2020-09-12 22:52:57.002704,HXP,6305,Bioinfomatics Bldg,1131,N,N,2020-09-12T22:52:48-04:00,1,1%
2020-09-12 22:53:02.599004,HXP,6305,Bioinfomatics Bldg,1131,N,N,2020-09-12T22:52:48-04:00,1,1%
2020-09-12 22:53:07.747186,HXP,6305,Bioinfomatics Bldg,1131,N,N,2020-09-12T22:52:58-04:00,1,1%
2020-09-12 22:53:12.845030,HXP,6305,Bioinfomatics Bldg,1131,N,N,2020-09-12T22:52:58-04:00,1,1%
2020-09-12 22:53:17.950337,HXP,6305,Bioinfomatics Bldg,1131,N,N,2020-09-12T22:52:58-04:00,1,1%
2020-09-12 22:53:23.058444,HXP,6305,Bioinfomatics Bldg,1131,N,N,2020-09-12T22:53:13-04:00,1,1%
2020-09-12 22:53:28.164766,HXP,6305,Bioinfomatics Bldg,1131,N,N,2020-09-12T22:53:13-04:00,1,1%
2020-09-12 22:53:33.274141,HXP,6305,Bioinfomatics Bldg,1131,N,N,2020-09-12T22:53:13-04:00,1,1%
