routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
HXP,6204,Newman Library,1100,Y,2020-09-21T07:14:20-04:00,0,0%
HXP,6204,Newman Library,1100,Y,2020-09-21T07:14:31-04:00,0,0%
HXP,6204,Newman Library,1100,Y,2020-09-21T07:15:01-04:00,0,0%
HXP,6204,Newman Library,1100,Y,2020-09-21T07:15:28-04:00,0,0%
HXP,6017,Oak Lane North,1118,Y,2020-09-21T07:15:24-04:00,0,0%
HXP,6204,Newman Library,1100,Y,2020-09-21T07:15:42-04:00,0,0%
HXP,6017,Oak Lane North,1118,Y,2020-09-21T07:15:43-04:00,0,0%
HXP,6204,Newman Library,1100,Y,2020-09-21T07:16:02-04:00,0,0%
HXP,6017,Oak Lane South,1119,N,2020-09-21T07:16:05-04:00,0,0%
HXP,6204,Newman Library,1100,Y,2020-09-21T07:16:23-04:00,0,0%
HXP,6017,Oak Lane South,1119,N,2020-09-21T07:16:24-04:00,0,0%
HXP,6204,Newman Library,1100,Y,2020-09-21T07:16:41-04:00,0,0%
HXP,6017,Oak Lane South,1119,N,2020-09-21T07:16:36-04:00,0,0%
HXP,6204,Burruss Hall,1101,N,2020-09-21T07:17:01-04:00,0,0%
HXP,6017,Overflow Lot Ebnd,1120,N,2020-09-21T07:17:03-04:00,0,0%
HXP,6204,Burruss Hall,1101,N,2020-09-21T07:17:14-04:00,0,0%
HXP,6017,Overflow Lot Ebnd,1120,N,2020-09-21T07:17:23-04:00,0,0%
HXP,6204,Burruss Hall,1101,N,2020-09-21T07:17:43-04:00,0,0%
HXP,6017,Smithfield/Duck Pond Sbnd,1137,N,2020-09-21T07:17:33-04:00,0,0%
HXP,6204,Burruss Hall,1101,N,2020-09-21T07:17:58-04:00,0,0%
HXP,6017,Cage/Smithfield Ebnd,1138,N,2020-09-21T07:18:09-04:00,0,0%
HXP,6204,Burruss Hall,1101,N,2020-09-21T07:18:24-04:00,0,0%
HXP,6017,Cage/Duck Pond Ebnd,1139,N,2020-09-21T07:18:27-04:00,0,0%
HXP,6204,Burruss Hall,1101,N,2020-09-21T07:18:41-04:00,0,0%
HXP,6017,Cage/Duck Pond Ebnd,1139,N,2020-09-21T07:18:42-04:00,0,0%
HXP,6204,Litton Reaves Hall,1116,N,2020-09-21T07:18:58-04:00,0,0%
HXP,6017,I Lot/Cage Sbnd,1121,N,2020-09-21T07:19:03-04:00,0,0%
HXP,6204,Litton Reaves Hall,1116,N,2020-09-21T07:19:28-04:00,0,0%
HXP,6017,Food Science Bldg,1122,N,2020-09-21T07:19:28-04:00,0,0%
HXP,6204,Life Sciences 1 Bldg,1132,N,2020-09-21T07:19:45-04:00,0,0%
HXP,6017,Food Science Bldg,1122,N,2020-09-21T07:19:49-04:00,0,0%
HXP,6204,Life Sciences 1 Bldg,1132,N,2020-09-21T07:19:56-04:00,0,0%
HXP,6017,Food Science Bldg,1122,N,2020-09-21T07:19:58-04:00,0,0%
HXP,6204,Bioinfomatics Bldg,1131,N,2020-09-21T07:20:22-04:00,0,0%
HXP,6017,Harper Hall,1126,N,2020-09-21T07:20:31-04:00,0,0%
HXP,6204,Bioinfomatics Bldg,1131,N,2020-09-21T07:20:33-04:00,0,0%
HXP,6017,Harper Hall,1126,N,2020-09-21T07:20:41-04:00,0,0%
HXP,6204,Bioinfomatics Bldg,1131,N,2020-09-21T07:21:03-04:00,0,0%
HXP,6017,Harper Hall,1126,N,2020-09-21T07:21:11-04:00,0,0%
HXP,6204,Smithfield Lot,1135,N,2020-09-21T07:21:28-04:00,0,0%
HXP,6017,Hutcheson Hall,1107,N,2020-09-21T07:21:31-04:00,0,0%
HXP,6204,Smithfield Lot,1135,N,2020-09-21T07:21:47-04:00,0,0%
HXP,6017,War Memorial Hall,1108,N,2020-09-21T07:21:49-04:00,0,0%
HXP,6204,Smithfield Lot,1135,N,2020-09-21T07:21:59-04:00,0,0%
HXP,6017,War Memorial Hall,1108,N,2020-09-21T07:22:11-04:00,0,0%
HXP,6204,Smithfield Lot,1135,N,2020-09-21T07:22:29-04:00,0,0%
HXP,6017,Newman Library,1100,Y,2020-09-21T07:22:31-04:00,0,0%
HXP,6204,Overflow Lot Wbnd,1117,N,2020-09-21T07:22:40-04:00,0,0%
HXP,6017,Newman Library,1100,Y,2020-09-21T07:22:41-04:00,0,0%
HXP,6204,Overflow Lot Wbnd,1117,N,2020-09-21T07:23:08-04:00,0,0%
HXP,6017,Newman Library,1100,Y,2020-09-21T07:23:11-04:00,0,0%
HXP,6204,Overflow Lot Wbnd,1117,N,2020-09-21T07:23:11-04:00,0,0%
HXP,6017,Newman Library,1100,Y,2020-09-21T07:23:27-04:00,0,0%
HXP,6204,Oak Lane Nbnd,1130,N,2020-09-21T07:23:41-04:00,0,0%
HXP,6017,Newman Library,1100,Y,2020-09-21T07:23:41-04:00,0,0%
HXP,6204,Oak Lane Nbnd,1130,N,2020-09-21T07:24:06-04:00,0,0%
HXP,6017,Newman Library,1100,Y,2020-09-21T07:23:41-04:00,0,0%
HXP,6204,Oak Lane Nbnd,1130,N,2020-09-21T07:24:22-04:00,0,0%
HXP,6017,Newman Library,1100,Y,2020-09-21T07:24:29-04:00,0,0%
HXP,6204,Oak Lane Nbnd,1130,N,2020-09-21T07:24:52-04:00,0,0%
HXP,6017,Newman Library,1100,Y,2020-09-21T07:24:41-04:00,0,0%
HXP,6204,Oak Lane Nbnd,1130,N,2020-09-21T07:25:03-04:00,0,0%
HXP,6017,Newman Library,1100,Y,2020-09-21T07:25:11-04:00,0,0%
HXP,6204,Oak Lane Nbnd,1130,N,2020-09-21T07:25:22-04:00,0,0%
HXP,6017,Newman Library,1100,Y,2020-09-21T07:25:31-04:00,0,0%
HXP,6204,Oak Lane Nbnd,1130,N,2020-09-21T07:25:22-04:00,0,0%
HXP,6017,Newman Library,1100,Y,2020-09-21T07:25:41-04:00,0,0%
HXP,6204,Oak Lane Nbnd,1130,N,2020-09-21T07:25:52-04:00,0,0%
HXP,6017,Newman Library,1100,Y,2020-09-21T07:26:11-04:00,0,0%
HXP,6204,Oak Lane Nbnd,1130,N,2020-09-21T07:26:22-04:00,0,0%
HXP,6017,Newman Library,1100,Y,2020-09-21T07:26:34-04:00,0,0%
HXP,6204,Oak Lane Nbnd,1130,N,2020-09-21T07:26:52-04:00,0,0%
HXP,6017,Newman Library,1100,Y,2020-09-21T07:26:41-04:00,0,0%
