routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
HXP,6202,Hutcheson Hall,1107,N,2020-09-24T14:21:09-04:00,1,1%
HXP,6201,Bioinfomatics Bldg,1131,N,2020-09-24T14:21:19-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:21:35-04:00,1,1%
HXP,6201,Bioinfomatics Bldg,1131,N,2020-09-24T14:21:30-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:21:51-04:00,1,1%
HXP,6201,Bioinfomatics Bldg,1131,N,2020-09-24T14:22:00-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:22:15-04:00,1,1%
HXP,6201,Bioinfomatics Bldg,1131,N,2020-09-24T14:22:16-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:22:33-04:00,1,1%
HXP,6201,Smithfield Lot,1135,N,2020-09-24T14:22:32-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:22:33-04:00,1,1%
HXP,6201,Smithfield Lot,1135,N,2020-09-24T14:22:46-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:23:03-04:00,1,1%
HXP,6201,Smithfield Lot,1135,N,2020-09-24T14:23:17-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:23:33-04:00,1,1%
HXP,6201,Overflow Lot Wbnd,1117,N,2020-09-24T14:23:31-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:23:33-04:00,1,1%
HXP,6201,Overflow Lot Wbnd,1117,N,2020-09-24T14:24:01-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:24:03-04:00,1,1%
HXP,6201,Overflow Lot Wbnd,1117,N,2020-09-24T14:24:05-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:24:33-04:00,1,1%
HXP,6201,Oak Lane Nbnd,1130,N,2020-09-24T14:24:39-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:24:33-04:00,1,1%
HXP,6201,Oak Lane Nbnd,1130,N,2020-09-24T14:25:03-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:24:33-04:00,1,1%
HXP,6201,Oak Lane Nbnd,1130,N,2020-09-24T14:25:21-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:25:33-04:00,1,1%
HXP,6201,Oak Lane Nbnd,1130,N,2020-09-24T14:25:21-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:25:33-04:00,1,1%
HXP,6201,Oak Lane Nbnd,1130,N,2020-09-24T14:25:51-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:26:06-04:00,1,1%
HXP,6201,Oak Lane Nbnd,1130,N,2020-09-24T14:26:21-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:26:33-04:00,1,1%
HXP,6201,Oak Lane Nbnd,1130,N,2020-09-24T14:26:21-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:27:03-04:00,1,1%
HXP,6201,Oak Lane Nbnd,1130,N,2020-09-24T14:27:05-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:27:07-04:00,1,1%
HXP,6201,Oak Lane Nbnd,1130,N,2020-09-24T14:27:21-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:27:33-04:00,1,1%
HXP,6201,Oak Lane Nbnd,1130,N,2020-09-24T14:27:21-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:28:03-04:00,1,1%
HXP,6201,Oak Lane Nbnd,1130,N,2020-09-24T14:27:51-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:28:03-04:00,1,1%
HXP,6201,Oak Lane Nbnd,1130,N,2020-09-24T14:28:21-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:28:33-04:00,1,1%
HXP,6201,Oak Lane Nbnd,1130,N,2020-09-24T14:28:21-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:29:03-04:00,1,1%
HXP,6201,Oak Lane Nbnd,1130,N,2020-09-24T14:28:51-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:29:12-04:00,1,1%
HXP,6201,Oak Lane Nbnd,1130,N,2020-09-24T14:29:21-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:29:33-04:00,1,1%
HXP,6201,Oak Lane Nbnd,1130,N,2020-09-24T14:29:21-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:30:03-04:00,1,1%
HXP,6201,Oak Lane Nbnd,1130,N,2020-09-24T14:30:06-04:00,0,0%
HXP,6202,War Memorial Hall,1108,N,2020-09-24T14:30:03-04:00,1,1%
HXP,6201,Oak Lane North,1118,Y,2020-09-24T14:30:27-04:00,0,0%
HXP,6202,Newman Library,1100,Y,2020-09-24T14:30:44-04:00,1,1%
HXP,6201,Oak Lane North,1118,Y,2020-09-24T14:30:30-04:00,0,0%
HXP,6202,Newman Library,1100,Y,2020-09-24T14:30:59-04:00,1,1%
HXP,6201,Oak Lane North,1118,Y,2020-09-24T14:31:01-04:00,0,0%
HXP,6202,Newman Library,1100,Y,2020-09-24T14:31:14-04:00,1,1%
HXP,6201,Oak Lane South,1119,N,2020-09-24T14:31:23-04:00,0,0%
HXP,6202,Newman Library,1100,Y,2020-09-24T14:31:43-04:00,1,1%
HXP,6201,Oak Lane South,1119,N,2020-09-24T14:31:44-04:00,0,0%
HXP,6202,Newman Library,1100,Y,2020-09-24T14:31:43-04:00,1,1%
HXP,6201,Oak Lane South,1119,N,2020-09-24T14:31:54-04:00,0,0%
HXP,6202,Burruss Hall,1101,N,2020-09-24T14:32:24-04:00,1,1%
HXP,6201,Overflow Lot Ebnd,1120,N,2020-09-24T14:32:25-04:00,0,0%
HXP,6202,Burruss Hall,1101,N,2020-09-24T14:32:24-04:00,1,1%
HXP,6201,Overflow Lot Ebnd,1120,N,2020-09-24T14:32:42-04:00,0,0%
HXP,6202,Burruss Hall,1101,N,2020-09-24T14:32:58-04:00,1,1%
HXP,6201,Smithfield/Duck Pond Sbnd,1137,N,2020-09-24T14:32:58-04:00,0,0%
HXP,6202,Burruss Hall,1101,N,2020-09-24T14:33:25-04:00,1,1%
HXP,6201,Smithfield/Duck Pond Sbnd,1137,N,2020-09-24T14:33:23-04:00,0,0%
HXP,6202,Burruss Hall,1101,N,2020-09-24T14:33:42-04:00,1,1%
