routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
MSA,6013,Main/Roanoke Sbnd,1600,N,2020-09-21T07:14:21-04:00,0,0%
MSA,6013,Blacksburg Municipal Building,1601,N,2020-09-21T07:14:40-04:00,0,0%
MSA,6013,Main/Eheart Sbnd,1602,N,2020-09-21T07:14:56-04:00,0,0%
MSA,6013,Main/Hemlock Sbnd,1635,N,2020-09-21T07:15:20-04:00,0,0%
MSA,6013,Main/Airport Sbnd,1605,N,2020-09-21T07:15:43-04:00,0,0%
MSA,6013,Main/Faystone Sbnd,1606,N,2020-09-21T07:16:06-04:00,0,0%
MSA,6013,Main/Faystone Sbnd,1606,N,2020-09-21T07:16:06-04:00,0,0%
MSA,6013,Country Club/Main Wbnd,1652,N,2020-09-21T07:16:38-04:00,0,0%
MSA,6013,Country Club/Draper Wbnd,1653,N,2020-09-21T07:17:04-04:00,0,0%
MSA,6013,Country Club/Draper Wbnd,1653,N,2020-09-21T07:17:25-04:00,0,0%
MSA,6013,Country Club/Airport Wbnd,1654,N,2020-09-21T07:17:36-04:00,0,0%
MSA,6013,Airport/Fairview Sbnd,1655,N,2020-09-21T07:18:06-04:00,0,0%
MSA,6013,Airport/Fairview Sbnd,1655,N,2020-09-21T07:18:14-04:00,0,0%
MSA,6013,Airport/Fairview Sbnd,1655,N,2020-09-21T07:18:36-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:19:04-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:19:25-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:19:34-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:19:55-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:20:25-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:20:46-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:20:55-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:21:27-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:21:36-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:22:06-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:22:27-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:22:36-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:23:06-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:23:06-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:23:36-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:24:06-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:24:06-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:24:36-04:00,0,0%
MSA,6013,Hubbard/Kennedy Ebnd,1656,N,2020-09-21T07:25:06-04:00,0,0%
MSA,6013,Fairfax/Ellett Ebnd,1609,Y,2020-09-21T07:25:31-04:00,0,0%
MSA,6013,Fairfax/New Kent Ebnd,1610,N,2020-09-21T07:25:42-04:00,0,0%
MSA,6013,New Kent/Loudon Ebnd,1611,N,2020-09-21T07:25:59-04:00,0,0%
MSA,6013,New Kent/Sussex Ebnd,1612,N,2020-09-21T07:26:27-04:00,0,0%
MSA,6013,Grissom/Nellies Cave Nbnd,1613,N,2020-09-21T07:26:45-04:00,0,0%
