routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
MSN,6013,Givens/Main Wbnd,1412,N,2020-10-06T07:11:12-04:00,0,0%
MSN,6013,Whipple/Givens Wbnd,1413,N,2020-10-06T07:11:45-04:00,0,0%
MSN,6013,Whipple/Givens Wbnd,1413,N,2020-10-06T07:11:58-04:00,0,0%
MSN,6013,Whipple/Courtney Sbnd,1428,N,2020-10-06T07:12:16-04:00,0,0%
MSN,6013,Whipple/Main Sbnd,1435,N,2020-10-06T07:12:42-04:00,0,0%
MSN,6013,1500 North Main Sbnd,1429,N,2020-10-06T07:12:56-04:00,0,0%
MSN,6013,1500 North Main Sbnd,1429,N,2020-10-06T07:13:08-04:00,0,0%
MSN,6013,Main/Patrick Henry Sbnd,1416,N,2020-10-06T07:13:44-04:00,0,0%
MSN,6013,1200 North Main Sbnd,1417,N,2020-10-06T07:14:08-04:00,0,0%
MSN,6013,Main/Northview Sbnd,1418,N,2020-10-06T07:14:20-04:00,0,0%
MSN,6013,Main/Montgomery Sbnd,1420,N,2020-10-06T07:14:33-04:00,0,0%
MSN,6015,Squires Wbnd,1113,Y,2020-10-06T07:15:11-04:00,0,0%
MSN,6013,Main/Kabrich Sbnd,1421,N,2020-10-06T07:15:07-04:00,0,0%
MSN,6015,Squires Wbnd,1113,Y,2020-10-06T07:15:29-04:00,0,0%
MSN,6013,Main/Kabrich Sbnd,1421,N,2020-10-06T07:15:25-04:00,0,0%
MSN,6015,Squires Wbnd,1113,Y,2020-10-06T07:15:51-04:00,0,0%
MSN,6013,Main/Kabrich Sbnd,1421,N,2020-10-06T07:15:25-04:00,0,0%
MSN,6015,Squires Ebnd,1110,N,2020-10-06T07:16:08-04:00,0,0%
MSN,6013,Main/Turner Sbnd,1423,N,2020-10-06T07:15:59-04:00,0,0%
MSN,6015,Squires Ebnd,1110,N,2020-10-06T07:16:20-04:00,0,0%
MSN,6013,Main/Turner Sbnd,1423,N,2020-10-06T07:16:22-04:00,0,0%
MSN,6015,Squires Ebnd,1110,N,2020-10-06T07:16:50-04:00,0,0%
MSN,6013,Alumni Mall Wbnd,1112,N,2020-10-06T07:16:34-04:00,0,0%
MSN,6015,Squires Ebnd,1110,N,2020-10-06T07:17:12-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:17:08-04:00,0,0%
MSN,6015,Alumni Mall Ebnd,1111,N,2020-10-06T07:17:31-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:17:20-04:00,0,0%
MSN,6015,Alumni Mall Ebnd,1111,N,2020-10-06T07:17:50-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:17:20-04:00,0,0%
MSN,6015,Main/Turner Nbnd,1431,N,2020-10-06T07:18:12-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:17:56-04:00,0,0%
MSN,6015,Main/Turner Nbnd,1431,N,2020-10-06T07:18:22-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:17:56-04:00,0,0%
MSN,6015,Main/Turner Nbnd,1431,N,2020-10-06T07:18:52-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:17:56-04:00,0,0%
MSN,6015,Main/Lucas Nbnd S,1401,N,2020-10-06T07:19:10-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:17:56-04:00,0,0%
MSN,6015,Main/Northview Nbnd,1425,N,2020-10-06T07:19:32-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:19:20-04:00,0,0%
MSN,6015,1200 North Main Nbnd,1426,N,2020-10-06T07:19:46-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:19:50-04:00,0,0%
MSN,6015,Main/Patrick Henry Nbnd,1427,N,2020-10-06T07:20:09-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:19:50-04:00,0,0%
MSN,6015,1500 North Main Nbnd,1409,N,2020-10-06T07:20:31-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:20:20-04:00,0,0%
MSN,6015,Main/Giles Nbnd,1410,N,2020-10-06T07:20:51-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:20:50-04:00,0,0%
MSN,6015,Main/Giles Nbnd,1410,N,2020-10-06T07:21:01-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:20:50-04:00,0,0%
MSN,6015,Main/Giles Nbnd,1410,N,2020-10-06T07:21:21-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:21:20-04:00,0,0%
MSN,6015,Main/Giles Nbnd,1410,N,2020-10-06T07:21:51-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:21:50-04:00,0,0%
MSN,6015,Main/Giles Nbnd,1410,N,2020-10-06T07:21:58-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:21:50-04:00,0,0%
MSN,6015,Main/Giles Nbnd,1410,N,2020-10-06T07:22:21-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:22:20-04:00,0,0%
MSN,6015,Main/Giles Nbnd,1410,N,2020-10-06T07:22:51-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:22:46-04:00,0,0%
MSN,6015,Main/Giles Nbnd,1410,N,2020-10-06T07:23:01-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:22:46-04:00,0,0%
MSN,6015,Main/Giles Nbnd,1410,N,2020-10-06T07:23:21-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:22:46-04:00,0,0%
MSN,6015,Main/Giles Nbnd,1410,N,2020-10-06T07:23:51-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:23:50-04:00,0,0%
MSN,6015,Main/Giles Nbnd,1410,N,2020-10-06T07:24:03-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:23:50-04:00,0,0%
MSN,6015,Main/Giles Nbnd,1410,N,2020-10-06T07:24:21-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:23:50-04:00,0,0%
MSN,6015,Main/Giles Nbnd,1410,N,2020-10-06T07:24:51-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:24:50-04:00,0,0%
MSN,6015,Main/Red Maple Nbnd,1411,Y,2020-10-06T07:25:16-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:25:11-04:00,0,0%
MSN,6015,Givens/Main Wbnd,1412,N,2020-10-06T07:25:37-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:25:30-04:00,0,0%
MSN,6411,Squires Wbnd,1113,Y,2020-10-06T07:25:29-04:00,0,0%
MSN,6015,Givens/Main Wbnd,1412,N,2020-10-06T07:25:54-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:25:30-04:00,0,0%
MSN,6411,Squires Wbnd,1113,Y,2020-10-06T07:25:45-04:00,0,0%
MSN,6015,Whipple/Givens Wbnd,1413,N,2020-10-06T07:26:07-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:25:30-04:00,0,0%
MSN,6411,Squires Wbnd,1113,Y,2020-10-06T07:26:15-04:00,0,0%
MSN,6015,Whipple/Courtney Sbnd,1428,N,2020-10-06T07:26:30-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:25:30-04:00,0,0%
MSN,6411,Squires Wbnd,1113,Y,2020-10-06T07:26:15-04:00,0,0%
MSN,6015,Whipple/Main Sbnd,1435,N,2020-10-06T07:26:57-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:25:30-04:00,0,0%
MSN,6411,Squires Wbnd,1113,Y,2020-10-06T07:26:48-04:00,0,0%
MSN,6015,1500 North Main Sbnd,1429,N,2020-10-06T07:27:15-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:27:00-04:00,0,0%
MSN,6411,Squires Wbnd,1113,Y,2020-10-06T07:27:15-04:00,0,0%
MSN,6015,1500 North Main Sbnd,1429,N,2020-10-06T07:27:23-04:00,0,0%
MSN,6013,Squires Wbnd,1113,Y,2020-10-06T07:27:23-04:00,0,0%
MSN,6411,Squires Wbnd,1113,Y,2020-10-06T07:27:15-04:00,0,0%
MSN,6015,1500 North Main Sbnd,1429,N,2020-10-06T07:27:53-04:00,0,0%
MSN,6411,Squires Wbnd,1113,Y,2020-10-06T07:27:47-04:00,0,0%
MSN,6015,1500 North Main Sbnd,1429,N,2020-10-06T07:27:53-04:00,0,0%
MSN,6411,Squires Wbnd,1113,Y,2020-10-06T07:28:15-04:00,0,0%
MSN,6015,1500 North Main Sbnd,1429,N,2020-10-06T07:28:35-04:00,0,0%
MSN,6411,Squires Wbnd,1113,Y,2020-10-06T07:28:15-04:00,0,0%
MSN,6015,1500 North Main Sbnd,1429,N,2020-10-06T07:28:57-04:00,0,0%
MSN,6411,Squires Wbnd,1113,Y,2020-10-06T07:28:49-04:00,0,0%
MSN,6015,Main/Patrick Henry Sbnd,1416,N,2020-10-06T07:29:09-04:00,0,0%
MSN,6411,Squires Wbnd,1113,Y,2020-10-06T07:29:15-04:00,0,0%
MSN,6015,1200 North Main Sbnd,1417,N,2020-10-06T07:29:32-04:00,0,0%
MSN,6411,Squires Wbnd,1113,Y,2020-10-06T07:29:22-04:00,0,0%
