time,routeName,bus ID,LastStopName,stopCode,IsBusAtStop,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
2020-09-12 22:52:46.767507,MSN,1914,Patrick Henry/Giles Wbnd,1407,N,N,2020-09-12T22:52:25-04:00,5,6%
2020-09-12 22:52:51.896368,MSN,1914,Patrick Henry/Giles Wbnd,1407,N,N,2020-09-12T22:52:25-04:00,5,6%
2020-09-12 22:52:57.008412,MSN,1914,Patrick Henry/Giles Wbnd,1407,N,N,2020-09-12T22:52:48-04:00,5,6%
2020-09-12 22:53:02.591680,MSN,1914,Patrick Henry/Giles Wbnd,1407,N,N,2020-09-12T22:52:48-04:00,5,6%
2020-09-12 22:53:07.700284,MSN,1914,Patrick Henry/Main Wbnd,1408,N,N,2020-09-12T22:53:01-04:00,4,5%
2020-09-12 22:53:12.816072,MSN,1914,Patrick Henry/Main Wbnd,1408,N,N,2020-09-12T22:53:05-04:00,4,5%
2020-09-12 22:53:17.932889,MSN,1914,Patrick Henry/Main Wbnd,1408,N,N,2020-09-12T22:53:05-04:00,4,5%
2020-09-12 22:53:23.036734,MSN,1914,Patrick Henry/Main Wbnd,1408,N,N,2020-09-12T22:53:12-04:00,4,5%
2020-09-12 22:53:28.143494,MSN,1914,Patrick Henry/Main Wbnd,1408,N,N,2020-09-12T22:53:20-04:00,4,5%
2020-09-12 22:53:33.259660,MSN,1914,Patrick Henry/Main Wbnd,1408,N,N,2020-09-12T22:53:20-04:00,4,5%
