routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
MSN,6411,Main/Montgomery Sbnd,1420,N,2020-09-21T07:14:24-04:00,1,1%
MSN,6411,Main/Montgomery Sbnd,1420,N,2020-09-21T07:14:42-04:00,1,1%
MSN,6411,Main/Kabrich Sbnd,1421,N,2020-09-21T07:15:04-04:00,1,1%
MSN,6411,Main/Collegiate Ct Sbnd,1422,N,2020-09-21T07:15:26-04:00,1,1%
MSN,1923,Squires Wbnd,1113,Y,2020-09-21T07:15:43-04:00,6,8%
MSN,6411,Main/Turner Sbnd,1423,N,2020-09-21T07:15:45-04:00,1,1%
MSN,1923,Squires Ebnd,1110,N,2020-09-21T07:16:05-04:00,6,8%
MSN,6411,Main/Turner Sbnd,1423,N,2020-09-21T07:16:08-04:00,1,1%
MSN,1923,Squires Ebnd,1110,N,2020-09-21T07:16:26-04:00,6,8%
MSN,6411,Alumni Mall Wbnd,1112,N,2020-09-21T07:16:28-04:00,1,1%
MSN,1923,Squires Ebnd,1110,N,2020-09-21T07:16:46-04:00,6,8%
MSN,1923,Squires Ebnd,1110,N,2020-09-21T07:16:46-04:00,6,8%
MSN,1923,Alumni Mall Ebnd,1111,N,2020-09-21T07:17:19-04:00,6,8%
MSN,1923,Alumni Mall Ebnd,1111,N,2020-09-21T07:17:40-04:00,6,8%
MSN,1923,Main/Turner Nbnd,1431,N,2020-09-21T07:18:08-04:00,6,8%
MSN,1923,Main/Turner Nbnd,1431,N,2020-09-21T07:18:19-04:00,6,8%
MSN,1923,Main/Turner Nbnd,1431,N,2020-09-21T07:18:45-04:00,6,8%
MSN,1923,Main/Lucas Nbnd S,1401,N,2020-09-21T07:19:05-04:00,6,8%
MSN,1923,Main/Lucas Nbnd N,1424,N,2020-09-21T07:19:25-04:00,6,8%
MSN,1923,1200 North Main Nbnd,1426,N,2020-09-21T07:19:47-04:00,6,8%
MSN,1923,1200 North Main Nbnd,1426,N,2020-09-21T07:20:05-04:00,6,8%
MSN,1923,Main/Patrick Henry Nbnd,1427,N,2020-09-21T07:20:29-04:00,6,8%
MSN,1923,Main/Patrick Henry Nbnd,1427,N,2020-09-21T07:20:42-04:00,6,8%
MSN,1923,Main/Giles Nbnd,1410,N,2020-09-21T07:21:12-04:00,6,8%
MSN,1923,Main/Giles Nbnd,1410,N,2020-09-21T07:21:29-04:00,6,8%
MSN,1923,Main/Giles Nbnd,1410,N,2020-09-21T07:21:46-04:00,6,8%
MSN,1923,Main/Giles Nbnd,1410,N,2020-09-21T07:21:46-04:00,6,8%
MSN,1923,Main/Giles Nbnd,1410,N,2020-09-21T07:22:25-04:00,6,8%
MSN,1923,Main/Giles Nbnd,1410,N,2020-09-21T07:22:46-04:00,6,8%
MSN,1923,Main/Giles Nbnd,1410,N,2020-09-21T07:22:46-04:00,6,8%
MSN,1923,Main/Giles Nbnd,1410,N,2020-09-21T07:23:28-04:00,6,8%
MSN,1923,Main/Giles Nbnd,1410,N,2020-09-21T07:23:46-04:00,6,8%
MSN,1923,Main/Giles Nbnd,1410,N,2020-09-21T07:23:46-04:00,6,8%
MSN,1923,Main/Giles Nbnd,1410,N,2020-09-21T07:24:30-04:00,6,8%
MSN,1923,Main/Giles Nbnd,1410,N,2020-09-21T07:24:46-04:00,6,8%
MSN,1923,Main/Giles Nbnd,1410,N,2020-09-21T07:25:10-04:00,6,8%
MSN,1923,Main/Red Maple Nbnd,1411,Y,2020-09-21T07:25:26-04:00,6,8%
MSN,1913,Squires Wbnd,1113,Y,2020-09-21T07:25:33-04:00,0,0%
MSN,1923,Main/Red Maple Nbnd,1411,Y,2020-09-21T07:25:50-04:00,6,8%
MSN,1913,Squires Wbnd,1113,Y,2020-09-21T07:25:34-04:00,0,0%
MSN,1923,Givens/Main Wbnd,1412,N,2020-09-21T07:26:08-04:00,6,8%
MSN,1913,Squires Wbnd,1113,Y,2020-09-21T07:25:57-04:00,0,0%
MSN,1923,Givens/Main Wbnd,1412,N,2020-09-21T07:26:30-04:00,6,8%
MSN,1913,Squires Wbnd,1113,Y,2020-09-21T07:26:27-04:00,0,0%
MSN,1923,Whipple/Givens Wbnd,1413,N,2020-09-21T07:26:52-04:00,6,8%
MSN,1913,Squires Wbnd,1113,Y,2020-09-21T07:26:36-04:00,0,0%
