routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
MSN,6017,Main/Red Maple Nbnd,1411,Y,2020-09-22T07:00:40-04:00,0,0%
MSN,6017,Main/Red Maple Nbnd,1411,Y,2020-09-22T07:01:02-04:00,0,0%
MSN,6017,Givens/Main Wbnd,1412,N,2020-09-22T07:01:19-04:00,0,0%
MSN,6017,Givens/Main Wbnd,1412,N,2020-09-22T07:01:33-04:00,0,0%
MSN,6017,Whipple/Givens Wbnd,1413,N,2020-09-22T07:02:00-04:00,0,0%
MSN,6017,Whipple/Courtney Sbnd,1428,N,2020-09-22T07:02:15-04:00,0,0%
MSN,6017,Whipple/Main Sbnd,1435,N,2020-09-22T07:02:37-04:00,0,0%
MSN,6017,1500 North Main Sbnd,1429,N,2020-09-22T07:02:52-04:00,0,0%
MSN,6017,Main/Patrick Henry Sbnd,1416,N,2020-09-22T07:03:17-04:00,0,0%
MSN,6017,1200 North Main Sbnd,1417,N,2020-09-22T07:03:42-04:00,0,0%
MSN,6017,1200 North Main Sbnd,1417,N,2020-09-22T07:03:55-04:00,0,0%
MSN,6017,Main/Northview Sbnd,1418,N,2020-09-22T07:04:20-04:00,0,0%
MSN,6017,Main/Montgomery Sbnd,1420,N,2020-09-22T07:04:43-04:00,0,0%
MSN,6017,Main/Montgomery Sbnd,1420,N,2020-09-22T07:05:06-04:00,0,0%
MSN,6017,Main/Kabrich Sbnd,1421,N,2020-09-22T07:05:23-04:00,0,0%
MSN,6017,Main/Collegiate Ct Sbnd,1422,N,2020-09-22T07:05:39-04:00,0,0%
MSN,6017,Main/Turner Sbnd,1423,N,2020-09-22T07:05:54-04:00,0,0%
MSN,6017,Alumni Mall Wbnd,1112,N,2020-09-22T07:06:24-04:00,0,0%
MSN,6017,Alumni Mall Wbnd,1112,N,2020-09-22T07:06:27-04:00,0,0%
MSN,6413,Main/Red Maple Nbnd,1411,Y,2020-09-22T07:10:22-04:00,0,0%
MSN,6413,Main/Red Maple Nbnd,1411,Y,2020-09-22T07:10:33-04:00,0,0%
MSN,6413,Givens/Main Wbnd,1412,N,2020-09-22T07:11:08-04:00,0,0%
MSN,6413,Givens/Main Wbnd,1412,N,2020-09-22T07:11:29-04:00,0,0%
MSN,6413,Whipple/Givens Wbnd,1413,N,2020-09-22T07:11:42-04:00,0,0%
MSN,6413,Whipple/Courtney Sbnd,1428,N,2020-09-22T07:12:11-04:00,0,0%
MSN,6413,Whipple/Main Sbnd,1435,N,2020-09-22T07:12:29-04:00,0,0%
MSN,6413,Whipple/Main Sbnd,1435,N,2020-09-22T07:12:45-04:00,0,0%
MSN,6413,1500 North Main Sbnd,1429,N,2020-09-22T07:13:08-04:00,0,0%
MSN,6413,1500 North Main Sbnd,1429,N,2020-09-22T07:13:34-04:00,0,0%
MSN,6413,1500 North Main Sbnd,1429,N,2020-09-22T07:13:44-04:00,0,0%
MSN,6413,Main/Patrick Henry Sbnd,1416,N,2020-09-22T07:14:13-04:00,2,2%
MSN,6413,Main/Patrick Henry Sbnd,1416,N,2020-09-22T07:14:26-04:00,2,2%
MSN,6413,1200 North Main Sbnd,1417,N,2020-09-22T07:14:52-04:00,2,2%
MSN,1924,Squires Wbnd,1113,Y,2020-09-22T07:15:07-04:00,0,0%
MSN,6413,Main/Lucas Sbnd,1419,N,2020-09-22T07:15:06-04:00,2,2%
MSN,1924,Squires Wbnd,1113,Y,2020-09-22T07:15:08-04:00,0,0%
MSN,6413,Main/Montgomery Sbnd,1420,N,2020-09-22T07:15:23-04:00,2,2%
MSN,1924,Squires Wbnd,1113,Y,2020-09-22T07:15:50-04:00,0,0%
MSN,6413,Main/Montgomery Sbnd,1420,N,2020-09-22T07:15:48-04:00,2,2%
MSN,1924,Squires Ebnd,1110,N,2020-09-22T07:16:04-04:00,0,0%
MSN,6413,Main/Montgomery Sbnd,1420,N,2020-09-22T07:15:48-04:00,2,2%
MSN,1924,Squires Ebnd,1110,N,2020-09-22T07:16:04-04:00,0,0%
MSN,6413,Main/Montgomery Sbnd,1420,N,2020-09-22T07:16:29-04:00,2,2%
MSN,1924,Squires Ebnd,1110,N,2020-09-22T07:16:34-04:00,0,0%
MSN,6413,Main/Kabrich Sbnd,1421,N,2020-09-22T07:16:50-04:00,2,2%
MSN,1924,Squires Ebnd,1110,N,2020-09-22T07:17:09-04:00,0,0%
MSN,6413,Main/Kabrich Sbnd,1421,N,2020-09-22T07:17:10-04:00,2,2%
MSN,1924,Alumni Mall Ebnd,1111,N,2020-09-22T07:17:32-04:00,0,0%
MSN,6413,Main/Turner Sbnd,1423,N,2020-09-22T07:17:31-04:00,2,2%
