routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
MSS,1912,Squires Wbnd,1113,Y,2020-10-02T15:13:05-04:00,4,5%
MSS,6016,Blacksburg Municipal Building,1601,N,2020-10-02T15:13:11-04:00,0,0%
MSS,1913,Main/S Hill Nbnd,1640,N,2020-10-02T15:13:02-04:00,5,6%
MSS,1912,Squires Wbnd,1113,Y,2020-10-02T15:13:35-04:00,4,5%
MSS,6016,Main/Eheart Sbnd,1602,N,2020-10-02T15:13:36-04:00,0,0%
MSS,1913,Main/S Hill Nbnd,1640,N,2020-10-02T15:13:23-04:00,5,6%
MSS,1912,Squires Wbnd,1113,Y,2020-10-02T15:13:35-04:00,4,5%
MSS,6016,Main/Eakin Sbnd,1603,N,2020-10-02T15:13:50-04:00,0,0%
MSS,1913,Main/S Hill Nbnd,1640,N,2020-10-02T15:13:53-04:00,5,6%
MSS,1912,Squires Wbnd,1113,Y,2020-10-02T15:14:05-04:00,4,5%
MSS,6016,Main/Airport Sbnd,1605,N,2020-10-02T15:14:14-04:00,0,0%
MSS,1913,Main/S Hill Nbnd,1640,N,2020-10-02T15:14:04-04:00,5,6%
MSS,1912,Squires Wbnd,1113,Y,2020-10-02T15:14:35-04:00,4,5%
MSS,6016,Main/Airport Sbnd,1605,N,2020-10-02T15:14:25-04:00,0,0%
MSS,1913,Main/S Hill Nbnd,1640,N,2020-10-02T15:14:23-04:00,5,6%
MSS,1912,Squires Wbnd,1113,Y,2020-10-02T15:14:35-04:00,4,5%
MSS,6016,Main/Airport Sbnd,1605,N,2020-10-02T15:14:50-04:00,0,0%
MSS,1913,Main/S Hill Nbnd,1640,N,2020-10-02T15:14:53-04:00,5,6%
MSS,1912,Squires Wbnd,1113,Y,2020-10-02T15:15:07-04:00,4,5%
MSS,6016,Main/Faystone Sbnd,1606,N,2020-10-02T15:15:07-04:00,0,0%
MSS,1913,Main/S Hill Nbnd,1640,N,2020-10-02T15:15:06-04:00,5,6%
MSS,6016,Main/Faystone Sbnd,1606,N,2020-10-02T15:15:32-04:00,0,0%
MSS,1913,Fairfax/New Kent Ebnd,1610,N,2020-10-02T15:15:28-04:00,4,5%
MSS,6016,Gables Shopping Center,1607,N,2020-10-02T15:15:59-04:00,0,0%
MSS,1913,New Kent/Loudon Ebnd,1611,N,2020-10-02T15:15:53-04:00,4,5%
MSS,6016,Main/Landsdowne Sbnd,1608,N,2020-10-02T15:16:10-04:00,0,0%
MSS,1913,New Kent/Sussex Ebnd,1612,N,2020-10-02T15:16:14-04:00,4,5%
MSS,6016,Main/Landsdowne Sbnd,1608,N,2020-10-02T15:16:22-04:00,0,0%
MSS,1913,New Kent/Sussex Ebnd,1612,N,2020-10-02T15:16:15-04:00,4,5%
MSS,6016,Main/King Sbnd,1648,N,2020-10-02T15:16:56-04:00,0,0%
MSS,1913,Marlington/Grissom Wbnd,1614,N,2020-10-02T15:16:57-04:00,4,5%
MSS,6016,Main/King Sbnd,1648,N,2020-10-02T15:17:21-04:00,0,0%
MSS,1913,Marlington/Emerald Wbnd,1615,N,2020-10-02T15:17:11-04:00,4,5%
MSS,6016,Main/King Sbnd,1648,N,2020-10-02T15:17:35-04:00,0,0%
MSS,1913,Marlington/Grayland Wbnd,1616,N,2020-10-02T15:17:37-04:00,4,5%
MSS,6016,Main/S Hill Sbnd,1642,N,2020-10-02T15:17:57-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:17:55-04:00,0,0%
MSS,1913,Marlington/Grayland Wbnd,1616,N,2020-10-02T15:17:58-04:00,4,5%
MSS,6016,Main/Dowdy Sbnd,1643,N,2020-10-02T15:18:19-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:18:14-04:00,0,0%
MSS,1913,Marlington/Grayland Wbnd,1616,N,2020-10-02T15:17:58-04:00,4,5%
MSS,6016,Main/South Park Sbnd,1644,N,2020-10-02T15:18:38-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:18:34-04:00,0,0%
MSS,1913,Marlington/Grayland Wbnd,1616,N,2020-10-02T15:18:28-04:00,4,5%
MSS,6016,Main/South Park Sbnd,1644,N,2020-10-02T15:19:01-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:18:55-04:00,0,0%
MSS,1913,Main/Landsdowne Nbnd,1618,N,2020-10-02T15:18:45-04:00,4,5%
MSS,6016,Main/South Park Sbnd,1644,N,2020-10-02T15:19:12-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:18:55-04:00,0,0%
MSS,1913,Main/Ardmore Nbnd,1619,N,2020-10-02T15:19:18-04:00,4,5%
MSS,6016,Main/South Park Sbnd,1644,N,2020-10-02T15:19:42-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:19:35-04:00,0,0%
MSS,1913,Blacksburg Square,1620,N,2020-10-02T15:19:35-04:00,4,5%
MSS,6016,Main/South Park Sbnd,1644,N,2020-10-02T15:19:53-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:19:55-04:00,0,0%
MSS,1913,Main/Cohee Nbnd,1621,N,2020-10-02T15:19:57-04:00,4,5%
MSS,6016,Industrial Park/Transportation Res Ebnd,1636,N,2020-10-02T15:20:21-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:19:55-04:00,0,0%
MSS,1913,Main/Cohee Nbnd,1621,N,2020-10-02T15:20:14-04:00,4,5%
MSS,6016,Prosperity/Industrial Park Nbnd,1637,N,2020-10-02T15:20:39-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:20:37-04:00,0,0%
MSS,1913,Main/Graves Nbnd,1623,N,2020-10-02T15:20:39-04:00,4,5%
MSS,6016,Prosperity/Industrial Park Nbnd,1637,N,2020-10-02T15:21:02-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:20:55-04:00,0,0%
MSS,1913,Main/Hemlock Nbnd,1624,N,2020-10-02T15:20:59-04:00,4,5%
MSS,6016,Professional Park Nbnd,1638,N,2020-10-02T15:21:23-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:20:55-04:00,0,0%
MSS,1913,Main/Eakin Nbnd,1625,N,2020-10-02T15:21:17-04:00,4,5%
MSS,6016,Professional Park Nbnd,1638,N,2020-10-02T15:21:42-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:21:40-04:00,0,0%
MSS,1913,Main/Eakin Nbnd,1625,N,2020-10-02T15:21:35-04:00,4,5%
MSS,6016,Professional Park Nbnd,1638,N,2020-10-02T15:22:02-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:21:55-04:00,0,0%
MSS,1913,Main/Eakin Nbnd,1625,N,2020-10-02T15:22:02-04:00,4,5%
MSS,6016,Main/Dowdy Nbnd,1639,N,2020-10-02T15:22:22-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:21:55-04:00,0,0%
MSS,1913,Main/Clay Nbnd,1626,N,2020-10-02T15:22:20-04:00,4,5%
MSS,6016,Main/S Hill Nbnd,1640,N,2020-10-02T15:22:39-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:22:42-04:00,0,0%
MSS,1913,Main/Lee Nbnd,1627,N,2020-10-02T15:22:39-04:00,4,5%
MSS,6016,Main/S Hill Nbnd,1640,N,2020-10-02T15:23:01-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:22:55-04:00,0,0%
MSS,1913,Main St Post Office,1628,N,2020-10-02T15:23:01-04:00,4,5%
MSS,6016,Main/S Hill Nbnd,1640,N,2020-10-02T15:23:23-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:22:55-04:00,0,0%
MSS,1913,Main St Post Office,1628,N,2020-10-02T15:23:15-04:00,4,5%
MSS,6016,Main/S Hill Nbnd,1640,N,2020-10-02T15:23:35-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:23:25-04:00,0,0%
MSS,1913,Main St Post Office,1628,N,2020-10-02T15:23:40-04:00,4,5%
MSS,6016,Main/S Hill Nbnd,1640,N,2020-10-02T15:23:58-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:23:56-04:00,0,0%
MSS,1913,Alumni Mall Wbnd,1112,N,2020-10-02T15:23:53-04:00,4,5%
MSS,6016,Main/S Hill Nbnd,1640,N,2020-10-02T15:23:58-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:24:26-04:00,0,0%
MSS,1913,Squires Wbnd,1113,Y,2020-10-02T15:24:16-04:00,4,5%
MSS,6016,Main/S Hill Nbnd,1640,N,2020-10-02T15:24:37-04:00,0,0%
MSS,1922,Squires Wbnd,1113,Y,2020-10-02T15:24:26-04:00,0,0%
