time,routeName,bus ID,LastStopName,stopCode,IsBusAtStop,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
2020-09-13 13:41:26.684117,MSS,1923,Squires Wbnd,1113,N,Y,2020-09-13T13:41:04-04:00,64,80%
2020-09-13 13:41:46.809527,MSS,1923,Squires Wbnd,1113,N,Y,2020-09-13T13:41:38-04:00,64,80%
2020-09-13 13:42:06.937568,MSS,1923,Squires Wbnd,1113,N,Y,2020-09-13T13:41:38-04:00,64,80%
2020-09-13 13:42:27.037757,MSS,1923,Squires Wbnd,1113,N,Y,2020-09-13T13:42:04-04:00,64,80%
2020-09-13 13:42:47.173086,MSS,1923,Squires Wbnd,1113,N,Y,2020-09-13T13:42:40-04:00,64,80%
2020-09-13 13:43:07.290002,MSS,1923,Squires Wbnd,1113,N,Y,2020-09-13T13:42:40-04:00,64,80%
2020-09-13 13:43:27.397822,MSS,1923,Squires Wbnd,1113,N,Y,2020-09-13T13:43:04-04:00,64,80%
2020-09-13 13:43:47.529295,MSS,1923,Squires Wbnd,1113,N,Y,2020-09-13T13:43:42-04:00,64,80%
2020-09-13 13:44:07.658245,MSS,1923,Squires Wbnd,1113,N,Y,2020-09-13T13:44:04-04:00,64,80%
2020-09-13 13:44:27.765248,MSS,1923,Squires Wbnd,1113,N,Y,2020-09-13T13:44:04-04:00,64,80%
2020-09-13 14:13:38.521270,MSS,1923,Squires Wbnd,1113,N,Y,2020-09-13T14:13:34-04:00,77,96%
2020-09-13 14:13:58.636731,MSS,1923,Squires Wbnd,1113,N,Y,2020-09-13T14:13:43-04:00,77,96%
2020-09-13 14:14:18.750595,MSS,1923,Squires Wbnd,1113,N,Y,2020-09-13T14:14:14-04:00,77,96%
2020-09-13 14:14:38.865404,MSS,1923,Squires Wbnd,1113,N,Y,2020-09-13T14:14:34-04:00,77,96%
2020-09-13 14:14:58.974084,MSS,1923,Squires Wbnd,1113,N,Y,2020-09-13T14:14:34-04:00,77,96%
2020-09-13 14:15:19.104661,MSS,1923,Squires Wbnd,1113,N,Y,2020-09-13T14:15:04-04:00,77,96%
2020-09-13 14:15:39.217956,MSS,1923,Squires Wbnd,1113,N,Y,2020-09-13T14:15:34-04:00,77,96%
2020-09-13 14:15:59.328517,MSS,1923,Squires Ebnd,1110,N,Y,2020-09-13T14:15:41-04:00,77,96%
2020-09-13 14:16:19.437534,MSS,1923,Squires Ebnd,1110,N,Y,2020-09-13T14:16:16-04:00,77,96%
2020-09-13 14:16:39.558449,MSS,1923,Squires Ebnd,1110,N,Y,2020-09-13T14:16:33-04:00,77,96%
2020-09-13 14:16:59.672450,MSS,1923,Squires Ebnd,1110,N,Y,2020-09-13T14:16:59-04:00,77,96%
2020-09-13 14:17:19.795453,MSS,1923,Squires Ebnd,1110,N,Y,2020-09-13T14:17:09-04:00,77,96%
2020-09-13 14:17:39.915028,MSS,1923,Main/Roanoke Sbnd,1600,N,N,2020-09-13T14:17:32-04:00,77,96%
2020-09-13 14:18:00.048917,MSS,1923,Main/Roanoke Sbnd,1600,N,N,2020-09-13T14:17:50-04:00,77,96%
2020-09-13 14:18:20.168817,MSS,1923,Blacksburg Municipal Building,1601,N,N,2020-09-13T14:18:19-04:00,77,96%
2020-09-13 14:18:40.278171,MSS,1923,Main/Eheart Sbnd,1602,N,N,2020-09-13T14:18:33-04:00,77,96%
2020-09-13 14:19:00.403712,MSS,1923,Main/Eheart Sbnd,1602,N,N,2020-09-13T14:18:52-04:00,77,96%
2020-09-13 14:19:20.524667,MSS,1923,Main/Hemlock Sbnd,1635,N,N,2020-09-13T14:19:14-04:00,79,99%
2020-09-13 14:19:40.646611,MSS,1923,Main/Airport Sbnd,1605,N,N,2020-09-13T14:19:36-04:00,79,99%
2020-09-13 14:20:00.758609,MSS,1923,Main/Faystone Sbnd,1606,N,N,2020-09-13T14:19:53-04:00,79,99%
2020-09-13 14:20:20.882989,MSS,1923,Main/Faystone Sbnd,1606,N,N,2020-09-13T14:20:09-04:00,79,99%
2020-09-13 14:20:41.027946,MSS,1923,Main/Faystone Sbnd,1606,N,N,2020-09-13T14:20:26-04:00,79,99%
2020-09-13 14:21:01.153382,MSS,1923,Gables Shopping Center,1607,N,N,2020-09-13T14:20:56-04:00,80,100%
2020-09-13 14:21:21.278590,MSS,1923,Main/Landsdowne Sbnd,1608,N,N,2020-09-13T14:21:18-04:00,80,100%
2020-09-13 14:21:41.402932,MSS,1923,Main/Landsdowne Sbnd,1608,N,N,2020-09-13T14:21:39-04:00,80,100%
2020-09-13 14:22:01.530129,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:22:00-04:00,80,100%
2020-09-13 14:22:21.655243,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:22:18-04:00,80,100%
2020-09-13 14:22:41.779204,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:22:30-04:00,80,100%
2020-09-13 14:23:01.893561,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:22:30-04:00,80,100%
2020-09-13 14:23:22.022735,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:23:16-04:00,80,100%
2020-09-13 14:23:42.147861,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:23:30-04:00,80,100%
2020-09-13 14:24:02.245713,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:23:30-04:00,80,100%
2020-09-13 14:24:22.362946,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:24:19-04:00,80,100%
2020-09-13 14:24:42.474699,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:24:41-04:00,80,100%
2020-09-13 14:25:02.617581,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:24:56-04:00,80,100%
2020-09-13 14:25:22.738196,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:25:11-04:00,80,100%
2020-09-13 14:25:42.867383,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:25:11-04:00,80,100%
2020-09-13 14:26:02.994111,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:25:59-04:00,80,100%
2020-09-13 14:26:23.127316,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:26:11-04:00,80,100%
2020-09-13 14:26:43.250364,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:26:11-04:00,80,100%
2020-09-13 14:27:03.371363,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:27:00-04:00,80,100%
2020-09-13 14:27:23.511930,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:27:11-04:00,80,100%
2020-09-13 14:27:43.632723,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:27:11-04:00,80,100%
2020-09-13 14:28:03.746741,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:27:41-04:00,80,100%
2020-09-13 14:28:23.849105,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:28:11-04:00,80,100%
2020-09-13 14:28:43.982886,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:28:41-04:00,80,100%
2020-09-13 14:29:04.099162,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:28:41-04:00,80,100%
2020-09-13 14:29:24.213555,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:29:11-04:00,80,100%
2020-09-13 14:29:44.351042,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:29:41-04:00,80,100%
2020-09-13 14:30:04.460676,MSS,1923,Main/King Sbnd,1648,N,N,2020-09-13T14:29:56-04:00,80,100%
2020-09-13 14:30:24.578978,MSS,1923,Fairfax/New Kent Ebnd,1610,N,N,2020-09-13T14:30:21-04:00,81,101%
2020-09-13 14:30:44.731232,MSS,1923,Fairfax/New Kent Ebnd,1610,N,N,2020-09-13T14:30:29-04:00,81,101%
2020-09-13 14:31:04.847903,MSS,1923,Fairfax/New Kent Ebnd,1610,N,N,2020-09-13T14:30:52-04:00,81,101%
2020-09-13 14:31:24.945800,MSS,1923,New Kent/Loudon Ebnd,1611,N,N,2020-09-13T14:31:04-04:00,83,104%
2020-09-13 14:31:45.040785,MSS,1923,New Kent/Sussex Ebnd,1612,N,N,2020-09-13T14:31:41-04:00,83,104%
2020-09-13 14:32:05.166848,MSS,1923,New Kent/Sussex Ebnd,1612,N,N,2020-09-13T14:32:02-04:00,83,104%
2020-09-13 14:32:25.317326,MSS,1923,Grissom/Nellies Cave Nbnd,1613,N,N,2020-09-13T14:32:21-04:00,84,105%
2020-09-13 14:32:45.450676,MSS,1923,Marlington/Grissom Wbnd,1614,N,N,2020-09-13T14:32:39-04:00,84,105%
2020-09-13 14:33:05.573677,MSS,1923,Marlington/Emerald Wbnd,1615,N,N,2020-09-13T14:33:01-04:00,84,105%
2020-09-13 14:33:25.694187,MSS,1923,Marlington/Emerald Wbnd,1615,N,N,2020-09-13T14:33:18-04:00,84,105%
2020-09-13 14:33:45.816387,MSS,1923,Marlington/Grayland Wbnd,1616,N,N,2020-09-13T14:33:41-04:00,86,108%
2020-09-13 14:34:05.935322,MSS,1923,Marlington/Grayland Wbnd,1616,N,N,2020-09-13T14:33:55-04:00,86,108%
2020-09-13 14:34:26.054523,MSS,1923,Main/Landsdowne Nbnd,1618,N,N,2020-09-13T14:34:17-04:00,86,108%
2020-09-13 14:34:46.143692,MSS,1923,Blacksburg Square,1620,N,N,2020-09-13T14:34:45-04:00,86,108%
2020-09-13 14:35:06.261150,MSS,1923,Blacksburg Square,1620,N,N,2020-09-13T14:34:54-04:00,86,108%
2020-09-13 14:35:26.356060,MSS,1923,Main/Cohee Nbnd,1621,N,N,2020-09-13T14:35:16-04:00,86,108%
2020-09-13 14:35:46.480120,MSS,1923,Main/Cohee Nbnd,1621,N,N,2020-09-13T14:35:39-04:00,86,108%
2020-09-13 14:36:06.587831,MSS,1923,Main/Sunset Nbnd,1622,N,N,2020-09-13T14:35:56-04:00,87,109%
2020-09-13 14:36:26.702767,MSS,1923,Main/Hemlock Nbnd,1624,N,N,2020-09-13T14:36:23-04:00,87,109%
2020-09-13 14:36:46.833334,MSS,1923,Main/Eakin Nbnd,1625,N,N,2020-09-13T14:36:45-04:00,87,109%
2020-09-13 14:37:06.949231,MSS,1923,Main/Eakin Nbnd,1625,N,N,2020-09-13T14:36:45-04:00,87,109%
2020-09-13 14:37:27.064238,MSS,1923,Main/Clay Nbnd,1626,N,N,2020-09-13T14:37:13-04:00,87,109%
2020-09-13 14:37:47.177893,MSS,1923,Main/Clay Nbnd,1626,N,N,2020-09-13T14:37:44-04:00,87,109%
2020-09-13 14:38:07.282428,MSS,1923,Main/Lee Nbnd,1627,N,N,2020-09-13T14:37:59-04:00,87,109%
2020-09-13 14:38:27.401464,MSS,1923,Main St Post Office,1628,N,N,2020-09-13T14:38:14-04:00,87,109%
2020-09-13 14:38:47.511817,MSS,1923,Main St Post Office,1628,N,N,2020-09-13T14:38:36-04:00,87,109%
2020-09-13 14:39:07.646334,MSS,1923,Alumni Mall Wbnd,1112,N,N,2020-09-13T14:38:54-04:00,87,109%
