routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
MSS,1923,Squires Wbnd,1113,Y,2020-09-21T07:14:09-04:00,6,8%
MSS,1913,Main/S Hill Nbnd,1640,N,2020-09-21T07:14:20-04:00,0,0%
MSS,6012,Main/Roanoke Sbnd,1600,N,2020-09-21T07:14:14-04:00,0,0%
MSS,1923,Squires Wbnd,1113,Y,2020-09-21T07:14:35-04:00,6,8%
MSS,1913,Main/S Hill Nbnd,1640,N,2020-09-21T07:14:20-04:00,0,0%
MSS,6012,Blacksburg Municipal Building,1601,N,2020-09-21T07:14:39-04:00,0,0%
MSS,1923,Squires Wbnd,1113,Y,2020-09-21T07:15:05-04:00,6,8%
MSS,1913,Main/S Hill Nbnd,1640,N,2020-09-21T07:15:03-04:00,0,0%
MSS,6012,Main/Eheart Sbnd,1602,N,2020-09-21T07:15:02-04:00,0,0%
MSS,1923,Squires Wbnd,1113,Y,2020-09-21T07:15:07-04:00,6,8%
MSS,1913,Fairfax/New Kent Ebnd,1610,N,2020-09-21T07:15:28-04:00,0,0%
MSS,6012,Main/Hemlock Sbnd,1635,N,2020-09-21T07:15:26-04:00,0,0%
MSS,1913,Fairfax/New Kent Ebnd,1610,N,2020-09-21T07:15:43-04:00,0,0%
MSS,6012,Main/Airport Sbnd,1605,N,2020-09-21T07:15:46-04:00,0,0%
MSS,1913,New Kent/Loudon Ebnd,1611,N,2020-09-21T07:16:02-04:00,0,0%
MSS,6012,Main/Airport Sbnd,1605,N,2020-09-21T07:16:04-04:00,0,0%
MSS,1913,New Kent/Sussex Ebnd,1612,N,2020-09-21T07:16:26-04:00,0,0%
MSS,6012,Main/Faystone Sbnd,1606,N,2020-09-21T07:16:19-04:00,0,0%
MSS,1913,Grissom/Nellies Cave Nbnd,1613,N,2020-09-21T07:16:41-04:00,0,0%
MSS,6411,Squires Wbnd,1113,Y,2020-09-21T07:16:42-04:00,1,1%
MSS,6012,Gables Shopping Center,1607,N,2020-09-21T07:16:40-04:00,0,0%
MSS,1913,Marlington/Grissom Wbnd,1614,N,2020-09-21T07:16:59-04:00,0,0%
MSS,6411,Squires Wbnd,1113,Y,2020-09-21T07:16:55-04:00,1,1%
MSS,6012,Gables Shopping Center,1607,N,2020-09-21T07:16:54-04:00,0,0%
MSS,1913,Marlington/Emerald Wbnd,1615,N,2020-09-21T07:17:17-04:00,0,0%
MSS,6411,Squires Wbnd,1113,Y,2020-09-21T07:17:23-04:00,1,1%
MSS,6012,Gables Shopping Center,1607,N,2020-09-21T07:17:28-04:00,0,0%
MSS,1913,Marlington/Grayland Wbnd,1616,N,2020-09-21T07:17:34-04:00,0,0%
MSS,6411,Squires Wbnd,1113,Y,2020-09-21T07:17:23-04:00,1,1%
MSS,6012,Main/Landsdowne Sbnd,1608,N,2020-09-21T07:17:39-04:00,0,0%
MSS,1913,Marlington/Grayland Wbnd,1616,N,2020-09-21T07:18:04-04:00,0,0%
MSS,6411,Squires Wbnd,1113,Y,2020-09-21T07:18:10-04:00,1,1%
MSS,6012,Main/King Sbnd,1648,N,2020-09-21T07:18:02-04:00,0,0%
MSS,1913,Main/Ardmore Nbnd,1619,N,2020-09-21T07:18:28-04:00,0,0%
MSS,6411,Squires Wbnd,1113,Y,2020-09-21T07:18:23-04:00,1,1%
MSS,6012,Main/S Hill Sbnd,1642,N,2020-09-21T07:18:22-04:00,0,0%
MSS,1913,Blacksburg Square,1620,N,2020-09-21T07:18:44-04:00,0,0%
MSS,6411,Squires Wbnd,1113,Y,2020-09-21T07:18:23-04:00,1,1%
MSS,6012,Main/Dowdy Sbnd,1643,N,2020-09-21T07:18:46-04:00,0,0%
MSS,1913,Blacksburg Square,1620,N,2020-09-21T07:19:09-04:00,0,0%
MSS,6411,Squires Wbnd,1113,Y,2020-09-21T07:18:53-04:00,1,1%
MSS,6012,Main/South Park Sbnd,1644,N,2020-09-21T07:19:04-04:00,0,0%
MSS,1913,Main/Cohee Nbnd,1621,N,2020-09-21T07:19:23-04:00,0,0%
