routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
PHD,6022,Squires Wbnd,1113,Y,2020-10-02T15:13:12-04:00,0,0%
PHD,6324,Seneca/Patrick Henry Sbnd,1415,N,2020-10-02T15:13:11-04:00,0,0%
PHD,6022,Squires Wbnd,1113,Y,2020-10-02T15:13:33-04:00,0,0%
PHD,6324,Seneca/Patrick Henry Sbnd,1415,N,2020-10-02T15:13:19-04:00,0,0%
PHD,6022,Squires Wbnd,1113,Y,2020-10-02T15:13:42-04:00,0,0%
PHD,6324,Seneca/Patrick Henry Sbnd,1415,N,2020-10-02T15:13:41-04:00,0,0%
PHD,6022,Squires Wbnd,1113,Y,2020-10-02T15:14:12-04:00,0,0%
PHD,6324,Seneca/Patrick Henry Sbnd,1415,N,2020-10-02T15:14:11-04:00,0,0%
PHD,6022,Squires Wbnd,1113,Y,2020-10-02T15:14:35-04:00,0,0%
PHD,6324,Seneca/Patrick Henry Sbnd,1415,N,2020-10-02T15:14:20-04:00,0,0%
PHD,6022,Squires Wbnd,1113,Y,2020-10-02T15:14:42-04:00,0,0%
PHD,6324,Patrick Henry/Mary Jane Wbnd,1438,Y,2020-10-02T15:14:56-04:00,0,0%
PHD,6022,Squires Wbnd,1113,Y,2020-10-02T15:15:12-04:00,0,0%
PHD,6324,Patrick Henry/Mary Jane Wbnd,1438,Y,2020-10-02T15:15:14-04:00,0,0%
PHD,6022,Squires Wbnd,1113,Y,2020-10-02T15:15:42-04:00,0,0%
PHD,6324,Patrick Henry/Mary Jane Wbnd,1438,Y,2020-10-02T15:15:14-04:00,0,0%
PHD,6022,Squires Wbnd,1113,Y,2020-10-02T15:15:42-04:00,0,0%
PHD,6324,Patrick Henry/Mary Jane Wbnd,1438,Y,2020-10-02T15:15:14-04:00,0,0%
PHD,6022,Squires Wbnd,1113,Y,2020-10-02T15:16:12-04:00,0,0%
PHD,6324,Patrick Henry/Mary Jane Wbnd,1438,Y,2020-10-02T15:16:08-04:00,0,0%
PHD,6022,Squires Wbnd,1113,Y,2020-10-02T15:16:42-04:00,0,0%
PHD,6324,Progress/Hunt Club Sbnd,1326,N,2020-10-02T15:16:38-04:00,0,0%
PHD,6022,Squires Wbnd,1113,Y,2020-10-02T15:16:42-04:00,0,0%
PHD,6324,Progress/University Terr Sbnd,1327,N,2020-10-02T15:16:56-04:00,0,0%
PHD,6022,Squires Wbnd,1113,Y,2020-10-02T15:17:19-04:00,0,0%
PHD,6324,Progress/Broce Sbnd,1328,N,2020-10-02T15:17:18-04:00,0,0%
PHD,6022,Squires Wbnd,1113,Y,2020-10-02T15:17:42-04:00,0,0%
PHD,6324,Progress/Watson Sbnd,1340,N,2020-10-02T15:17:32-04:00,0,0%
PHD,6022,Squires Wbnd,1113,Y,2020-10-02T15:18:01-04:00,0,0%
PHD,6324,Progress/Watson Sbnd,1340,N,2020-10-02T15:17:49-04:00,0,0%
PHD,6022,Squires Wbnd,1113,Y,2020-10-02T15:18:20-04:00,0,0%
PHD,6324,Progress/Watson Sbnd,1340,N,2020-10-02T15:18:15-04:00,0,0%
PHD,6022,Squires Wbnd,1113,Y,2020-10-02T15:18:37-04:00,0,0%
PHD,6324,Progress/Watson Sbnd,1340,N,2020-10-02T15:18:15-04:00,0,0%
PHD,6022,Torgersen Hall,1114,N,2020-10-02T15:18:56-04:00,0,0%
PHD,6324,Progress/Watson Sbnd,1340,N,2020-10-02T15:19:00-04:00,0,0%
PHD,6022,Torgersen Hall,1114,N,2020-10-02T15:19:24-04:00,0,0%
PHD,6324,Main/Kabrich Sbnd,1421,N,2020-10-02T15:19:19-04:00,0,0%
PHD,6022,Torgersen Hall,1114,N,2020-10-02T15:19:27-04:00,0,0%
PHD,6324,Main/Kabrich Sbnd,1421,N,2020-10-02T15:19:43-04:00,0,0%
PHD,6022,Old Security Bldg,1104,N,2020-10-02T15:19:52-04:00,0,0%
PHD,6324,Main/Kabrich Sbnd,1421,N,2020-10-02T15:19:54-04:00,0,0%
PHD,6022,Old Security Bldg,1104,N,2020-10-02T15:20:13-04:00,0,0%
PHD,6324,Main/Collegiate Ct Sbnd,1422,N,2020-10-02T15:20:20-04:00,0,0%
PHD,6022,Stanger/Perry Nbnd,1105,N,2020-10-02T15:20:37-04:00,0,0%
PHD,6324,Main/Turner Sbnd,1423,N,2020-10-02T15:20:38-04:00,0,0%
PHD,6022,Stanger/Perry Nbnd,1105,N,2020-10-02T15:20:44-04:00,0,0%
PHD,6324,Alumni Mall Wbnd,1112,N,2020-10-02T15:21:01-04:00,0,0%
PHD,6022,Stanger/Perry Nbnd,1105,N,2020-10-02T15:21:10-04:00,0,0%
PHD,6324,Squires Wbnd,1113,Y,2020-10-02T15:21:19-04:00,0,0%
PHD,6022,Stanger/Perry Nbnd,1105,N,2020-10-02T15:21:37-04:00,0,0%
PHD,6324,Squires Wbnd,1113,Y,2020-10-02T15:21:31-04:00,0,0%
PHD,6022,Prices Fork/Turner Ebnd,1334,N,2020-10-02T15:22:03-04:00,0,0%
PHD,6324,Squires Wbnd,1113,Y,2020-10-02T15:22:01-04:00,0,0%
PHD,6022,Prices Fork/Turner Ebnd,1334,N,2020-10-02T15:22:20-04:00,0,0%
PHD,6324,Squires Wbnd,1113,Y,2020-10-02T15:22:22-04:00,0,0%
PHD,6022,Prices Fork/Turner Ebnd,1334,N,2020-10-02T15:22:44-04:00,0,0%
PHD,6324,Squires Wbnd,1113,Y,2020-10-02T15:22:31-04:00,0,0%
PHD,6022,Main/Montgomery Nbnd,1400,N,2020-10-02T15:23:05-04:00,0,0%
PHD,6324,Squires Wbnd,1113,Y,2020-10-02T15:23:01-04:00,0,0%
PHD,6022,Main/Montgomery Nbnd,1400,N,2020-10-02T15:23:12-04:00,0,0%
PHD,6324,Squires Wbnd,1113,Y,2020-10-02T15:23:01-04:00,0,0%
PHD,6022,Main/Lucas Nbnd S,1401,N,2020-10-02T15:23:43-04:00,0,0%
PHD,6324,Squires Wbnd,1113,Y,2020-10-02T15:23:31-04:00,0,0%
PHD,6022,Lucas/Main Ebnd,1402,N,2020-10-02T15:24:02-04:00,0,0%
PHD,6324,Squires Wbnd,1113,Y,2020-10-02T15:24:01-04:00,0,0%
PHD,6022,Lucas/Main Ebnd,1402,N,2020-10-02T15:24:14-04:00,0,0%
PHD,6324,Squires Wbnd,1113,Y,2020-10-02T15:24:01-04:00,0,0%
PHD,6022,Lucas/Giles Ebnd,1403,N,2020-10-02T15:24:38-04:00,0,0%
PHD,6324,Squires Wbnd,1113,Y,2020-10-02T15:24:31-04:00,0,0%
PHD,6022,Lucas/Giles Ebnd,1403,N,2020-10-02T15:25:02-04:00,0,0%
PHD,6324,Squires Wbnd,1113,Y,2020-10-02T15:24:31-04:00,0,0%
PHD,6022,Lucas/Giles Ebnd,1403,N,2020-10-02T15:25:24-04:00,0,0%
PHD,6324,Squires Wbnd,1113,Y,2020-10-02T15:25:14-04:00,0,0%
PHD,6022,Giles/Northview Nbnd,1404,N,2020-10-02T15:25:43-04:00,0,0%
PHD,6324,Squires Wbnd,1113,Y,2020-10-02T15:25:28-04:00,0,0%
PHD,6022,Giles/Northview Nbnd,1404,N,2020-10-02T15:25:58-04:00,0,0%
PHD,6324,Squires Wbnd,1113,Y,2020-10-02T15:25:28-04:00,0,0%
PHD,6022,Giles/Heights Nbnd,1405,N,2020-10-02T15:26:21-04:00,0,0%
PHD,6324,Squires Wbnd,1113,Y,2020-10-02T15:26:18-04:00,0,0%
PHD,6022,Giles/Heights Nbnd,1405,N,2020-10-02T15:26:46-04:00,0,0%
PHD,6324,Squires Wbnd,1113,Y,2020-10-02T15:26:18-04:00,0,0%
