routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
PHD,6425,Squires Wbnd,1113,Y,2020-09-21T07:14:01-04:00,0,0%
PHD,6425,Squires Wbnd,1113,Y,2020-09-21T07:14:47-04:00,0,0%
PHD,6425,Squires Wbnd,1113,Y,2020-09-21T07:15:05-04:00,0,0%
PHD,6425,Squires Wbnd,1113,Y,2020-09-21T07:15:05-04:00,0,0%
PHD,6425,Squires Wbnd,1113,Y,2020-09-21T07:15:50-04:00,0,0%
PHD,6425,Squires Wbnd,1113,Y,2020-09-21T07:16:01-04:00,0,0%
PHD,6425,Torgersen Hall,1114,N,2020-09-21T07:16:11-04:00,0,0%
PHD,6425,Torgersen Hall,1114,N,2020-09-21T07:16:37-04:00,0,0%
PHD,6425,Old Security Bldg,1104,N,2020-09-21T07:16:57-04:00,0,0%
PHD,6425,Stanger/Perry Nbnd,1105,N,2020-09-21T07:17:16-04:00,0,0%
PHD,6425,Prices Fork/Turner Ebnd,1334,N,2020-09-21T07:17:47-04:00,0,0%
PHD,6425,Prices Fork/Turner Ebnd,1334,N,2020-09-21T07:18:05-04:00,0,0%
PHD,6425,Prices Fork/Turner Ebnd,1334,N,2020-09-21T07:18:21-04:00,0,0%
PHD,6425,Main/Montgomery Nbnd,1400,N,2020-09-21T07:18:52-04:00,0,0%
PHD,6425,Main/Lucas Nbnd S,1401,N,2020-09-21T07:19:07-04:00,0,0%
PHD,6727,Pheasant Run,1414,Y,2020-09-21T07:19:06-04:00,0,0%
PHD,6425,Lucas/Main Ebnd,1402,N,2020-09-21T07:19:31-04:00,0,0%
PHD,6727,Pheasant Run,1414,Y,2020-09-21T07:19:29-04:00,0,0%
PHD,6425,Lucas/Giles Ebnd,1403,N,2020-09-21T07:19:44-04:00,0,0%
PHD,6727,Seneca/Patrick Henry Sbnd,1415,N,2020-09-21T07:19:47-04:00,0,0%
PHD,6425,Lucas/Giles Ebnd,1403,N,2020-09-21T07:20:01-04:00,0,0%
PHD,6727,Seneca/Patrick Henry Sbnd,1415,N,2020-09-21T07:20:06-04:00,0,0%
PHD,6425,Giles/Northview Nbnd,1404,N,2020-09-21T07:20:28-04:00,0,0%
PHD,6727,Patrick Henry/Mary Jane Wbnd,1438,Y,2020-09-21T07:20:30-04:00,0,0%
PHD,6425,Giles/Northview Nbnd,1404,N,2020-09-21T07:20:48-04:00,0,0%
PHD,6727,Patrick Henry/Mary Jane Wbnd,1438,Y,2020-09-21T07:20:46-04:00,0,0%
PHD,6425,Giles/Heights Nbnd,1405,N,2020-09-21T07:21:09-04:00,0,0%
PHD,6727,Patrick Henry/Mary Jane Wbnd,1438,Y,2020-09-21T07:21:10-04:00,0,0%
PHD,6425,Giles/Heights Nbnd,1405,N,2020-09-21T07:21:29-04:00,0,0%
PHD,6727,Patrick Henry/Mary Jane Wbnd,1438,Y,2020-09-21T07:21:27-04:00,0,0%
PHD,6425,Giles/Patrick Henry Nbnd,1406,N,2020-09-21T07:21:50-04:00,0,0%
PHD,6727,Patrick Henry/Mary Jane Wbnd,1438,Y,2020-09-21T07:21:41-04:00,0,0%
PHD,6425,Giles/Patrick Henry Nbnd,1406,N,2020-09-21T07:22:04-04:00,0,0%
PHD,6727,Progress/Hunt Club Sbnd,1326,N,2020-09-21T07:22:12-04:00,0,0%
PHD,6425,Patrick Henry/Giles Wbnd,1407,N,2020-09-21T07:22:32-04:00,0,0%
PHD,6727,Progress/University Terr Sbnd,1327,N,2020-09-21T07:22:33-04:00,0,0%
PHD,6425,Patrick Henry/Giles Wbnd,1407,N,2020-09-21T07:22:32-04:00,0,0%
PHD,6727,Progress/Broce Sbnd,1328,N,2020-09-21T07:22:50-04:00,0,0%
PHD,6425,Patrick Henry/Main Wbnd,1408,N,2020-09-21T07:23:10-04:00,0,0%
PHD,6727,Progress/Broce Sbnd,1328,N,2020-09-21T07:23:09-04:00,0,0%
PHD,6425,Patrick Henry/Main Wbnd,1408,N,2020-09-21T07:23:25-04:00,0,0%
PHD,6727,Progress/Watson Sbnd,1340,N,2020-09-21T07:23:23-04:00,0,0%
PHD,6425,Patrick Henry/Main Wbnd,1408,N,2020-09-21T07:23:41-04:00,0,0%
PHD,6727,Progress/Watson Sbnd,1340,N,2020-09-21T07:23:40-04:00,0,0%
PHD,6425,Patrick Henry/Main Wbnd,1408,N,2020-09-21T07:24:06-04:00,0,0%
PHD,6727,Progress/Watson Sbnd,1340,N,2020-09-21T07:24:07-04:00,0,0%
PHD,6425,Pheasant Run,1414,N,2020-09-21T07:24:28-04:00,0,0%
PHD,6727,Main/Kabrich Sbnd,1421,N,2020-09-21T07:24:33-04:00,0,0%
PHD,6425,Pheasant Run,1414,N,2020-09-21T07:24:49-04:00,0,0%
PHD,6727,Main/Kabrich Sbnd,1421,N,2020-09-21T07:24:45-04:00,0,0%
PHD,6425,Pheasant Run,1414,N,2020-09-21T07:25:06-04:00,0,0%
PHD,6727,Main/Collegiate Ct Sbnd,1422,N,2020-09-21T07:25:07-04:00,0,0%
PHD,6425,Seneca/Patrick Henry Sbnd,1415,N,2020-09-21T07:25:23-04:00,0,0%
PHD,6727,Main/Turner Sbnd,1423,N,2020-09-21T07:25:29-04:00,0,0%
PHD,6425,Seneca/Patrick Henry Sbnd,1415,N,2020-09-21T07:25:50-04:00,0,0%
PHD,6727,Main/Turner Sbnd,1423,N,2020-09-21T07:25:45-04:00,0,0%
PHD,6425,Seneca/Patrick Henry Sbnd,1415,N,2020-09-21T07:26:09-04:00,0,0%
PHD,6727,Alumni Mall Wbnd,1112,N,2020-09-21T07:26:09-04:00,0,0%
PHD,6425,Seneca/Patrick Henry Sbnd,1415,N,2020-09-21T07:26:09-04:00,0,0%
PHD,6727,Squires Wbnd,1113,Y,2020-09-21T07:26:30-04:00,0,0%
PHD,6425,Seneca/Patrick Henry Sbnd,1415,N,2020-09-21T07:26:46-04:00,0,0%
PHD,6727,Squires Wbnd,1113,Y,2020-09-21T07:26:39-04:00,0,0%
PHD,6425,Seneca/Patrick Henry Sbnd,1415,N,2020-09-21T07:27:09-04:00,0,0%
PHD,6727,Squires Wbnd,1113,Y,2020-09-21T07:27:09-04:00,0,0%
PHD,6425,Seneca/Patrick Henry Sbnd,1415,N,2020-09-21T07:27:09-04:00,0,0%
PHD,6727,Squires Wbnd,1113,Y,2020-09-21T07:27:31-04:00,0,0%
PHD,6425,Seneca/Patrick Henry Sbnd,1415,N,2020-09-21T07:27:49-04:00,0,0%
PHD,6727,Squires Wbnd,1113,Y,2020-09-21T07:27:39-04:00,0,0%
PHD,6425,Seneca/Patrick Henry Sbnd,1415,N,2020-09-21T07:28:09-04:00,0,0%
PHD,6727,Squires Wbnd,1113,Y,2020-09-21T07:28:09-04:00,0,0%
PHD,6425,Seneca/Patrick Henry Sbnd,1415,N,2020-09-21T07:28:09-04:00,0,0%
PHD,6727,Squires Wbnd,1113,Y,2020-09-21T07:28:34-04:00,0,0%
PHD,6425,Seneca/Patrick Henry Sbnd,1415,N,2020-09-21T07:28:51-04:00,0,0%
PHD,6727,Squires Wbnd,1113,Y,2020-09-21T07:28:39-04:00,0,0%
PHD,6425,Seneca/Patrick Henry Sbnd,1415,N,2020-09-21T07:29:09-04:00,0,0%
PHD,6727,Squires Wbnd,1113,Y,2020-09-21T07:29:09-04:00,0,0%
PHD,6425,Seneca/Patrick Henry Sbnd,1415,N,2020-09-21T07:29:09-04:00,0,0%
PHD,6727,Squires Wbnd,1113,Y,2020-09-21T07:29:35-04:00,0,0%
PHD,6425,Seneca/Patrick Henry Sbnd,1415,N,2020-09-21T07:29:53-04:00,0,0%
PHD,6727,Squires Wbnd,1113,Y,2020-09-21T07:29:39-04:00,0,0%
PHD,6425,Seneca/Patrick Henry Sbnd,1415,N,2020-09-21T07:30:10-04:00,0,0%
PHD,6727,Squires Wbnd,1113,Y,2020-09-21T07:30:09-04:00,0,0%
PHD,6425,Patrick Henry/Mary Jane Wbnd,1438,Y,2020-09-21T07:30:34-04:00,0,0%
PHD,6727,Squires Wbnd,1113,Y,2020-09-21T07:30:09-04:00,0,0%
PHD,6425,Patrick Henry/Mary Jane Wbnd,1438,Y,2020-09-21T07:30:57-04:00,0,0%
