routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
PRB,6413,Whipple/Givens Wbnd,1413,Y,2020-10-01T07:03:02-04:00,0,0%
PRB,6413,Whipple/Courtney Sbnd,1428,N,2020-10-01T07:03:22-04:00,0,0%
PRB,6413,Whipple/Courtney Sbnd,1428,N,2020-10-01T07:03:45-04:00,0,0%
PRB,6413,1500 North Main Sbnd,1429,N,2020-10-01T07:04:07-04:00,0,0%
PRB,6413,1500 North Main Sbnd,1429,N,2020-10-01T07:04:24-04:00,0,0%
PRB,6413,1500 North Main Sbnd,1429,N,2020-10-01T07:04:45-04:00,0,0%
PRB,6413,1500 North Main Sbnd,1429,N,2020-10-01T07:04:58-04:00,0,0%
PRB,6413,Patrick Henry/Mary Jane Wbnd,1438,N,2020-10-01T07:05:27-04:00,0,0%
PRB,6413,Patrick Henry/Mary Jane Wbnd,1438,N,2020-10-01T07:05:47-04:00,0,0%
PRB,6413,Patrick Henry/Mary Jane Wbnd,1438,N,2020-10-01T07:05:52-04:00,0,0%
PRB,6413,Progress/University Terr Sbnd,1327,N,2020-10-01T07:06:31-04:00,0,0%
PRB,6413,Progress/Broce Sbnd,1328,N,2020-10-01T07:06:46-04:00,0,0%
PRB,6413,Progress/Broce Sbnd,1328,N,2020-10-01T07:07:04-04:00,0,0%
PRB,6413,Progress/Watson Sbnd,1340,N,2020-10-01T07:07:16-04:00,0,0%
PRB,6413,Progress/Watson Sbnd,1340,N,2020-10-01T07:07:35-04:00,0,0%
PRB,6413,Progress/Watson Sbnd,1340,N,2020-10-01T07:08:01-04:00,0,0%
PRB,6413,Main/Kabrich Sbnd,1421,N,2020-10-01T07:08:19-04:00,0,0%
PRB,6413,Main/Collegiate Ct Sbnd,1422,N,2020-10-01T07:08:47-04:00,0,0%
PRB,6413,Main/Collegiate Ct Sbnd,1422,N,2020-10-01T07:09:04-04:00,0,0%
PRB,6413,Main/Turner Sbnd,1423,N,2020-10-01T07:09:20-04:00,0,0%
PRB,6413,Alumni Mall Wbnd,1112,N,2020-10-01T07:09:46-04:00,0,0%
PRB,6413,Alumni Mall Wbnd,1112,N,2020-10-01T07:09:53-04:00,0,0%
PRB,6413,Alumni Mall Wbnd,1112,N,2020-10-01T07:10:23-04:00,0,0%
PRB,6413,Alumni Mall Wbnd,1112,N,2020-10-01T07:10:23-04:00,0,0%
PRB,6413,Squires Wbnd,1113,Y,2020-10-01T07:11:09-04:00,0,0%
PRB,6413,Squires Wbnd,1113,Y,2020-10-01T07:11:22-04:00,0,0%
PRB,6413,Squires Ebnd,1110,N,2020-10-01T07:11:51-04:00,2,2%
PRB,6413,Squires Ebnd,1110,N,2020-10-01T07:11:54-04:00,2,2%
PRB,6413,Alumni Mall Ebnd,1111,N,2020-10-01T07:12:24-04:00,2,2%
PRB,6413,Alumni Mall Ebnd,1111,N,2020-10-01T07:12:35-04:00,2,2%
PRB,6413,Alumni Mall Ebnd,1111,N,2020-10-01T07:13:05-04:00,2,2%
PRB,6413,Alumni Mall Ebnd,1111,N,2020-10-01T07:13:21-04:00,2,2%
PRB,1923,Givens/Yale Ebnd,1437,Y,2020-10-01T07:13:28-04:00,2,2%
PRB,6413,Main/Turner Nbnd,1431,N,2020-10-01T07:13:49-04:00,2,2%
PRB,1923,Givens/Whipple Ebnd,1436,N,2020-10-01T07:13:46-04:00,2,2%
PRB,6413,Main/Turner Nbnd,1431,N,2020-10-01T07:14:06-04:00,2,2%
