routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
PRB,6015,Main/Turner Nbnd,1431,N,2020-09-21T07:14:23-04:00,0,0%
PRB,6015,Main/Turner Nbnd,1431,N,2020-09-21T07:14:42-04:00,0,0%
PRB,6015,Main/Turner Nbnd,1431,N,2020-09-21T07:14:55-04:00,0,0%
PRB,6015,Progress/Watson Nbnd,1339,N,2020-09-21T07:15:23-04:00,0,0%
PRB,6015,Progress/Watson Nbnd,1339,N,2020-09-21T07:15:50-04:00,0,0%
PRB,6015,Progress/Broce Nbnd,1305,N,2020-09-21T07:16:08-04:00,0,0%
PRB,6413,Givens/Yale Ebnd,1437,Y,2020-09-21T07:16:03-04:00,0,0%
PRB,6015,Progress/Broce Nbnd,1305,N,2020-09-21T07:16:15-04:00,0,0%
PRB,6413,Givens/Yale Ebnd,1437,Y,2020-09-21T07:16:28-04:00,0,0%
PRB,6015,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:16:45-04:00,0,0%
PRB,6413,Givens/Yale Ebnd,1437,Y,2020-09-21T07:16:51-04:00,0,0%
PRB,6015,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:17:04-04:00,0,0%
PRB,6413,Whipple/Givens Wbnd,1413,Y,2020-09-21T07:17:07-04:00,0,0%
PRB,6015,Patrick Henry/Mary Jane Ebnd West,1433,N,2020-09-21T07:17:30-04:00,0,0%
PRB,6413,Whipple/Givens Wbnd,1413,Y,2020-09-21T07:17:26-04:00,0,0%
PRB,6015,Patrick Henry/Mary Jane Ebnd West,1433,N,2020-09-21T07:17:45-04:00,0,0%
PRB,6413,Whipple/Courtney Sbnd,1428,N,2020-09-21T07:17:43-04:00,0,0%
PRB,6015,Patrick Henry/Seneca Ebnd,1434,N,2020-09-21T07:18:01-04:00,0,0%
PRB,6413,Whipple/Courtney Sbnd,1428,N,2020-09-21T07:18:13-04:00,0,0%
PRB,6015,Patrick Henry/Seneca Ebnd,1434,N,2020-09-21T07:18:15-04:00,0,0%
PRB,6413,1500 North Main Sbnd,1429,N,2020-09-21T07:18:29-04:00,0,0%
PRB,6015,Patrick Henry/Seneca Ebnd,1434,N,2020-09-21T07:18:45-04:00,0,0%
PRB,6413,1500 North Main Sbnd,1429,N,2020-09-21T07:18:36-04:00,0,0%
PRB,6015,Patrick Henry/Seneca Ebnd,1434,N,2020-09-21T07:18:56-04:00,0,0%
PRB,6413,1500 North Main Sbnd,1429,N,2020-09-21T07:19:06-04:00,0,0%
PRB,6015,Patrick Henry/Seneca Ebnd,1434,N,2020-09-21T07:19:25-04:00,0,0%
PRB,6413,1500 North Main Sbnd,1429,N,2020-09-21T07:19:30-04:00,0,0%
PRB,6015,Patrick Henry/Seneca Ebnd,1434,N,2020-09-21T07:19:49-04:00,0,0%
PRB,6413,Patrick Henry/Mary Jane Wbnd,1438,N,2020-09-21T07:19:51-04:00,0,0%
PRB,6015,1500 North Main Nbnd,1409,N,2020-09-21T07:20:09-04:00,0,0%
PRB,6413,Patrick Henry/Mary Jane Wbnd,1438,N,2020-09-21T07:20:08-04:00,0,0%
PRB,6015,Main/Giles Nbnd,1410,N,2020-09-21T07:20:29-04:00,0,0%
PRB,6413,Patrick Henry/Mary Jane Wbnd,1438,N,2020-09-21T07:20:34-04:00,0,0%
PRB,6015,Main/Red Maple Nbnd,1411,N,2020-09-21T07:20:51-04:00,0,0%
PRB,6413,Progress/Hunt Club Sbnd,1326,N,2020-09-21T07:20:54-04:00,0,0%
PRB,6015,Main/Red Maple Nbnd,1411,N,2020-09-21T07:21:06-04:00,0,0%
PRB,6413,Progress/University Terr Sbnd,1327,N,2020-09-21T07:21:15-04:00,0,0%
PRB,6015,Main/Red Maple Nbnd,1411,N,2020-09-21T07:21:28-04:00,0,0%
PRB,6413,Progress/Broce Sbnd,1328,N,2020-09-21T07:21:22-04:00,0,0%
PRB,6015,Givens/Main Wbnd,1412,N,2020-09-21T07:21:42-04:00,0,0%
PRB,6413,Progress/Broce Sbnd,1328,N,2020-09-21T07:21:52-04:00,0,0%
PRB,6015,Givens/Main Wbnd,1412,N,2020-09-21T07:22:14-04:00,0,0%
PRB,6413,Progress/Watson Sbnd,1340,N,2020-09-21T07:22:15-04:00,0,0%
PRB,6015,Givens/Main Wbnd,1412,N,2020-09-21T07:22:30-04:00,0,0%
PRB,6413,Progress/Watson Sbnd,1340,N,2020-09-21T07:22:31-04:00,0,0%
PRB,6015,Givens/Main Wbnd,1412,N,2020-09-21T07:22:30-04:00,0,0%
PRB,6413,Progress/Watson Sbnd,1340,N,2020-09-21T07:22:49-04:00,0,0%
PRB,6015,Givens/Main Wbnd,1412,N,2020-09-21T07:23:04-04:00,0,0%
PRB,6413,Main/Kabrich Sbnd,1421,N,2020-09-21T07:23:11-04:00,0,0%
PRB,6015,Givens/Yale Ebnd,1437,N,2020-09-21T07:23:22-04:00,0,0%
PRB,6413,Main/Collegiate Ct Sbnd,1422,N,2020-09-21T07:23:28-04:00,0,0%
PRB,6015,Givens/Whipple Ebnd,1436,N,2020-09-21T07:23:52-04:00,0,0%
PRB,6413,Main/Turner Sbnd,1423,N,2020-09-21T07:23:46-04:00,0,0%
PRB,6015,Givens/Whipple Ebnd,1436,N,2020-09-21T07:24:06-04:00,0,0%
PRB,6413,Alumni Mall Wbnd,1112,N,2020-09-21T07:24:14-04:00,0,0%
