routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
PRO,6931,Squires Ebnd,1110,Y,2020-09-21T07:14:22-04:00,0,0%
PRO,6931,Squires Ebnd,1110,Y,2020-09-21T07:14:26-04:00,0,0%
PRO,6931,Squires Ebnd,1110,Y,2020-09-21T07:14:26-04:00,0,0%
PRO,6931,Squires Ebnd,1110,Y,2020-09-21T07:15:25-04:00,0,0%
PRO,6931,Squires Ebnd,1110,Y,2020-09-21T07:15:37-04:00,0,0%
PRO,6931,Alumni Mall Ebnd,1111,N,2020-09-21T07:15:59-04:00,0,0%
PRO,6931,Alumni Mall Ebnd,1111,N,2020-09-21T07:15:59-04:00,0,0%
PRO,6931,Alumni Mall Ebnd,1111,N,2020-09-21T07:16:37-04:00,0,0%
PRO,6931,Alumni Mall Ebnd,1111,N,2020-09-21T07:16:37-04:00,0,0%
PRO,6931,Alumni Mall Ebnd,1111,N,2020-09-21T07:17:16-04:00,0,0%
PRO,6931,Alumni Mall Ebnd,1111,N,2020-09-21T07:17:42-04:00,0,0%
PRO,6931,Main/Turner Nbnd,1431,N,2020-09-21T07:17:56-04:00,0,0%
PRO,6931,Main/Turner Nbnd,1431,N,2020-09-21T07:18:20-04:00,0,0%
PRO,6931,Main/Turner Nbnd,1431,N,2020-09-21T07:18:47-04:00,0,0%
PRO,6931,Progress/Watson Nbnd,1339,N,2020-09-21T07:19:07-04:00,0,0%
PRO,6931,Progress/Watson Nbnd,1339,N,2020-09-21T07:19:21-04:00,0,0%
PRO,6931,Progress/Watson Nbnd,1339,N,2020-09-21T07:19:31-04:00,0,0%
PRO,6931,Progress/Broce Nbnd,1305,N,2020-09-21T07:20:05-04:00,0,0%
PRO,6931,Progress/University Terr Nbnd,1306,N,2020-09-21T07:20:23-04:00,0,0%
PRO,6323,The Village on Patrick Henry Wbnd,1308,Y,2020-09-21T07:20:30-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:20:38-04:00,0,0%
PRO,6323,Patrick Henry/Toms Creek Wbnd,1309,N,2020-09-21T07:20:48-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:21:01-04:00,0,0%
PRO,6323,Patrick Henry/Toms Creek Wbnd,1309,N,2020-09-21T07:21:00-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:21:26-04:00,0,0%
PRO,6323,Patrick Henry/Toms Creek Wbnd,1309,N,2020-09-21T07:21:27-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:21:32-04:00,0,0%
PRO,6323,Toms Creek/Hunt Club Sbnd,1338,N,2020-09-21T07:21:42-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:22:00-04:00,0,0%
PRO,6323,Toms Creek/McBryde Sbnd,1330,N,2020-09-21T07:22:08-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:22:30-04:00,0,0%
PRO,6323,Toms Creek/Watson Sbnd,1331,N,2020-09-21T07:22:26-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:22:30-04:00,0,0%
PRO,6323,Gilbert Linkous Sbnd,1332,N,2020-09-21T07:22:44-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:23:00-04:00,0,0%
PRO,6323,Toms Creek/Winston Sbnd,1333,N,2020-09-21T07:23:03-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:23:00-04:00,0,0%
PRO,6323,Toms Creek/Winston Sbnd,1333,N,2020-09-21T07:23:19-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:23:30-04:00,0,0%
PRO,6323,Toms Creek/Winston Sbnd,1333,N,2020-09-21T07:23:49-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:24:00-04:00,0,0%
PRO,6323,Toms Creek/Winston Sbnd,1333,N,2020-09-21T07:24:04-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:24:30-04:00,0,0%
PRO,6323,Toms Creek/Winston Sbnd,1333,N,2020-09-21T07:24:26-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:24:30-04:00,0,0%
PRO,6323,McBryde Hall,1106,N,2020-09-21T07:24:38-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:25:00-04:00,0,0%
PRO,6323,McBryde Hall,1106,N,2020-09-21T07:25:03-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:25:30-04:00,0,0%
PRO,6323,McBryde Hall,1106,N,2020-09-21T07:25:28-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:25:34-04:00,0,0%
PRO,6323,Squires Ebnd,1110,Y,2020-09-21T07:25:49-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:26:00-04:00,0,0%
PRO,6323,Squires Ebnd,1110,Y,2020-09-21T07:26:08-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:26:30-04:00,0,0%
PRO,6323,Squires Ebnd,1110,Y,2020-09-21T07:26:08-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:26:36-04:00,0,0%
PRO,6323,Squires Ebnd,1110,Y,2020-09-21T07:26:50-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:27:00-04:00,0,0%
PRO,6323,Squires Ebnd,1110,Y,2020-09-21T07:27:08-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:27:30-04:00,0,0%
PRO,6323,Squires Ebnd,1110,Y,2020-09-21T07:27:08-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:27:38-04:00,0,0%
PRO,6323,Squires Ebnd,1110,Y,2020-09-21T07:27:38-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:28:00-04:00,0,0%
PRO,6323,Squires Ebnd,1110,Y,2020-09-21T07:28:08-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:28:30-04:00,0,0%
PRO,6323,Squires Ebnd,1110,Y,2020-09-21T07:28:08-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:28:40-04:00,0,0%
PRO,6323,Squires Ebnd,1110,Y,2020-09-21T07:28:08-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:29:00-04:00,0,0%
PRO,6323,Squires Ebnd,1110,Y,2020-09-21T07:29:08-04:00,0,0%
PRO,6931,Progress/Patrick Henry Nbnd,1307,N,2020-09-21T07:29:30-04:00,0,0%
