routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
PRO,6932,McBryde Hall,1106,N,2020-09-24T14:21:23-04:00,0,0%
PRO,2025,Progress/Watson Nbnd,1339,N,2020-09-24T14:21:11-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:21:34-04:00,0,0%
PRO,2025,Progress/Watson Nbnd,1339,N,2020-09-24T14:21:38-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:21:34-04:00,0,0%
PRO,2025,Progress/Broce Nbnd,1305,N,2020-09-24T14:21:52-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:22:04-04:00,0,0%
PRO,2025,Progress/Broce Nbnd,1305,N,2020-09-24T14:22:19-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:22:34-04:00,0,0%
PRO,2025,Progress/University Terr Nbnd,1306,N,2020-09-24T14:22:35-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:22:34-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:22:59-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:23:04-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:23:21-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:23:34-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:23:41-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:23:34-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:23:58-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:24:04-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:24:11-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:24:34-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:24:41-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:25:04-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:24:55-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:25:04-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:25:11-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:25:35-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:25:41-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:25:35-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:25:57-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:26:04-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:26:11-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:26:38-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:26:41-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:27:04-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:26:59-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:27:04-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:27:11-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:27:39-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:27:41-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:28:04-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:28:01-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:28:04-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:28:11-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:28:42-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:28:41-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:29:04-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:29:04-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:29:04-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:29:11-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:29:44-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:29:41-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:30:06-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:30:05-04:00,0,0%
PRO,6932,Squires Ebnd,1110,Y,2020-09-24T14:30:26-04:00,0,0%
PRO,2025,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:30:11-04:00,0,0%
PRO,6932,Alumni Mall Ebnd,1111,N,2020-09-24T14:30:42-04:00,0,0%
PRO,2025,The Village on Patrick Henry Wbnd,1308,Y,2020-09-24T14:30:45-04:00,0,0%
PRO,6932,Alumni Mall Ebnd,1111,N,2020-09-24T14:30:52-04:00,0,0%
PRO,2025,The Village on Patrick Henry Wbnd,1308,Y,2020-09-24T14:30:52-04:00,0,0%
PRO,6932,Alumni Mall Ebnd,1111,N,2020-09-24T14:31:21-04:00,0,0%
PRO,2025,Patrick Henry/Toms Creek Wbnd,1309,N,2020-09-24T14:31:22-04:00,0,0%
PRO,6932,Alumni Mall Ebnd,1111,N,2020-09-24T14:31:21-04:00,0,0%
PRO,2025,Patrick Henry/Toms Creek Wbnd,1309,N,2020-09-24T14:31:40-04:00,0,0%
PRO,6932,Alumni Mall Ebnd,1111,N,2020-09-24T14:31:54-04:00,0,0%
PRO,2025,Toms Creek/Hunt Club Sbnd,1338,N,2020-09-24T14:32:03-04:00,0,0%
PRO,6932,Alumni Mall Ebnd,1111,N,2020-09-24T14:32:21-04:00,0,0%
PRO,2025,Toms Creek/McBryde Sbnd,1330,N,2020-09-24T14:32:27-04:00,0,0%
PRO,6932,Alumni Mall Ebnd,1111,N,2020-09-24T14:32:32-04:00,0,0%
PRO,2025,Toms Creek/Watson Sbnd,1331,N,2020-09-24T14:32:41-04:00,0,0%
PRO,6932,Alumni Mall Ebnd,1111,N,2020-09-24T14:33:02-04:00,0,0%
PRO,2025,Toms Creek/Winston Sbnd,1333,N,2020-09-24T14:33:10-04:00,0,0%
PRO,6932,Main/Turner Nbnd,1431,N,2020-09-24T14:33:12-04:00,0,0%
PRO,2025,Toms Creek/Winston Sbnd,1333,N,2020-09-24T14:33:19-04:00,0,0%
PRO,6932,Main/Turner Nbnd,1431,N,2020-09-24T14:33:50-04:00,0,0%
PRO,2025,Toms Creek/Winston Sbnd,1333,N,2020-09-24T14:33:37-04:00,0,0%
PRO,6932,Main/Turner Nbnd,1431,N,2020-09-24T14:34:10-04:00,0,0%
PRO,2025,Toms Creek/Winston Sbnd,1333,N,2020-09-24T14:34:07-04:00,0,0%
PRO,6932,Progress/Watson Nbnd,1339,N,2020-09-24T14:34:27-04:00,0,0%
PRO,2025,Toms Creek/Winston Sbnd,1333,N,2020-09-24T14:34:24-04:00,0,0%
PRO,6932,Progress/Watson Nbnd,1339,N,2020-09-24T14:34:44-04:00,0,0%
PRO,2025,Toms Creek/Winston Sbnd,1333,N,2020-09-24T14:34:41-04:00,0,0%
PRO,6932,Progress/Watson Nbnd,1339,N,2020-09-24T14:35:09-04:00,0,0%
PRO,2025,McBryde Hall,1106,N,2020-09-24T14:35:06-04:00,0,0%
PRO,6932,Progress/Broce Nbnd,1305,N,2020-09-24T14:35:27-04:00,0,0%
PRO,2025,McBryde Hall,1106,N,2020-09-24T14:35:22-04:00,0,0%
PRO,6932,Progress/Broce Nbnd,1305,N,2020-09-24T14:35:48-04:00,0,0%
PRO,2025,McBryde Hall,1106,N,2020-09-24T14:35:44-04:00,0,0%
PRO,6932,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:36:10-04:00,0,0%
PRO,2025,McBryde Hall,1106,N,2020-09-24T14:36:03-04:00,0,0%
PRO,6932,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:36:16-04:00,0,0%
PRO,2025,McBryde Hall,1106,N,2020-09-24T14:36:24-04:00,0,0%
PRO,6932,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:36:38-04:00,0,0%
PRO,2025,Squires Ebnd,1110,Y,2020-09-24T14:36:50-04:00,0,0%
PRO,6932,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:37:08-04:00,0,0%
PRO,2025,Squires Ebnd,1110,Y,2020-09-24T14:36:50-04:00,0,0%
PRO,6932,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:37:21-04:00,0,0%
PRO,2025,Squires Ebnd,1110,Y,2020-09-24T14:37:13-04:00,0,0%
PRO,6932,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:37:38-04:00,0,0%
PRO,2025,Squires Ebnd,1110,Y,2020-09-24T14:37:48-04:00,0,0%
PRO,6932,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:38:08-04:00,0,0%
PRO,2025,Squires Ebnd,1110,Y,2020-09-24T14:37:48-04:00,0,0%
PRO,6932,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:38:22-04:00,0,0%
PRO,2025,Squires Ebnd,1110,Y,2020-09-24T14:38:14-04:00,0,0%
PRO,6932,Progress/Patrick Henry Nbnd,1307,N,2020-09-24T14:38:38-04:00,0,0%
