routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
TOM,6729,University City/Toms Creek Wbnd,1310,Y,2020-10-06T07:01:35-04:00,0,0%
TOM,6729,University City/Toms Creek Wbnd,1310,Y,2020-10-06T07:01:51-04:00,0,0%
TOM,6729,Shawnee on University City Wbnd,1311,N,2020-10-06T07:02:20-04:00,0,0%
TOM,6729,Shawnee on University City Sbnd,1312,N,2020-10-06T07:02:41-04:00,0,0%
TOM,6729,Shawnee on University City Sbnd,1312,N,2020-10-06T07:02:48-04:00,0,0%
TOM,6729,Shawnee on University City Sbnd,1312,N,2020-10-06T07:03:23-04:00,0,0%
TOM,6729,Shawnee on University City Sbnd,1312,N,2020-10-06T07:03:39-04:00,0,0%
TOM,6729,University City/Broce Sbnd,1313,N,2020-10-06T07:03:49-04:00,0,0%
TOM,6729,University City/Broce Sbnd,1313,N,2020-10-06T07:04:15-04:00,0,0%
TOM,6729,University City/Glade Sbnd,1314,N,2020-10-06T07:04:40-04:00,0,0%
TOM,6729,University City/Glade Sbnd,1314,N,2020-10-06T07:04:59-04:00,0,0%
TOM,6729,University Mall Sbnd,1315,N,2020-10-06T07:05:25-04:00,0,0%
TOM,6729,University Mall Sbnd,1315,N,2020-10-06T07:05:35-04:00,0,0%
TOM,6729,University Mall Sbnd,1315,N,2020-10-06T07:06:05-04:00,0,0%
TOM,6729,University Mall Sbnd,1315,N,2020-10-06T07:06:15-04:00,0,0%
TOM,6729,University Mall Sbnd,1315,N,2020-10-06T07:06:35-04:00,0,0%
TOM,6729,University Mall Sbnd,1315,N,2020-10-06T07:07:05-04:00,0,0%
TOM,6729,University Mall Sbnd,1315,N,2020-10-06T07:07:18-04:00,0,0%
TOM,6729,University Mall Sbnd,1315,N,2020-10-06T07:07:32-04:00,0,0%
TOM,6729,University Mall Sbnd,1315,N,2020-10-06T07:07:57-04:00,0,0%
TOM,6729,University Mall Sbnd,1315,N,2020-10-06T07:08:24-04:00,0,0%
TOM,6729,Wright House,1115,N,2020-10-06T07:08:39-04:00,0,0%
TOM,6729,Wright House,1115,N,2020-10-06T07:09:03-04:00,0,0%
