time,routeName,bus ID,LastStopName,stopCode,IsBusAtStop,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
2020-09-13 13:41:26.671151,TOM,6324,Cassell Coliseum,1124,N,N,2020-09-13T13:41:23-04:00,0,0%
2020-09-13 13:41:46.794025,TOM,6324,Tennis Courts,1125,N,N,2020-09-13T13:41:37-04:00,0,0%
2020-09-13 13:42:06.913869,TOM,6324,Tennis Courts,1125,N,N,2020-09-13T13:42:04-04:00,0,0%
2020-09-13 13:42:27.045409,TOM,6324,Tennis Courts,1125,N,N,2020-09-13T13:42:18-04:00,0,0%
2020-09-13 13:42:47.164318,TOM,6324,Tennis Courts,1125,N,N,2020-09-13T13:42:33-04:00,0,0%
2020-09-13 13:43:07.282029,TOM,6324,Tennis Courts,1125,N,N,2020-09-13T13:42:47-04:00,0,0%
2020-09-13 13:43:27.388553,TOM,6324,Tennis Courts,1125,N,N,2020-09-13T13:43:25-04:00,0,0%
2020-09-13 13:43:47.515941,TOM,6324,Tennis Courts,1125,N,N,2020-09-13T13:43:36-04:00,0,0%
2020-09-13 13:44:07.634132,TOM,6324,Tennis Courts,1125,N,N,2020-09-13T13:44:03-04:00,0,0%
2020-09-13 13:44:27.761909,TOM,6324,Tennis Courts,1125,N,N,2020-09-13T13:44:13-04:00,0,0%
2020-09-13 13:44:47.892497,TOM,6324,Torgersen Hall,1114,N,Y,2020-09-13T13:44:45-04:00,0,0%
2020-09-13 13:45:08.022692,TOM,6324,Torgersen Hall,1114,N,Y,2020-09-13T13:45:05-04:00,0,0%
2020-09-13 13:45:28.157156,TOM,6324,Torgersen Hall,1114,N,Y,2020-09-13T13:45:19-04:00,0,0%
2020-09-13 13:45:48.267806,TOM,6324,Torgersen Hall,1114,N,Y,2020-09-13T13:45:43-04:00,0,0%
2020-09-13 13:46:08.383949,TOM,6324,Torgersen Hall,1114,N,Y,2020-09-13T13:46:00-04:00,0,0%
2020-09-13 13:46:28.497632,TOM,6324,Torgersen Hall,1114,N,Y,2020-09-13T13:46:08-04:00,0,0%
2020-09-13 13:46:48.616197,TOM,6324,Old Security Bldg,1104,N,N,2020-09-13T13:46:45-04:00,0,0%
2020-09-13 13:47:08.772869,TOM,6324,Old Security Bldg,1104,N,N,2020-09-13T13:46:52-04:00,0,0%
2020-09-13 13:47:28.895829,TOM,6324,Old Security Bldg,1104,N,N,2020-09-13T13:47:22-04:00,0,0%
2020-09-13 13:47:49.017194,TOM,6324,Stanger/Perry Nbnd,1105,N,N,2020-09-13T13:47:38-04:00,0,0%
2020-09-13 13:48:09.141627,TOM,6324,Stanger/Perry Nbnd,1105,N,N,2020-09-13T13:48:04-04:00,0,0%
2020-09-13 13:48:29.264621,TOM,6324,Stanger/Perry Nbnd,1105,N,N,2020-09-13T13:48:04-04:00,0,0%
2020-09-13 13:48:49.388573,TOM,6324,Stanger/Perry Nbnd,1105,N,N,2020-09-13T13:48:34-04:00,0,0%
2020-09-13 13:49:09.505670,TOM,6324,Stanger/Perry Nbnd,1105,N,N,2020-09-13T13:49:04-04:00,0,0%
2020-09-13 13:49:29.670658,TOM,6324,Stanger/Perry Nbnd,1105,N,N,2020-09-13T13:49:23-04:00,0,0%
2020-09-13 13:49:49.770349,TOM,6324,Toms Creek/Winston Nbnd,1300,N,N,2020-09-13T13:49:45-04:00,0,0%
2020-09-13 13:50:09.885345,TOM,6324,Gilbert Linkous Nbnd,1301,N,N,2020-09-13T13:50:07-04:00,0,0%
2020-09-13 13:50:30.008720,TOM,6324,Toms Creek/Watson Nbnd,1302,N,N,2020-09-13T13:50:23-04:00,0,0%
2020-09-13 13:50:50.130135,TOM,6324,Toms Creek/Watson Nbnd,1302,N,N,2020-09-13T13:50:45-04:00,0,0%
2020-09-13 13:51:10.249479,TOM,6324,Toms Creek/Watson Nbnd,1302,N,N,2020-09-13T13:51:04-04:00,0,0%
2020-09-13 13:51:30.364046,TOM,6324,Toms Creek/McBryde Nbnd,1303,N,N,2020-09-13T13:51:28-04:00,0,0%
2020-09-13 13:51:50.482864,TOM,6324,Toms Creek/McBryde Nbnd,1303,N,N,2020-09-13T13:51:42-04:00,0,0%
2020-09-13 13:52:10.596613,TOM,6324,Broce/Toms Creek Ebnd,1304,N,N,2020-09-13T13:51:53-04:00,0,0%
2020-09-13 13:52:30.736727,TOM,6324,Broce/Toms Creek Ebnd,1304,N,N,2020-09-13T13:52:26-04:00,0,0%
2020-09-13 13:52:50.876572,TOM,6324,Broce/Toms Creek Ebnd,1304,N,N,2020-09-13T13:52:43-04:00,0,0%
2020-09-13 13:53:10.981856,TOM,6324,Broce/Toms Creek Ebnd,1304,N,N,2020-09-13T13:53:07-04:00,0,0%
2020-09-13 13:53:31.097753,TOM,6324,Progress/Broce Nbnd,1305,N,N,2020-09-13T13:53:24-04:00,0,0%
2020-09-13 13:53:51.228703,TOM,6324,Progress/Broce Nbnd,1305,N,N,2020-09-13T13:53:44-04:00,0,0%
2020-09-13 13:54:11.347373,TOM,6324,Progress/University Terr Nbnd,1306,N,N,2020-09-13T13:54:05-04:00,0,0%
2020-09-13 13:54:31.477186,TOM,6324,Progress/University Terr Nbnd,1306,N,N,2020-09-13T13:54:27-04:00,0,0%
2020-09-13 13:54:51.589266,TOM,6324,Progress/Patrick Henry Nbnd,1307,N,N,2020-09-13T13:54:45-04:00,0,0%
2020-09-13 13:55:11.712535,TOM,6324,Progress/Patrick Henry Nbnd,1307,N,N,2020-09-13T13:55:06-04:00,0,0%
2020-09-13 13:55:31.838092,TOM,6324,Progress/Patrick Henry Nbnd,1307,N,N,2020-09-13T13:55:21-04:00,0,0%
2020-09-13 13:55:51.960306,TOM,6324,Progress/Patrick Henry Nbnd,1307,N,N,2020-09-13T13:55:38-04:00,0,0%
2020-09-13 13:56:12.071184,TOM,6324,Progress/Patrick Henry Nbnd,1307,N,N,2020-09-13T13:56:08-04:00,0,0%
2020-09-13 13:56:32.182905,TOM,6324,Progress/Patrick Henry Nbnd,1307,N,N,2020-09-13T13:56:16-04:00,0,0%
2020-09-13 13:56:52.304550,TOM,6324,Progress/Patrick Henry Nbnd,1307,N,N,2020-09-13T13:56:40-04:00,0,0%
2020-09-13 13:57:12.444133,TOM,6324,Progress/Patrick Henry Nbnd,1307,N,N,2020-09-13T13:57:08-04:00,0,0%
2020-09-13 13:57:32.555393,TOM,6324,The Village on Patrick Henry Wbnd,1308,N,N,2020-09-13T13:57:19-04:00,0,0%
2020-09-13 13:57:52.683269,TOM,6324,The Village on Patrick Henry Wbnd,1308,N,N,2020-09-13T13:57:49-04:00,0,0%
2020-09-13 13:58:12.813756,TOM,6324,The Village on Patrick Henry Wbnd,1308,N,N,2020-09-13T13:58:12-04:00,0,0%
2020-09-13 13:58:32.950718,TOM,6324,Patrick Henry/Toms Creek Wbnd,1309,N,N,2020-09-13T13:58:23-04:00,0,0%
2020-09-13 13:58:53.052471,TOM,6324,Patrick Henry/Toms Creek Wbnd,1309,N,N,2020-09-13T13:58:45-04:00,0,0%
2020-09-13 13:59:13.174139,TOM,6324,Patrick Henry/Toms Creek Wbnd,1309,N,N,2020-09-13T13:59:09-04:00,0,0%
2020-09-13 13:59:33.300844,TOM,6324,University City/Toms Creek Wbnd,1310,N,Y,2020-09-13T13:59:25-04:00,0,0%
2020-09-13 13:59:53.419685,TOM,6324,University City/Toms Creek Wbnd,1310,N,Y,2020-09-13T13:59:35-04:00,0,0%
2020-09-13 14:00:13.557182,TOM,6324,Shawnee on University City Wbnd,1311,N,N,2020-09-13T14:00:02-04:00,0,0%
2020-09-13 14:00:33.667064,TOM,6324,Shawnee on University City Wbnd,1311,N,N,2020-09-13T14:00:29-04:00,0,0%
