routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
TOM,2015,Newman Library,1100,N,2020-09-21T07:14:24-04:00,0,0%
TOM,1917,University Mall Sbnd,1315,N,2020-09-21T07:14:18-04:00,3,4%
TOM,2015,Torgersen Hall,1114,Y,2020-09-21T07:14:45-04:00,0,0%
TOM,1917,University Mall Sbnd,1315,N,2020-09-21T07:14:48-04:00,3,4%
TOM,2015,Torgersen Hall,1114,Y,2020-09-21T07:14:45-04:00,0,0%
TOM,1917,University Mall Sbnd,1315,N,2020-09-21T07:15:03-04:00,3,4%
TOM,2015,Torgersen Hall,1114,Y,2020-09-21T07:15:21-04:00,0,0%
TOM,1917,University Mall Sbnd,1315,N,2020-09-21T07:15:18-04:00,3,4%
TOM,2015,Torgersen Hall,1114,Y,2020-09-21T07:15:42-04:00,0,0%
TOM,1917,University Mall Sbnd,1315,N,2020-09-21T07:15:33-04:00,3,4%
TOM,2015,Torgersen Hall,1114,Y,2020-09-21T07:16:00-04:00,0,0%
TOM,1917,University Mall Sbnd,1315,N,2020-09-21T07:16:08-04:00,3,4%
TOM,2015,Old Security Bldg,1104,N,2020-09-21T07:16:20-04:00,0,0%
TOM,1917,University Mall Sbnd,1315,N,2020-09-21T07:16:23-04:00,3,4%
TOM,2015,Stanger/Perry Nbnd,1105,N,2020-09-21T07:16:45-04:00,0,0%
TOM,1917,Wright House,1115,N,2020-09-21T07:16:40-04:00,3,4%
TOM,2015,Stanger/Perry Nbnd,1105,N,2020-09-21T07:17:02-04:00,0,0%
TOM,1917,Wright House,1115,N,2020-09-21T07:17:00-04:00,3,4%
TOM,2015,Stanger/Perry Nbnd,1105,N,2020-09-21T07:17:23-04:00,0,0%
TOM,1917,Wright House,1115,N,2020-09-21T07:17:25-04:00,3,4%
TOM,2015,Stanger/Perry Nbnd,1105,N,2020-09-21T07:17:36-04:00,0,0%
TOM,1917,Litton Reaves Hall,1116,N,2020-09-21T07:17:48-04:00,3,4%
TOM,2015,Toms Creek/Winston Nbnd,1300,N,2020-09-21T07:18:02-04:00,0,0%
TOM,1917,Litton Reaves Hall,1116,N,2020-09-21T07:17:50-04:00,3,4%
TOM,2015,Gilbert Linkous Nbnd,1301,N,2020-09-21T07:18:27-04:00,0,0%
TOM,1917,Litton Reaves Hall,1116,N,2020-09-21T07:18:26-04:00,3,4%
TOM,2015,Toms Creek/Watson Nbnd,1302,N,2020-09-21T07:18:44-04:00,0,0%
TOM,1917,McComas Hall,1123,N,2020-09-21T07:18:50-04:00,3,4%
TOM,2015,Toms Creek/McBryde Nbnd,1303,N,2020-09-21T07:19:03-04:00,0,0%
TOM,1917,McComas Hall,1123,N,2020-09-21T07:19:01-04:00,3,4%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:19:25-04:00,0,0%
TOM,1917,McComas Hall,1123,N,2020-09-21T07:19:27-04:00,3,4%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:19:48-04:00,0,0%
TOM,1917,Cassell Coliseum,1124,N,2020-09-21T07:19:43-04:00,3,4%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:20:07-04:00,0,0%
TOM,1917,Tennis Courts,1125,N,2020-09-21T07:20:06-04:00,3,4%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:20:28-04:00,0,0%
TOM,1917,Tennis Courts,1125,N,2020-09-21T07:20:28-04:00,3,4%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:20:37-04:00,0,0%
TOM,1917,Tennis Courts,1125,N,2020-09-21T07:20:45-04:00,3,4%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:21:07-04:00,0,0%
TOM,1917,Tennis Courts,1125,N,2020-09-21T07:21:06-04:00,3,4%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:21:21-04:00,0,0%
TOM,1917,Tennis Courts,1125,N,2020-09-21T07:21:31-04:00,3,4%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:21:37-04:00,0,0%
TOM,1917,Tennis Courts,1125,N,2020-09-21T07:21:43-04:00,3,4%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:22:07-04:00,0,0%
TOM,1917,Torgersen Hall,1114,Y,2020-09-21T07:22:12-04:00,3,4%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:22:23-04:00,0,0%
TOM,1917,Torgersen Hall,1114,Y,2020-09-21T07:22:23-04:00,3,4%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:22:37-04:00,0,0%
TOM,1917,Torgersen Hall,1114,Y,2020-09-21T07:22:23-04:00,3,4%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:23:07-04:00,0,0%
TOM,1917,Torgersen Hall,1114,Y,2020-09-21T07:22:53-04:00,3,4%
TOM,6932,University City/Toms Creek Wbnd,1310,Y,2020-09-21T07:23:09-04:00,0,0%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:23:25-04:00,0,0%
TOM,1917,Torgersen Hall,1114,Y,2020-09-21T07:23:23-04:00,3,4%
TOM,6932,Shawnee on University City Wbnd,1311,N,2020-09-21T07:23:30-04:00,0,0%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:23:37-04:00,0,0%
TOM,1917,Torgersen Hall,1114,Y,2020-09-21T07:23:53-04:00,3,4%
TOM,6932,Shawnee on University City Wbnd,1311,N,2020-09-21T07:23:41-04:00,0,0%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:24:07-04:00,0,0%
TOM,1917,Torgersen Hall,1114,Y,2020-09-21T07:23:53-04:00,3,4%
TOM,6932,Shawnee on University City Sbnd,1312,N,2020-09-21T07:23:55-04:00,0,0%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:24:28-04:00,0,0%
TOM,1917,Torgersen Hall,1114,Y,2020-09-21T07:24:23-04:00,3,4%
TOM,6932,University City/Broce Sbnd,1313,N,2020-09-21T07:24:27-04:00,0,0%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:24:37-04:00,0,0%
TOM,1917,Torgersen Hall,1114,Y,2020-09-21T07:24:53-04:00,3,4%
TOM,6932,University City/Glade Sbnd,1314,N,2020-09-21T07:24:47-04:00,0,0%
TOM,2015,Toms Creek/Hunt Club Nbnd,1337,N,2020-09-21T07:25:07-04:00,0,0%
TOM,1917,Torgersen Hall,1114,Y,2020-09-21T07:25:10-04:00,3,4%
TOM,6932,University City/Glade Sbnd,1314,N,2020-09-21T07:25:03-04:00,0,0%
TOM,2015,University City/Toms Creek Wbnd,1310,Y,2020-09-21T07:25:32-04:00,0,0%
