time,routeName,bus ID,LastStopName,stopCode,IsBusAtStop,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
2020-09-13 13:41:26.683887,TTT,6932,New River Valley Mall,1800,N,Y,2020-09-13T13:41:22-04:00,0,0%
2020-09-13 13:41:46.810734,TTT,6932,Shoppers Way Ebnd,2226,N,N,2020-09-13T13:41:45-04:00,0,0%
2020-09-13 13:42:06.927867,TTT,6932,Shoppers Way Ebnd,2226,N,N,2020-09-13T13:42:03-04:00,0,0%
2020-09-13 13:42:27.066563,TTT,6932,Shoppers Way Ebnd,2226,N,N,2020-09-13T13:42:19-04:00,0,0%
2020-09-13 13:42:47.184238,TTT,6932,Shoppers Way Ebnd,2226,N,N,2020-09-13T13:42:39-04:00,0,0%
2020-09-13 13:43:07.290754,TTT,6932,Shoppers Way Ebnd,2226,N,N,2020-09-13T13:43:04-04:00,0,0%
2020-09-13 13:43:27.405943,TTT,6932,Shoppers Way Ebnd,2226,N,N,2020-09-13T13:43:17-04:00,0,0%
2020-09-13 13:43:47.530786,TTT,6932,Shoppers Way Ebnd,2226,N,N,2020-09-13T13:43:28-04:00,0,0%
2020-09-13 13:44:07.657968,TTT,6932,Shoppers Way Ebnd,2226,N,N,2020-09-13T13:43:47-04:00,0,0%
2020-09-13 13:44:27.774258,TTT,6932,Shoppers Way Ebnd,2226,N,N,2020-09-13T13:44:17-04:00,0,0%
2020-09-13 13:44:47.901275,TTT,6932,Shoppers Way Ebnd,2226,N,N,2020-09-13T13:44:17-04:00,0,0%
2020-09-13 13:45:08.020720,TTT,6932,Shoppers Way Ebnd,2226,N,N,2020-09-13T13:45:01-04:00,0,0%
2020-09-13 13:45:28.146401,TTT,6932,Wal Mart,1802,N,N,2020-09-13T13:45:24-04:00,0,0%
2020-09-13 13:45:48.273849,TTT,6932,Wal Mart,1802,N,N,2020-09-13T13:45:47-04:00,0,0%
2020-09-13 13:46:08.384580,TTT,6932,Wal Mart,1802,N,N,2020-09-13T13:46:02-04:00,0,0%
2020-09-13 13:46:28.507716,TTT,6932,Wal Mart,1802,N,N,2020-09-13T13:46:16-04:00,0,0%
2020-09-13 13:46:48.621567,TTT,6932,Wal Mart,1802,N,N,2020-09-13T13:46:46-04:00,0,0%
2020-09-13 13:47:08.770649,TTT,6932,Wal Mart,1802,N,N,2020-09-13T13:46:57-04:00,0,0%
2020-09-13 13:47:28.875870,TTT,6932,Wal Mart,1802,N,N,2020-09-13T13:47:22-04:00,0,0%
2020-09-13 13:47:48.972565,TTT,6932,Wal Mart,1802,N,N,2020-09-13T13:47:47-04:00,0,0%
2020-09-13 13:48:09.109011,TTT,6932,Wal Mart,1802,N,N,2020-09-13T13:47:57-04:00,0,0%
2020-09-13 13:48:29.219087,TTT,6932,Laurel/Sycamore,2202,N,N,2020-09-13T13:48:22-04:00,0,0%
2020-09-13 13:48:49.343486,TTT,6932,Laurel/Sycamore,2202,N,N,2020-09-13T13:48:44-04:00,0,0%
2020-09-13 13:49:09.465671,TTT,6932,Laurel/Sycamore,2202,N,N,2020-09-13T13:49:03-04:00,0,0%
2020-09-13 13:49:29.646444,TTT,6932,Laurel/Sycamore,2202,N,N,2020-09-13T13:49:23-04:00,0,0%
2020-09-13 13:49:49.756693,TTT,6932,Laurel/Sycamore,2202,N,N,2020-09-13T13:49:36-04:00,0,0%
2020-09-13 13:50:09.867364,TTT,6932,Laurel/Sycamore,2202,N,N,2020-09-13T13:49:49-04:00,0,0%
2020-09-13 13:50:29.990875,TTT,6932,Laurel/Sycamore,2202,N,N,2020-09-13T13:50:19-04:00,0,0%
2020-09-13 13:50:50.113333,TTT,6932,Laurel/Sycamore,2202,N,N,2020-09-13T13:50:45-04:00,0,0%
2020-09-13 13:51:10.238231,TTT,6932,Laurel/Sycamore,2202,N,N,2020-09-13T13:50:53-04:00,0,0%
2020-09-13 13:51:30.378258,TTT,6932,DMV on Arbor,2204,N,N,2020-09-13T13:51:26-04:00,0,0%
2020-09-13 13:51:50.486776,TTT,6932,Post Office on Arbor,2205,N,N,2020-09-13T13:51:39-04:00,0,0%
2020-09-13 13:52:10.597978,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:52:03-04:00,0,0%
2020-09-13 13:52:30.725600,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:52:29-04:00,0,0%
2020-09-13 13:52:50.884230,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:52:43-04:00,0,0%
2020-09-13 13:53:11.011554,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:53:03-04:00,0,0%
2020-09-13 13:53:31.127013,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:53:24-04:00,0,0%
2020-09-13 13:53:51.235070,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:53:44-04:00,0,0%
2020-09-13 13:54:11.346924,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:54:06-04:00,0,0%
2020-09-13 13:54:31.466192,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:54:25-04:00,0,0%
2020-09-13 13:54:51.575983,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:54:42-04:00,0,0%
2020-09-13 13:55:11.705437,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:54:59-04:00,0,0%
2020-09-13 13:55:31.815081,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:55:22-04:00,0,0%
2020-09-13 13:55:51.929157,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:55:48-04:00,0,0%
2020-09-13 13:56:12.050808,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:55:58-04:00,0,0%
2020-09-13 13:56:32.151238,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:56:29-04:00,0,0%
2020-09-13 13:56:52.263509,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:56:49-04:00,0,0%
2020-09-13 13:57:12.391995,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:57:01-04:00,0,0%
2020-09-13 13:57:32.514327,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:57:30-04:00,0,0%
2020-09-13 13:57:52.626310,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:57:41-04:00,0,0%
2020-09-13 13:58:12.734259,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:58:06-04:00,0,0%
2020-09-13 13:58:32.850723,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:58:17-04:00,0,0%
2020-09-13 13:58:52.956880,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:58:47-04:00,0,0%
2020-09-13 13:59:13.081169,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:59:03-04:00,0,0%
2020-09-13 13:59:33.209275,TTT,6932,Arbor/Market,2206,N,N,2020-09-13T13:59:29-04:00,0,0%
2020-09-13 13:59:53.332039,TTT,6932,Main/Ardmore Nbnd,1619,N,N,2020-09-13T13:59:39-04:00,0,0%
2020-09-13 14:00:13.464548,TTT,6932,Main/Ardmore Nbnd,1619,N,N,2020-09-13T14:00:08-04:00,0,0%
2020-09-13 14:00:33.612538,TTT,6932,Main/Ardmore Nbnd,1619,N,N,2020-09-13T14:00:19-04:00,0,0%
2020-09-13 14:00:53.742968,TTT,6932,Main/Ardmore Nbnd,1619,N,N,2020-09-13T14:00:42-04:00,0,0%
