routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
TTT,6404,Squires Ebnd,1110,Y,2020-09-21T07:14:17-04:00,0,0%
TTT,6404,Squires Ebnd,1110,Y,2020-09-21T07:14:47-04:00,0,0%
TTT,6404,Squires Ebnd,1110,Y,2020-09-21T07:15:07-04:00,0,0%
TTT,6404,Squires Ebnd,1110,Y,2020-09-21T07:15:27-04:00,0,0%
TTT,6404,Squires Ebnd,1110,Y,2020-09-21T07:15:45-04:00,0,0%
TTT,6404,Squires Ebnd,1110,Y,2020-09-21T07:15:57-04:00,0,0%
TTT,6404,Squires Ebnd,1110,Y,2020-09-21T07:16:27-04:00,0,0%
TTT,6404,Squires Ebnd,1110,Y,2020-09-21T07:16:47-04:00,0,0%
TTT,6404,Squires Ebnd,1110,Y,2020-09-21T07:16:57-04:00,0,0%
TTT,6404,Squires Ebnd,1110,Y,2020-09-21T07:17:20-04:00,0,0%
TTT,6404,Squires Ebnd,1110,Y,2020-09-21T07:17:35-04:00,0,0%
TTT,6404,Main/Roanoke Sbnd,1600,N,2020-09-21T07:17:59-04:00,0,0%
TTT,6404,Main/Roanoke Sbnd,1600,N,2020-09-21T07:18:28-04:00,0,0%
TTT,6404,Main/Roanoke Sbnd,1600,N,2020-09-21T07:18:45-04:00,0,0%
TTT,6404,Main/Roanoke Sbnd,1600,N,2020-09-21T07:19:08-04:00,0,0%
TTT,6404,Main/Roanoke Sbnd,1600,N,2020-09-21T07:19:31-04:00,0,0%
TTT,6404,Main/Roanoke Sbnd,1600,N,2020-09-21T07:19:45-04:00,0,0%
TTT,6404,Main/Roanoke Sbnd,1600,N,2020-09-21T07:20:05-04:00,0,0%
TTT,6404,Main/Roanoke Sbnd,1600,N,2020-09-21T07:20:27-04:00,0,0%
TTT,6404,Main/Landsdowne Sbnd,1608,N,2020-09-21T07:20:49-04:00,0,0%
TTT,6404,Main/Landsdowne Sbnd,1608,N,2020-09-21T07:21:09-04:00,0,0%
TTT,6404,Main/Landsdowne Sbnd,1608,N,2020-09-21T07:21:30-04:00,0,0%
TTT,6404,Main/Landsdowne Sbnd,1608,N,2020-09-21T07:21:50-04:00,0,0%
TTT,6404,Main/Landsdowne Sbnd,1608,N,2020-09-21T07:22:10-04:00,0,0%
TTT,6404,Main/Landsdowne Sbnd,1608,N,2020-09-21T07:22:25-04:00,0,0%
TTT,6404,Main/Landsdowne Sbnd,1608,N,2020-09-21T07:22:45-04:00,0,0%
TTT,6404,Main/Landsdowne Sbnd,1608,N,2020-09-21T07:23:06-04:00,0,0%
TTT,6404,Main/Landsdowne Sbnd,1608,N,2020-09-21T07:23:28-04:00,0,0%
TTT,6404,Main/Landsdowne Sbnd,1608,N,2020-09-21T07:23:50-04:00,0,0%
TTT,6404,Main/Landsdowne Sbnd,1608,N,2020-09-21T07:24:02-04:00,0,0%
TTT,6404,Main/Landsdowne Sbnd,1608,N,2020-09-21T07:24:27-04:00,0,0%
TTT,6404,Main/Landsdowne Sbnd,1608,N,2020-09-21T07:24:49-04:00,0,0%
