routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
TTT,6203,LewisGale Hospital Montgomery,1803,Y,2020-09-22T07:00:18-04:00,2,3%
