routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:24-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:27-04:00,0,0%
UCB,6017,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:00:43-04:00,0,0%
UCB,6017,The Village on Patrick Henry Ebnd,1324,N,2020-10-06T07:01:02-04:00,0,0%
UCB,6017,Patrick Henry/Progress Ebnd,1325,N,2020-10-06T07:01:27-04:00,0,0%
UCB,6017,Progress/Hunt Club Sbnd,1326,N,2020-10-06T07:01:36-04:00,0,0%
UCB,6017,Progress/University Terr Sbnd,1327,N,2020-10-06T07:01:58-04:00,0,0%
UCB,6017,Progress/Broce Sbnd,1328,N,2020-10-06T07:02:20-04:00,0,0%
UCB,6017,Progress/Broce Sbnd,1328,N,2020-10-06T07:02:39-04:00,0,0%
UCB,6017,Progress/Watson Sbnd,1340,N,2020-10-06T07:02:55-04:00,0,0%
UCB,6017,Progress/Watson Sbnd,1340,N,2020-10-06T07:03:22-04:00,0,0%
UCB,6017,Progress/Watson Sbnd,1340,N,2020-10-06T07:03:44-04:00,0,0%
UCB,6017,Main/Kabrich Sbnd,1421,N,2020-10-06T07:04:04-04:00,0,0%
UCB,6017,Main/Kabrich Sbnd,1421,N,2020-10-06T07:04:17-04:00,0,0%
UCB,6017,Main/Kabrich Sbnd,1421,N,2020-10-06T07:04:30-04:00,0,0%
UCB,6017,Main/Kabrich Sbnd,1421,N,2020-10-06T07:04:57-04:00,0,0%
UCB,6017,McBryde Hall,1106,N,2020-10-06T07:05:21-04:00,0,0%
UCB,6017,McBryde Hall,1106,N,2020-10-06T07:05:38-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:06:07-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:06:21-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:06:31-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:07:01-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:07:12-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:07:31-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:08:01-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:08:15-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:08:31-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:09:01-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:09:17-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:09:31-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:10:01-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:10:18-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:10:31-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:11:01-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:11:19-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:11:31-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:12:01-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:12:31-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:12:31-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:13:01-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:13:31-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:13:31-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:14:01-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:14:26-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:14:31-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:15:11-04:00,0,0%
UCB,6017,Burruss Hall,1101,Y,2020-10-06T07:15:13-04:00,0,0%
UCB,6016,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:15:27-04:00,0,0%
UCB,6017,Davidson Hall,1102,N,2020-10-06T07:15:51-04:00,0,0%
UCB,6016,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:15:41-04:00,0,0%
UCB,6017,Davidson Hall,1102,N,2020-10-06T07:16:12-04:00,0,0%
UCB,6016,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-10-06T07:16:08-04:00,0,0%
UCB,6017,Davidson Hall,1102,N,2020-10-06T07:16:20-04:00,0,0%
UCB,6016,Patrick Henry/Progress Ebnd,1325,N,2020-10-06T07:16:29-04:00,0,0%
UCB,6017,West Campus/Perry Nbnd,1103,N,2020-10-06T07:16:52-04:00,0,0%
UCB,6016,Patrick Henry/Progress Ebnd,1325,N,2020-10-06T07:16:43-04:00,0,0%
