time,routeName,bus ID,LastStopName,stopCode,IsBusAtStop,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
2020-09-13 13:41:26.684979,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T13:41:07-04:00,8,10%
2020-09-13 13:41:46.804917,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T13:41:37-04:00,8,10%
2020-09-13 13:42:06.935826,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T13:41:37-04:00,8,10%
2020-09-13 13:42:27.067587,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T13:42:16-04:00,8,10%
2020-09-13 13:42:47.184725,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T13:42:37-04:00,8,10%
2020-09-13 13:43:07.309539,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T13:42:37-04:00,8,10%
2020-09-13 13:43:27.424375,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T13:43:07-04:00,8,10%
2020-09-13 13:43:47.547769,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T13:43:37-04:00,8,10%
2020-09-13 13:44:07.650822,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T13:43:37-04:00,8,10%
2020-09-13 13:44:27.771609,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T13:44:07-04:00,8,10%
2020-09-13 13:44:47.886578,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T13:44:37-04:00,8,10%
2020-09-13 13:45:08.002090,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T13:45:02-04:00,8,10%
2020-09-13 13:45:28.136772,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T13:45:18-04:00,8,10%
2020-09-13 13:45:48.255151,UCB,1916,Davidson Hall,1102,N,N,2020-09-13T13:45:43-04:00,8,10%
2020-09-13 13:46:08.390071,UCB,1916,Davidson Hall,1102,N,N,2020-09-13T13:46:02-04:00,8,10%
2020-09-13 13:46:28.483899,UCB,1916,Davidson Hall,1102,N,N,2020-09-13T13:46:15-04:00,8,10%
2020-09-13 13:46:48.599823,UCB,1916,Davidson Hall,1102,N,N,2020-09-13T13:46:45-04:00,8,10%
2020-09-13 13:47:08.734490,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T13:47:00-04:00,12,15%
2020-09-13 13:47:28.854100,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T13:47:17-04:00,12,15%
2020-09-13 13:47:48.967453,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T13:47:30-04:00,12,15%
2020-09-13 13:48:09.093377,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T13:48:00-04:00,12,15%
2020-09-13 13:48:29.240552,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T13:48:00-04:00,12,15%
2020-09-13 13:48:49.371263,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T13:48:38-04:00,12,15%
2020-09-13 13:49:09.484268,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T13:49:03-04:00,12,15%
2020-09-13 13:49:29.641532,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T13:49:03-04:00,12,15%
2020-09-13 13:49:49.768310,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T13:49:45-04:00,12,15%
2020-09-13 13:50:09.878709,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T13:49:59-04:00,12,15%
2020-09-13 13:50:29.985608,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T13:50:24-04:00,12,15%
2020-09-13 13:50:50.105173,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T13:50:37-04:00,12,15%
