routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
UCB,6412,Burruss Hall,1101,Y,2020-09-21T07:14:08-04:00,1,1%
UCB,6412,Burruss Hall,1101,Y,2020-09-21T07:14:38-04:00,1,1%
UCB,6412,Burruss Hall,1101,Y,2020-09-21T07:15:06-04:00,1,1%
UCB,6412,Burruss Hall,1101,Y,2020-09-21T07:15:08-04:00,1,1%
UCB,6412,Burruss Hall,1101,Y,2020-09-21T07:15:38-04:00,1,1%
UCB,6412,Burruss Hall,1101,Y,2020-09-21T07:16:08-04:00,1,1%
UCB,6412,Burruss Hall,1101,Y,2020-09-21T07:16:08-04:00,1,1%
UCB,6412,Burruss Hall,1101,Y,2020-09-21T07:16:38-04:00,1,1%
UCB,6412,Burruss Hall,1101,Y,2020-09-21T07:17:08-04:00,1,1%
UCB,6412,Burruss Hall,1101,Y,2020-09-21T07:17:08-04:00,1,1%
UCB,6412,Burruss Hall,1101,Y,2020-09-21T07:17:38-04:00,1,1%
UCB,6412,Burruss Hall,1101,Y,2020-09-21T07:18:10-04:00,1,1%
UCB,6412,Burruss Hall,1101,Y,2020-09-21T07:18:10-04:00,1,1%
UCB,6412,Burruss Hall,1101,Y,2020-09-21T07:18:38-04:00,1,1%
UCB,6412,Burruss Hall,1101,Y,2020-09-21T07:19:10-04:00,1,1%
UCB,6412,Burruss Hall,1101,Y,2020-09-21T07:19:20-04:00,0,0%
UCB,6412,Burruss Hall,1101,Y,2020-09-21T07:19:50-04:00,0,0%
UCB,6412,Davidson Hall,1102,N,2020-09-21T07:20:11-04:00,0,0%
UCB,6412,Davidson Hall,1102,N,2020-09-21T07:20:25-04:00,0,0%
UCB,6412,West Campus/Perry Nbnd,1103,N,2020-09-21T07:20:52-04:00,0,0%
UCB,6412,West Campus/Perry Nbnd,1103,N,2020-09-21T07:21:13-04:00,0,0%
UCB,1924,Patrick Henry/Toms Creek Ebnd,1323,Y,2020-09-21T07:21:11-04:00,0,0%
UCB,6412,West Campus/Perry Nbnd,1103,N,2020-09-21T07:21:20-04:00,0,0%
UCB,1924,Patrick Henry/Progress Ebnd,1325,N,2020-09-21T07:21:25-04:00,0,0%
UCB,6412,West Campus/Perry Nbnd,1103,N,2020-09-21T07:21:51-04:00,0,0%
UCB,1924,Patrick Henry/Progress Ebnd,1325,N,2020-09-21T07:21:51-04:00,0,0%
UCB,6412,West Campus/Perry Nbnd,1103,N,2020-09-21T07:22:10-04:00,0,0%
UCB,1924,Progress/Hunt Club Sbnd,1326,N,2020-09-21T07:22:10-04:00,0,0%
UCB,6412,West Campus/Perry Nbnd,1103,N,2020-09-21T07:22:30-04:00,0,0%
UCB,1924,Progress/Hunt Club Sbnd,1326,N,2020-09-21T07:22:27-04:00,0,0%
UCB,6412,University Mall Nbnd,1316,N,2020-09-21T07:22:46-04:00,0,0%
UCB,1924,Progress/University Terr Sbnd,1327,N,2020-09-21T07:22:49-04:00,0,0%
UCB,6412,University Mall Nbnd,1316,N,2020-09-21T07:23:11-04:00,0,0%
UCB,1924,Progress/Broce Sbnd,1328,N,2020-09-21T07:23:11-04:00,0,0%
UCB,6412,University City/Broce Nbnd,1318,N,2020-09-21T07:23:26-04:00,0,0%
UCB,1924,Progress/Broce Sbnd,1328,N,2020-09-21T07:23:26-04:00,0,0%
UCB,6412,University City/Broce Nbnd,1318,N,2020-09-21T07:23:43-04:00,0,0%
UCB,1924,Progress/Watson Sbnd,1340,N,2020-09-21T07:23:41-04:00,0,0%
UCB,6412,Shawnee on University City Nbnd,1319,N,2020-09-21T07:24:11-04:00,0,0%
UCB,1924,Progress/Watson Sbnd,1340,N,2020-09-21T07:24:07-04:00,0,0%
UCB,6412,Shawnee on University City Ebnd,1320,N,2020-09-21T07:24:27-04:00,0,0%
UCB,1924,Main/Kabrich Sbnd,1421,N,2020-09-21T07:24:28-04:00,0,0%
UCB,6412,University City/Toms Creek Ebnd,1322,N,2020-09-21T07:24:47-04:00,0,0%
UCB,1924,Main/Kabrich Sbnd,1421,N,2020-09-21T07:24:49-04:00,0,0%
