routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
UMS,1916,West Campus/Perry Nbnd,1103,N,2020-09-21T07:14:15-04:00,0,0%
UMS,1916,West Campus/Perry Nbnd,1103,N,2020-09-21T07:14:45-04:00,0,0%
UMS,1916,West Campus/Perry Nbnd,1103,N,2020-09-21T07:15:05-04:00,0,0%
UMS,1912,University Mall Main Entrance,1336,Y,2020-09-21T07:15:03-04:00,0,0%
UMS,1916,West Campus/Perry Nbnd,1103,N,2020-09-21T07:15:19-04:00,0,0%
UMS,1912,University Mall Main Entrance,1336,Y,2020-09-21T07:15:27-04:00,0,0%
UMS,1916,West Campus/Perry Nbnd,1103,N,2020-09-21T07:15:40-04:00,0,0%
UMS,1912,University Mall Main Entrance,1336,Y,2020-09-21T07:15:38-04:00,0,0%
UMS,1916,West Campus/Perry Nbnd,1103,N,2020-09-21T07:16:04-04:00,0,0%
UMS,1912,University Mall Main Entrance,1336,Y,2020-09-21T07:16:01-04:00,0,0%
UMS,1916,Old Glade/Glade Nbnd,1335,N,2020-09-21T07:16:24-04:00,0,0%
UMS,1912,University Mall Main Entrance,1336,Y,2020-09-21T07:16:26-04:00,0,0%
UMS,1916,Old Glade/Glade Nbnd,1335,N,2020-09-21T07:16:46-04:00,0,0%
UMS,1912,University Mall Main Entrance,1336,Y,2020-09-21T07:16:48-04:00,0,0%
UMS,1916,Old Glade/Glade Nbnd,1335,N,2020-09-21T07:17:06-04:00,0,0%
UMS,1912,University Mall Main Entrance,1336,Y,2020-09-21T07:17:06-04:00,0,0%
UMS,1916,Old Glade/Glade Nbnd,1335,N,2020-09-21T07:17:24-04:00,0,0%
UMS,1912,University Mall Main Entrance,1336,Y,2020-09-21T07:17:19-04:00,0,0%
UMS,1916,Old Glade/Glade Nbnd,1335,N,2020-09-21T07:17:24-04:00,0,0%
UMS,1912,University Mall Main Entrance,1336,Y,2020-09-21T07:17:37-04:00,0,0%
UMS,1916,Old Glade/Glade Nbnd,1335,N,2020-09-21T07:18:06-04:00,0,0%
UMS,1912,University Mall Main Entrance,1336,Y,2020-09-21T07:18:04-04:00,0,0%
UMS,1916,Old Glade/Glade Nbnd,1335,N,2020-09-21T07:18:16-04:00,0,0%
UMS,1912,Wright House,1115,N,2020-09-21T07:18:20-04:00,0,0%
UMS,1916,Old Glade/Glade Nbnd,1335,N,2020-09-21T07:18:46-04:00,0,0%
UMS,1912,Wright House,1115,N,2020-09-21T07:18:37-04:00,0,0%
UMS,1916,Old Glade/Glade Nbnd,1335,N,2020-09-21T07:19:09-04:00,0,0%
UMS,1912,Wright House,1115,N,2020-09-21T07:18:56-04:00,0,0%
UMS,1916,Old Glade/Glade Nbnd,1335,N,2020-09-21T07:19:16-04:00,0,0%
UMS,1912,Litton Reaves Hall,1116,N,2020-09-21T07:19:19-04:00,0,0%
UMS,1916,Old Glade/Glade Nbnd,1335,N,2020-09-21T07:19:46-04:00,0,0%
UMS,1912,McComas Hall,1123,N,2020-09-21T07:19:52-04:00,0,0%
UMS,1916,Old Glade/Glade Nbnd,1335,N,2020-09-21T07:20:06-04:00,0,0%
UMS,1912,McComas Hall,1123,N,2020-09-21T07:19:58-04:00,0,0%
UMS,1916,Old Glade/Glade Nbnd,1335,N,2020-09-21T07:20:16-04:00,0,0%
UMS,1912,McComas Hall,1123,N,2020-09-21T07:20:28-04:00,0,0%
UMS,1916,Old Glade/Glade Nbnd,1335,N,2020-09-21T07:20:46-04:00,0,0%
UMS,1912,Cassell Coliseum,1124,N,2020-09-21T07:20:41-04:00,0,0%
UMS,1916,Old Glade/Glade Nbnd,1335,N,2020-09-21T07:21:05-04:00,0,0%
UMS,1912,Cassell Coliseum,1124,N,2020-09-21T07:21:09-04:00,0,0%
UMS,1916,University Mall Main Entrance,1336,Y,2020-09-21T07:21:19-04:00,0,0%
UMS,1912,Tennis Courts,1125,N,2020-09-21T07:21:31-04:00,1,1%
UMS,1916,University Mall Main Entrance,1336,Y,2020-09-21T07:21:43-04:00,0,0%
UMS,1912,Tennis Courts,1125,N,2020-09-21T07:21:40-04:00,1,1%
UMS,1916,University Mall Main Entrance,1336,Y,2020-09-21T07:22:10-04:00,0,0%
UMS,1912,Tennis Courts,1125,N,2020-09-21T07:21:59-04:00,1,1%
UMS,1916,University Mall Main Entrance,1336,Y,2020-09-21T07:22:27-04:00,0,0%
UMS,1912,Tennis Courts,1125,N,2020-09-21T07:22:21-04:00,1,1%
UMS,1916,University Mall Main Entrance,1336,Y,2020-09-21T07:22:46-04:00,0,0%
UMS,1912,Tennis Courts,1125,N,2020-09-21T07:22:43-04:00,1,1%
UMS,1916,University Mall Main Entrance,1336,Y,2020-09-21T07:22:59-04:00,0,0%
UMS,1912,Newman Library,1100,N,2020-09-21T07:23:02-04:00,1,1%
UMS,1916,University Mall Main Entrance,1336,Y,2020-09-21T07:23:26-04:00,0,0%
UMS,1912,Newman Library,1100,N,2020-09-21T07:23:25-04:00,1,1%
UMS,1916,University Mall Main Entrance,1336,Y,2020-09-21T07:23:51-04:00,0,0%
UMS,1912,Burruss Hall,1101,Y,2020-09-21T07:23:52-04:00,1,1%
UMS,1916,University Mall Main Entrance,1336,Y,2020-09-21T07:23:54-04:00,0,0%
UMS,1912,Burruss Hall,1101,Y,2020-09-21T07:24:01-04:00,1,1%
UMS,1916,University Mall Main Entrance,1336,Y,2020-09-21T07:24:24-04:00,0,0%
UMS,1912,Burruss Hall,1101,Y,2020-09-21T07:24:13-04:00,1,1%
UMS,1916,University Mall Main Entrance,1336,Y,2020-09-21T07:24:34-04:00,0,0%
UMS,1912,Burruss Hall,1101,Y,2020-09-21T07:24:43-04:00,1,1%
UMS,1916,University Mall Main Entrance,1336,Y,2020-09-21T07:25:10-04:00,0,0%
UMS,1912,Burruss Hall,1101,Y,2020-09-21T07:25:06-04:00,1,1%
UMS,1916,University Mall Main Entrance,1336,Y,2020-09-21T07:25:29-04:00,0,0%
UMS,1912,Burruss Hall,1101,Y,2020-09-21T07:25:24-04:00,0,0%
UMS,1916,Wright House,1115,N,2020-09-21T07:25:45-04:00,0,0%
UMS,1912,Davidson Hall,1102,N,2020-09-21T07:25:52-04:00,0,0%
UMS,1916,Wright House,1115,N,2020-09-21T07:26:09-04:00,0,0%
UMS,1912,Davidson Hall,1102,N,2020-09-21T07:26:08-04:00,0,0%
UMS,1916,Wright House,1115,N,2020-09-21T07:26:34-04:00,0,0%
UMS,1912,Davidson Hall,1102,N,2020-09-21T07:26:32-04:00,0,0%
UMS,1916,Litton Reaves Hall,1116,N,2020-09-21T07:26:41-04:00,0,0%
UMS,1912,West Campus/Perry Nbnd,1103,N,2020-09-21T07:26:46-04:00,0,0%
UMS,1916,Litton Reaves Hall,1116,N,2020-09-21T07:27:02-04:00,0,0%
UMS,1912,West Campus/Perry Nbnd,1103,N,2020-09-21T07:27:03-04:00,0,0%
UMS,1916,Litton Reaves Hall,1116,N,2020-09-21T07:27:33-04:00,0,0%
UMS,1912,West Campus/Perry Nbnd,1103,N,2020-09-21T07:27:16-04:00,0,0%
