routeName,bus ID,LastStopName,stopCode,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T06:59:47-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:00:19-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:00:36-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:00:47-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:00:59-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:00:59-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:00:59-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:00:59-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:00:59-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:00:59-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:00:59-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
UMS,1915,University Mall Main Entrance,1336,Y,2020-09-23T07:01:17-04:00,0,0%
